Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Лебяжская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692					
1	"Число избирателей, внесенных в список"	7765	360	143	188	73	197	164	277	411	173	161	324	307	349	103	90	112	555	178	233	371	189	2692	115					
2	Число полученных избирательных бюллетеней	8250	420	150	200	80	200	200	330	470	200	180	350	320	400	110	90	120	600	200	240	400	220	2650	120					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5232	270	115	145	59	157	126	198	254	123	100	202	180	240	79	68	82	411	131	133	250	156	1653	100					
5	"Число избирательных бюллетеней, выданных вне помещения"	810	50	11	7	11	16	6	31	61	21	25	59	61	41	13	7	9	68	29	64	37	11	162	10					
6	Число погашенных избирательных бюллетеней	2208	100	24	48	10	27	68	101	155	56	55	89	79	119	18	15	29	121	40	43	113	53	835	10					
7	Число избирательных бюллетеней в переносных ящиках	810	50	11	7	11	16	6	31	61	21	25	59	61	41	13	7	9	68	29	64	37	11	162	10					
8	Число бюллетеней в стационарных ящиках для голосования	5232	270	115	145	59	157	126	198	254	123	100	202	180	240	79	68	82	411	131	133	250	156	1653	100					
9	Число недействительных избирательных бюллетеней	53	8	0	0	0	0	1	1	4	2	1	2	4	0	1	0	0	2	0	3	1	1	22	0					
10	Число действительных избирательных бюллетеней	5989	312	126	152	70	173	131	228	311	142	124	259	237	281	91	75	91	477	160	194	286	166	1793	110					
11	Число полученных открепительных  удостоверений	94	2	0	4	0	2	2	2	2	2	1	12	1	2	0	0	0	4	3	0	1	1	50	3					
12	Число выданных открепительных удостоверений	50	1	0	4	0	0	1	0	0	2	1	12	1	0	0	0	0	0	3	0	1	1	20	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	0	1	5	1	1	0	0	1	2	0	1	2	0	0	3	0	0	0	1	0	0	13	0					
14	Число неиспользованных открепительных удостоверений	44	1	0	0	0	2	1	2	2	0	0	0	0	2	0	0	0	4	0	0	0	0	30	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	175	3	0	8	0	6	5	11	12	2	1	3	7	6	0	0	0	10	2	1	9	6	76	7					
		2.90%	0.94%	0.00%	5.26%	0.00%	3.47%	3.79%	4.80%	3.81%	1.39%	0.80%	1.15%	2.90%	2.14%	0.00%	0.00%	0.00%	2.09%	1.25%	0.51%	3.14%	3.59%	4.19%	6.36%					
19	. Малышкин Олег Александрович	203	4	2	1	2	4	5	13	9	4	12	7	10	11	5	0	11	12	14	11	9	3	40	14					
		3.36%	1.25%	1.59%	0.66%	2.86%	2.31%	3.79%	5.68%	2.86%	2.78%	9.60%	2.68%	4.15%	3.91%	5.43%	0.00%	12.09%	2.51%	8.75%	5.58%	3.14%	1.80%	2.20%	12.73%					
20	. Миронов Сергей Михайлович	52	2	2	1	0	0	1	3	1	1	2	4	2	4	0	2	0	4	2	1	1	2	16	1					
		0.86%	0.62%	1.59%	0.66%	0.00%	0.00%	0.76%	1.31%	0.32%	0.69%	1.60%	1.53%	0.83%	1.42%	0.00%	2.67%	0.00%	0.84%	1.25%	0.51%	0.35%	1.20%	0.88%	0.91%					
21	. Путин Владимир Владимирович	3287	181	54	96	40	77	76	135	133	100	83	131	150	162	46	48	52	184	78	122	164	90	1042	43					
		54.40%	56.56%	42.86%	63.16%	57.14%	44.51%	57.58%	58.95%	42.22%	69.44%	66.40%	50.19%	62.24%	57.65%	50.00%	64.00%	57.14%	38.41%	48.75%	61.93%	57.14%	53.89%	57.41%	39.09%					
22	. Хакамада Ирина Муцуовна	118	10	2	3	3	6	5	10	7	4	2	3	2	6	2	0	0	8	3	6	1	2	33	0					
		1.95%	3.12%	1.59%	1.97%	4.29%	3.47%	3.79%	4.37%	2.22%	2.78%	1.60%	1.15%	0.83%	2.14%	2.17%	0.00%	0.00%	1.67%	1.88%	3.05%	0.35%	1.20%	1.82%	0.00%					
23	. Харитонов Николай Михайлович	2076	108	64	41	24	79	39	56	147	30	22	109	65	90	37	25	28	251	60	50	98	59	550	44					
		34.36%	33.75%	50.79%	26.97%	34.29%	45.66%	29.55%	24.45%	46.67%	20.83%	17.60%	41.76%	26.97%	32.03%	40.22%	33.33%	30.77%	52.40%	37.50%	25.38%	34.15%	35.33%	30.30%	40.00%					
																														
24	Против всех	78	4	2	2	1	1	0	0	2	1	2	2	1	2	1	0	0	8	1	3	4	4	36	1					
		1.29%	1.25%	1.59%	1.32%	1.43%	0.58%	0.00%	0.00%	0.63%	0.69%	1.60%	0.77%	0.41%	0.71%	1.09%	0.00%	0.00%	1.67%	0.62%	1.52%	1.39%	2.40%	1.98%	0.91%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
