Выборы Президента Российской Федерации																																																																					
																																																																					
"Наименование Избирательной комиссии:    Брянск, Бежицкая"																																																																					
																																																																					
Итоги голосования 																																																																					
																																																																					
		Сумма	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96					
		63.53%	68.03%	62.65%	66.40%	68.05%	64.82%	65.06%	60.10%	62.16%	64.86%	65.36%	59.89%	67.59%	63.50%	65.08%	66.01%	61.55%	58.43%	58.67%	65.25%	61.14%	58.75%	59.93%	62.61%	64.34%	62.78%	65.57%	62.62%	66.19%	61.62%	66.04%	64.73%	67.29%	64.06%	64.10%	65.31%	62.55%	60.61%	62.23%	63.97%	58.79%	60.33%	61.49%	65.61%	58.89%	65.24%	60.83%	61.87%	65.81%	64.67%	67.39%	66.14%	64.05%	63.95%	58.45%	65.90%	62.52%	60.85%	65.57%	69.40%	68.80%	66.25%	65.78%					
22	. Хакамада Ирина Муцуовна	2609	10	39	29	30	30	33	28	21	33	34	29	34	54	27	26	46	42	34	37	32	53	37	35	20	33	35	21	49	52	49	38	39	63	70	113	73	48	75	44	63	60	75	44	90	82	32	42	52	68	10	25	64	37	6	33	27	53	42	14	25	33	37					
		3.65%	1.70%	3.36%	2.35%	3.28%	2.40%	2.74%	2.72%	2.04%	3.44%	3.72%	3.30%	3.50%	4.18%	2.21%	2.69%	4.04%	3.15%	3.10%	2.71%	2.57%	4.20%	3.01%	2.33%	1.57%	2.45%	4.60%	2.32%	3.89%	5.21%	4.57%	2.98%	2.82%	5.03%	5.29%	6.78%	5.97%	3.46%	5.61%	5.16%	5.71%	4.26%	5.20%	5.18%	6.35%	6.26%	4.28%	2.79%	3.44%	4.02%	1.66%	3.03%	4.25%	2.69%	1.17%	2.52%	2.05%	3.77%	3.63%	2.16%	3.26%	3.15%	4.26%					
23	. Харитонов Николай Михайлович	13555	110	222	227	143	254	212	228	225	187	172	217	199	251	237	183	228	330	255	284	287	301	301	318	267	287	121	218	210	202	185	230	220	214	218	213	208	275	243	127	204	289	236	129	266	158	147	316	232	257	119	158	245	269	129	251	274	277	209	104	113	207	157					
		18.98%	18.71%	19.10%	18.38%	15.65%	20.35%	17.59%	22.14%	21.89%	19.50%	18.80%	24.66%	20.47%	19.41%	19.43%	18.96%	20.02%	24.72%	23.27%	20.82%	23.09%	23.83%	24.51%	21.16%	20.97%	21.32%	15.90%	24.04%	16.67%	20.24%	17.26%	18.03%	15.92%	17.09%	16.48%	12.79%	17.01%	19.84%	18.18%	14.91%	18.48%	20.51%	16.38%	15.19%	18.76%	12.07%	19.65%	20.95%	15.34%	15.21%	19.80%	19.17%	16.28%	19.59%	25.05%	19.15%	20.79%	19.72%	18.08%	16.07%	14.75%	19.79%	18.09%					
																																																																					
24	Против всех	2824	14	53	45	33	45	46	32	44	29	28	30	27	51	46	27	49	38	51	44	53	49	38	68	41	52	42	28	34	43	32	41	63	59	54	62	54	51	46	43	64	49	63	44	78	56	45	62	75	89	21	25	58	52	29	47	64	65	40	15	26	44	28					
		3.95%	2.38%	4.56%	3.64%	3.61%	3.61%	3.82%	3.11%	4.28%	3.02%	3.06%	3.41%	2.78%	3.94%	3.77%	2.80%	4.30%	2.85%	4.65%	3.23%	4.26%	3.88%	3.09%	4.52%	3.22%	3.86%	5.52%	3.09%	2.70%	4.31%	2.99%	3.21%	4.56%	4.71%	4.08%	3.72%	4.42%	3.68%	3.44%	5.05%	5.80%	3.48%	4.37%	5.18%	5.50%	4.28%	6.02%	4.11%	4.96%	5.27%	3.49%	3.03%	3.85%	3.79%	5.63%	3.59%	4.86%	4.63%	3.46%	2.32%	3.39%	4.21%	3.23%					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
