Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Ялуторовская городская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101					
1	"Число избирателей, внесенных в список"	28853	1381	1750	1551	1333	1352	1404	1562	1355	1392	1391	1380	1442	1427	1522	1396	1454	1396	1491	1401	1473					
2	Число полученных избирательных бюллетеней	28827	1378	1736	1584	1353	1360	1428	1444	1366	1424	1380	1402	1428	1422	1525	1394	1455	1376	1469	1404	1499					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16499	790	1026	919	732	676	790	930	948	753	872	958	711	668	1071	652	756	775	875	720	877					
5	"Число избирательных бюллетеней, выданных вне помещения"	1412	68	84	48	41	83	65	134	32	92	36	89	100	81	75	50	73	85	42	85	49					
6	Число погашенных избирательных бюллетеней	10916	520	626	617	580	601	573	380	386	579	472	355	617	673	379	692	626	516	552	599	573					
7	Число избирательных бюллетеней в переносных ящиках	1412	68	84	48	41	83	65	134	32	92	36	89	100	81	75	50	73	85	42	85	49					
8	Число бюллетеней в стационарных ящиках для голосования	16405	790	1026	919	732	676	789	930	948	752	872	867	711	668	1071	652	755	775	875	720	877					
9	Число недействительных избирательных бюллетеней	162	9	7	7	7	11	9	10	3	8	6	0	11	10	13	6	10	11	11	11	2					
10	Число действительных избирательных бюллетеней	17655	849	1103	960	766	748	845	1054	977	836	902	956	800	739	1133	696	818	849	906	794	924					
11	Число полученных открепительных  удостоверений	598	10	15	60	10	10	50	20	25	110	30	20	30	30	10	10	10	10	30	98	10					
12	Число выданных открепительных удостоверений	404	9	14	59	3	6	35	15	15	83	11	19	5	8	8	2	6	9	22	65	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	189	10	5	13	0	1	7	34	11	34	6	6	8	5	8	5	8	16	6	3	3					
14	Число неиспользованных открепительных удостоверений	194	1	1	1	7	4	15	5	10	27	19	1	25	22	2	8	4	1	8	33	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	766	42	46	40	28	21	49	47	66	24	35	32	36	33	32	27	41	33	49	34	51					
		4.30%	4.90%	4.14%	4.14%	3.62%	2.77%	5.74%	4.42%	6.73%	2.84%	3.85%	3.35%	4.44%	4.41%	2.79%	3.85%	4.95%	3.84%	5.34%	4.22%	5.51%					
19	. Малышкин Олег Александрович	514	17	46	39	22	23	20	39	19	22	25	18	32	32	22	21	17	20	22	20	38					
		2.88%	1.98%	4.14%	4.03%	2.85%	3.03%	2.34%	3.67%	1.94%	2.61%	2.75%	1.88%	3.95%	4.27%	1.92%	2.99%	2.05%	2.33%	2.40%	2.48%	4.10%					
20	. Миронов Сергей Михайлович	99	3	15	4	4	5	2	10	7	1	8	6	4	5	2	4	2	7	3	6	1					
		0.56%	0.35%	1.35%	0.41%	0.52%	0.66%	0.23%	0.94%	0.71%	0.12%	0.88%	0.63%	0.49%	0.67%	0.17%	0.57%	0.24%	0.81%	0.33%	0.75%	0.11%					
21	. Путин Владимир Владимирович	13141	651	784	728	592	543	619	707	694	639	640	730	580	532	939	548	613	617	671	610	704					
		73.76%	75.87%	70.63%	75.28%	76.58%	71.54%	72.48%	66.45%	70.82%	75.71%	70.48%	76.36%	71.52%	71.03%	81.94%	78.06%	74.03%	71.74%	73.17%	75.78%	76.03%					
22	. Хакамада Ирина Муцуовна	458	34	22	25	14	17	34	33	36	21	25	17	21	23	24	18	16	17	25	17	19					
		2.57%	3.96%	1.98%	2.59%	1.81%	2.24%	3.98%	3.10%	3.67%	2.49%	2.75%	1.78%	2.59%	3.07%	2.09%	2.56%	1.93%	1.98%	2.73%	2.11%	2.05%					
23	. Харитонов Николай Михайлович	2275	85	169	99	81	120	97	180	124	113	152	126	110	100	98	68	122	143	115	84	89					
		12.77%	9.91%	15.23%	10.24%	10.48%	15.81%	11.36%	16.92%	12.65%	13.39%	16.74%	13.18%	13.56%	13.35%	8.55%	9.69%	14.73%	16.63%	12.54%	10.43%	9.61%					
																											
24	Против всех	402	17	21	25	25	19	24	38	31	16	17	27	17	14	16	10	7	12	21	23	22					
		2.26%	1.98%	1.89%	2.59%	3.23%	2.50%	2.81%	3.57%	3.16%	1.90%	1.87%	2.82%	2.10%	1.87%	1.40%	1.42%	0.85%	1.40%	2.29%	2.86%	2.38%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
