Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																											
Дата голосования: 04.12.2011																											
																											
Наименование Избирательной комиссии:    Надтеречная																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	11	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	1	0	1	1	1					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.05%	0.05%	0.06%	0.06%	0.00%	0.00%	0.00%	0.05%	0.05%	0.04%	0.00%	0.04%	0.00%	0.12%	0.06%	0.09%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	21	0	1	1	1	1	1	2	1	2	0	2	1	2	1	2	2	0	0	1	0					
		0.06%	0.00%	0.11%	0.07%	0.06%	0.05%	0.05%	0.13%	0.06%	0.07%	0.00%	0.09%	0.05%	0.09%	0.04%	0.07%	0.07%	0.00%	0.00%	0.06%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	58	0	0	1	3	3	2	2	3	5	6	5	3	4	3	5	4	1	2	3	3					
		0.17%	0.00%	0.00%	0.07%	0.19%	0.16%	0.10%	0.13%	0.18%	0.17%	0.32%	0.23%	0.16%	0.18%	0.13%	0.19%	0.14%	0.17%	0.23%	0.17%	0.26%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	13	0	0	1	0	0	1	1	0	2	2	1	0	1	1	1	1	0	1	0	0					
		0.04%	0.00%	0.00%	0.07%	0.00%	0.00%	0.05%	0.06%	0.00%	0.07%	0.11%	0.05%	0.00%	0.05%	0.04%	0.04%	0.04%	0.00%	0.12%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	34631	439	935	1514	1546	1839	2013	1556	1662	2966	1875	2121	1914	2161	2267	2666	2840	586	857	1707	1167					
		99.40%	99.55%	99.47%	99.41%	99.42%	99.41%	99.41%	99.36%	99.40%	99.40%	99.42%	99.39%	99.38%	99.40%	99.39%	99.40%	99.40%	99.49%	99.30%	99.42%	99.40%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	10	1	0	1	0	0	1	1	0	2	0	0	1	0	1	1	1	0	0	0	0					
		0.03%	0.23%	0.00%	0.07%	0.00%	0.00%	0.05%	0.06%	0.00%	0.07%	0.00%	0.00%	0.05%	0.00%	0.04%	0.04%	0.04%	0.00%	0.00%	0.00%	0.00%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
