Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
Наименование Избирательной комиссии:    Агрызская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	582	33	27	28	31	26	51	19	7	38	26	29	46	21	31	31	2	2	1	0	11	9	2	1	1	1	5	1	1	3	1	1	1	1	1	3	6	0	4	1	1	4	59	5	4	2	3	0	0	1	0					
		2.36%	4.05%	3.91%	4.00%	3.62%	4.01%	6.09%	2.98%	0.68%	4.46%	3.96%	3.28%	4.34%	2.17%	3.81%	3.04%	0.42%	1.27%	0.69%	0.00%	1.58%	1.22%	0.42%	0.53%	0.53%	0.68%	1.33%	0.19%	0.40%	0.53%	0.83%	0.21%	0.89%	0.33%	0.26%	1.23%	3.59%	0.00%	1.02%	0.43%	0.50%	1.16%	5.51%	1.83%	0.84%	0.28%	0.78%	0.00%	0.00%	0.69%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	58	3	2	2	10	1	2	1	0	9	2	2	4	6	2	0	0	0	1	0	4	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0					
		0.24%	0.37%	0.29%	0.29%	1.17%	0.15%	0.24%	0.16%	0.00%	1.06%	0.30%	0.23%	0.38%	0.62%	0.25%	0.00%	0.00%	0.00%	0.69%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.42%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1029	63	55	40	52	46	76	76	39	49	46	48	67	38	66	71	5	7	2	3	21	10	3	2	3	2	6	2	1	5	1	3	1	2	2	0	9	0	8	1	1	6	43	5	4	12	5	3	10	4	5					
		4.17%	7.74%	7.97%	5.71%	6.07%	7.10%	9.07%	11.91%	3.80%	5.75%	7.01%	5.42%	6.32%	3.93%	8.11%	6.95%	1.04%	4.43%	1.38%	1.40%	3.01%	1.36%	0.64%	1.06%	1.60%	1.36%	1.60%	0.38%	0.40%	0.89%	0.83%	0.62%	0.89%	0.67%	0.53%	0.00%	5.39%	0.00%	2.04%	0.43%	0.50%	1.73%	4.01%	1.83%	0.84%	1.68%	1.29%	1.15%	4.95%	2.76%	1.37%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	81	4	2	8	12	2	7	1	1	9	2	4	6	3	5	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	1	0	0	2	0	1	2	1	0	0	0	0					
		0.33%	0.49%	0.29%	1.14%	1.40%	0.31%	0.84%	0.16%	0.10%	1.06%	0.30%	0.45%	0.57%	0.31%	0.61%	0.00%	0.21%	0.63%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	1.20%	0.00%	0.26%	0.43%	0.00%	0.00%	0.19%	0.00%	0.21%	0.28%	0.26%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22446	704	593	601	715	560	690	516	978	726	577	789	901	861	685	878	464	144	139	211	660	707	462	184	182	144	360	518	246	551	118	474	110	296	375	237	122	184	361	230	194	335	942	260	461	687	371	256	192	140	355					
		91.06%	86.49%	85.94%	85.86%	83.43%	86.42%	82.34%	80.88%	95.32%	85.21%	87.96%	89.15%	85.00%	88.95%	84.15%	85.99%	96.67%	91.14%	95.86%	98.14%	94.69%	96.06%	98.09%	97.87%	96.81%	97.96%	95.74%	99.42%	99.19%	98.04%	98.33%	98.54%	98.21%	98.67%	98.94%	97.53%	73.05%	100.00%	92.09%	97.87%	97.49%	96.82%	87.96%	95.24%	96.85%	96.35%	95.87%	98.08%	95.05%	96.55%	97.53%					
