Выборы Президента Российской Федерации																																																									
Дата голосования: 02.03.2008																																																									
																																																									
Наименование Избирательной комиссии:    Бугурусланская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
	Число участковых избирательных комиссий	50																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	50																																																							
																																																									
		Сумма	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №1821	УИК №1822	УИК №1823	УИК №1828					
1	"Число избирателей, включенных в списки избирателей"	17430	669	139	238	490	175	123	110	578	183	110	295	145	736	664	217	409	295	726	341	376	294	509	155	302	951	134	237	175	280	407	324	730	180	99	305	372	77	147	545	472	307	390	147	98	638	166	95	631	664	580					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17160	670	140	240	480	170	120	110	560	180	110	290	140	720	650	210	400	300	700	340	370	280	500	155	290	950	135	240	180	280	400	320	720	180	100	300	370	80	145	510	460	290	390	150	95	640	160	90	600	670	580					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	14042	582	130	190	429	150	99	84	451	147	98	275	124	560	573	207	335	239	593	309	312	207	437	140	230	602	119	216	162	256	364	250	460	148	82	222	344	72	135	454	396	284	345	119	77	499	137	79	479	449	391					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	1055	22	0	22	26	20	17	17	50	4	6	9	10	66	0	0	30	21	80	15	15	24	46	4	32	64	5	8	6	20	22	29	41	6	8	46	3	0	6	26	11	6	32	22	15	36	2	0	36	21	48					
6	Число погашенных избирательных бюллетеней	2063	66	10	28	25	0	4	9	59	29	6	6	6	94	77	3	35	40	27	16	43	49	17	11	28	284	11	16	12	4	14	41	219	26	10	32	23	8	4	30	53	0	13	9	3	105	21	11	85	200	141					
