Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Бугурусланская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283					
1	"Число избирателей, внесенных в список"	17214	677	183	246	459	197	135	129	518	171	105	270	141	727	655	212	391	314	685	330	385	312	561	160	276	2013	144	245	198	311	387	340	1300	188	128	294	364	93	149	513	549	311	389	177	104	601	177					
2	Число полученных избирательных бюллетеней	17319	680	188	246	458	201	137	133	520	174	109	275	146	730	660	217	390	320	680	326	384	315	560	161	276	2020	146	246	201	306	381	346	1320	189	134	291	374	98	152	510	550	312	385	177	104	618	173					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12979	462	149	188	352	172	107	108	414	157	99	233	121	533	468	195	342	281	439	296	310	232	468	147	211	1170	95	184	184	212	345	269	865	145	91	220	322	81	131	381	437	226	301	136	80	469	151					
5	"Число избирательных бюллетеней, выданных вне помещения"	1070	35	0	14	24	10	22	16	33	0	0	14	13	92	10	0	0	21	126	12	30	39	46	3	40	29	13	30	6	25	13	32	79	5	9	0	20	6	15	0	6	26	41	22	14	77	2					
6	Число погашенных избирательных бюллетеней	3270	183	39	44	82	19	8	9	73	17	10	28	12	105	182	22	48	18	115	18	44	44	46	11	25	821	38	32	11	69	23	45	376	39	34	71	32	11	6	129	107	60	43	19	10	72	20					
7	Число избирательных бюллетеней в переносных ящиках	1070	35	0	14	24	10	22	16	33	0	0	14	13	92	10	0	0	21	126	12	30	39	46	3	40	29	13	30	6	25	13	32	79	5	9	0	20	6	15	0	6	26	41	22	14	77	2					
8	Число бюллетеней в стационарных ящиках для голосования	12978	462	149	188	352	172	107	108	414	157	99	233	121	533	468	195	342	281	439	296	310	232	468	147	211	1170	95	184	184	212	345	269	865	145	91	220	322	81	131	381	436	226	301	136	80	469	151					
9	Число недействительных избирательных бюллетеней	137	7	0	2	7	1	0	0	10	3	1	0	2	8	7	2	2	1	6	4	3	0	8	0	0	7	0	2	0	1	4	0	12	2	2	1	3	1	0	10	6	3	3	1	0	3	2					
10	Число действительных избирательных бюллетеней	13911	490	149	200	369	181	129	124	437	154	98	247	132	617	471	193	340	301	559	304	337	271	506	150	251	1192	108	212	190	236	354	301	932	148	98	219	339	86	146	371	436	249	339	157	94	543	151					
11	Число полученных открепительных  удостоверений	398	16	5	6	10	5	4	4	10	5	4	6	4	18	14	5	8	7	16	8	8	7	11	4	6	50	4	5	4	7	8	8	30	4	4	6	8	4	4	10	11	7	8	4	4	12	5					
12	Число выданных открепительных удостоверений	135	9	0	0	2	4	0	1	1	2	0	2	0	9	5	0	1	7	0	0	2	1	4	2	3	21	0	0	3	0	7	0	16	0	2	0	7	0	1	2	3	2	3	0	2	10	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	58	5	1	1	1	0	0	0	1	2	0	1	0	4	2	0	0	1	3	2	0	1	3	0	0	4	0	1	1	0	0	1	2	1	1	1	0	0	1	0	2	1	7	0	0	1	6					
14	Число неиспользованных открепительных удостоверений	263	7	5	6	8	1	4	3	9	3	4	4	4	9	9	5	7	0	16	8	6	6	7	2	3	29	4	5	1	7	1	8	14	4	2	6	1	4	3	8	8	5	5	4	2	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																					
18	. Глазьев Сергей Юрьевич	292	9	1	2	10	4	3	0	10	4	0	4	2	7	10	0	5	6	15	5	1	7	10	8	2	58	0	6	3	3	2	5	33	1	0	4	3	1	0	11	7	8	10	1	0	9	2					
		2.08%	1.81%	0.67%	0.99%	2.66%	2.20%	2.33%	0.00%	2.24%	2.55%	0.00%	1.62%	1.49%	1.12%	2.09%	0.00%	1.46%	1.99%	2.65%	1.62%	0.29%	2.58%	1.95%	5.33%	0.80%	4.84%	0.00%	2.80%	1.58%	1.27%	0.56%	1.66%	3.50%	0.67%	0.00%	1.82%	0.88%	1.15%	0.00%	2.89%	1.58%	3.17%	2.92%	0.63%	0.00%	1.65%	1.31%					
19	. Малышкин Олег Александрович	539	12	8	10	16	4	15	6	21	9	5	5	8	14	14	2	10	21	33	2	18	14	18	0	3	60	6	10	3	6	15	13	31	1	3	17	7	4	13	25	7	18	7	2	4	17	2					
		3.84%	2.41%	5.37%	4.95%	4.26%	2.20%	11.63%	4.84%	4.70%	5.73%	5.05%	2.02%	5.97%	2.24%	2.93%	1.03%	2.92%	6.95%	5.84%	0.65%	5.29%	5.17%	3.50%	0.00%	1.20%	5.00%	5.56%	4.67%	1.58%	2.53%	4.19%	4.32%	3.28%	0.67%	3.00%	7.73%	2.05%	4.60%	8.90%	6.56%	1.58%	7.14%	2.05%	1.27%	4.26%	3.11%	1.31%					
20	. Миронов Сергей Михайлович	82	1	0	2	3	0	0	1	5	3	1	6	1	1	5	0	2	4	2	1	2	0	2	0	1	6	0	1	1	2	1	1	11	1	1	0	1	0	3	1	2	0	3	1	0	3	0					
		0.58%	0.20%	0.00%	0.99%	0.80%	0.00%	0.00%	0.81%	1.12%	1.91%	1.01%	2.43%	0.75%	0.16%	1.05%	0.00%	0.58%	1.32%	0.35%	0.32%	0.59%	0.00%	0.39%	0.00%	0.40%	0.50%	0.00%	0.47%	0.53%	0.84%	0.28%	0.33%	1.17%	0.67%	1.00%	0.00%	0.29%	0.00%	2.05%	0.26%	0.45%	0.00%	0.88%	0.63%	0.00%	0.55%	0.00%					
21	. Путин Владимир Владимирович	6967	179	66	49	225	62	73	58	263	93	77	139	49	354	254	83	239	164	364	228	236	127	226	83	104	560	33	67	37	65	184	199	427	49	60	105	194	48	87	197	181	104	113	52	39	288	83					
		49.59%	36.02%	44.30%	24.26%	59.84%	34.07%	56.59%	46.77%	58.84%	59.24%	77.78%	56.28%	36.57%	56.64%	53.14%	42.56%	69.88%	54.30%	64.42%	74.03%	69.41%	46.86%	43.97%	55.33%	41.43%	46.71%	30.56%	31.31%	19.47%	27.43%	51.40%	66.11%	45.23%	32.67%	60.00%	47.73%	56.73%	55.17%	59.59%	51.71%	40.95%	41.27%	33.04%	32.91%	41.49%	52.75%	54.25%					
22	. Хакамада Ирина Муцуовна	231	10	3	4	4	2	2	1	11	0	1	5	3	10	6	4	10	5	12	2	3	4	9	3	1	31	2	4	2	0	7	3	16	4	0	4	1	2	2	6	3	6	3	1	4	11	4					
		1.64%	2.01%	2.01%	1.98%	1.06%	1.10%	1.55%	0.81%	2.46%	0.00%	1.01%	2.02%	2.24%	1.60%	1.26%	2.05%	2.92%	1.66%	2.12%	0.65%	0.88%	1.48%	1.75%	2.00%	0.40%	2.59%	1.85%	1.87%	1.05%	0.00%	1.96%	1.00%	1.69%	2.67%	0.00%	1.82%	0.29%	2.30%	1.37%	1.57%	0.68%	2.38%	0.88%	0.63%	4.26%	2.01%	2.61%					
23	. Харитонов Николай Михайлович	5587	273	68	130	105	106	35	57	105	38	14	84	64	220	176	101	70	99	130	66	68	114	235	54	139	441	67	124	144	157	142	77	402	91	30	80	130	31	40	129	232	109	199	99	45	209	58					
