Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Мамонтовская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1874					
1	"Число избирателей, внесенных в список"	20531	920	786	411	679	1130	1042	1072	1111	1310	1345	1288	1559	1259	705	1117	871	659	744	467	375	855	826					
2	Число полученных избирательных бюллетеней	18700	900	800	400	700	1000	1000	1000	1000	1200	1200	1000	1100	1100	700	1000	800	600	700	500	400	800	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13997	565	528	319	452	741	690	812	794	890	860	853	993	776	510	763	627	469	519	346	357	590	543					
5	"Число избирательных бюллетеней, выданных вне помещения"	777	57	63	10	31	29	66	24	30	61	66	49	25	10	23	47	33	12	27	29	18	34	33					
6	Число погашенных избирательных бюллетеней	3926	278	209	71	217	230	244	164	176	249	274	98	82	314	167	190	140	119	154	125	25	176	224					
7	Число избирательных бюллетеней в переносных ящиках	777	57	63	10	31	29	66	24	30	61	66	49	25	10	23	47	33	12	27	29	18	34	33					
8	Число бюллетеней в стационарных ящиках для голосования	13993	564	528	319	452	741	690	812	794	888	860	853	993	776	510	763	626	469	519	346	357	590	543					
9	Число недействительных избирательных бюллетеней	148	7	11	1	3	11	12	9	13	5	6	6	5	5	8	4	8	3	11	6	6	5	3					
10	Число действительных избирательных бюллетеней	14622	614	580	328	480	759	744	827	811	944	920	896	1013	781	525	806	651	478	535	369	369	619	573					
11	Число полученных открепительных  удостоверений	140	5	5	5	5	5	5	5	5	10	10	10	10	10	5	5	5	5	5	5	5	5	10					
12	Число выданных открепительных удостоверений	50	4	3	1	2	2	0	3	1	5	6	3	2	3	2	0	1	1	4	1	4	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	26	0	2	1	2	2	0	3	4	2	0	0	0	1	1	0	1	0	1	1	0	2	3					
14	Число неиспользованных открепительных удостоверений	90	1	2	4	3	3	5	2	4	5	4	7	8	7	3	5	4	4	1	4	1	3	10					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	529	31	13	11	7	17	30	30	10	39	35	45	46	28	21	29	27	20	21	10	5	19	35					
		3.58%	4.99%	2.20%	3.34%	1.45%	2.21%	3.97%	3.59%	1.21%	4.11%	3.78%	4.99%	4.52%	3.56%	3.94%	3.58%	4.10%	4.16%	3.85%	2.67%	1.33%	3.04%	6.08%					
19	. Малышкин Олег Александрович	411	16	10	21	12	35	17	38	32	13	12	16	31	16	20	20	20	8	11	20	5	27	11					
		2.78%	2.58%	1.69%	6.38%	2.48%	4.55%	2.25%	4.55%	3.88%	1.37%	1.30%	1.77%	3.05%	2.04%	3.75%	2.47%	3.03%	1.66%	2.01%	5.33%	1.33%	4.33%	1.91%					
20	. Миронов Сергей Михайлович	114	3	3	0	5	6	1	10	3	7	7	6	8	5	7	7	9	5	5	5	1	6	5					
		0.77%	0.48%	0.51%	0.00%	1.04%	0.78%	0.13%	1.20%	0.36%	0.74%	0.76%	0.67%	0.79%	0.64%	1.31%	0.86%	1.37%	1.04%	0.92%	1.33%	0.27%	0.96%	0.87%					
21	. Путин Владимир Владимирович	8937	391	379	194	274	480	539	473	563	569	538	491	677	498	336	494	278	349	282	203	247	338	344					
		60.51%	62.96%	64.13%	58.97%	56.73%	62.34%	71.30%	56.58%	68.33%	59.96%	58.10%	54.43%	66.50%	63.36%	63.04%	60.99%	42.19%	72.56%	51.65%	54.13%	65.87%	54.17%	59.72%					
22	. Хакамада Ирина Муцуовна	204	11	13	2	4	9	10	14	6	16	22	16	12	19	9	7	10	6	2	4	2	6	4					
		1.38%	1.77%	2.20%	0.61%	0.83%	1.17%	1.32%	1.67%	0.73%	1.69%	2.38%	1.77%	1.18%	2.42%	1.69%	0.86%	1.52%	1.25%	0.37%	1.07%	0.53%	0.96%	0.69%					
23	. Харитонов Николай Михайлович	4181	157	155	92	169	205	138	248	192	280	288	300	216	198	125	239	298	87	202	121	103	201	167					
		28.31%	25.28%	26.23%	27.96%	34.99%	26.62%	18.25%	29.67%	23.30%	29.50%	31.10%	33.26%	21.22%	25.19%	23.45%	29.51%	45.22%	18.09%	37.00%	32.27%	27.47%	32.21%	28.99%					
																													
24	Против всех	246	5	7	8	9	7	9	14	5	20	18	22	23	17	7	10	9	3	12	6	6	22	7					
		1.67%	0.81%	1.18%	2.43%	1.86%	0.91%	1.19%	1.67%	0.61%	2.11%	1.94%	2.44%	2.26%	2.16%	1.31%	1.23%	1.37%	0.62%	2.20%	1.60%	1.60%	3.53%	1.22%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
