Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Щигровская городская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	10	4	3	6	4	4	6	2	4	2									
		0.90%	1.62%	0.76%	0.52%	1.02%	0.62%	0.81%	1.09%	0.87%	0.72%	0.80%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	264	37	27	24	30	18	27	38	10	38	15									
		5.25%	5.98%	5.16%	4.20%	5.11%	2.79%	5.48%	6.91%	4.33%	6.86%	5.98%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	90	12	8	8	7	12	11	8	4	16	4									
		1.79%	1.94%	1.53%	1.40%	1.19%	1.86%	2.23%	1.45%	1.73%	2.89%	1.59%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2253	274	246	246	262	295	239	235	102	239	115									
		44.84%	44.26%	47.04%	43.01%	44.63%	45.74%	48.48%	42.73%	44.16%	43.14%	45.82%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	38	5	3	0	3	11	2	4	2	7	1									
		0.76%	0.81%	0.57%	0.00%	0.51%	1.71%	0.41%	0.73%	0.87%	1.26%	0.40%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	1	1	2	3	2	2	1	0	0	0									
		0.24%	0.16%	0.19%	0.35%	0.51%	0.31%	0.41%	0.18%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	929	123	94	119	125	118	92	99	44	72	43									
		18.49%	19.87%	17.97%	20.80%	21.29%	18.29%	18.66%	18.00%	19.05%	12.99%	17.13%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	18	0	3	0	1	5	0	5	0	2	2									
		0.36%	0.00%	0.57%	0.00%	0.17%	0.78%	0.00%	0.91%	0.00%	0.36%	0.80%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	25	3	1	3	5	4	2	3	1	3	0									
		0.50%	0.48%	0.19%	0.52%	0.85%	0.62%	0.41%	0.55%	0.43%	0.54%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	2	0	2	0	1	0	0	0	1	0									
		0.12%	0.32%	0.00%	0.35%	0.00%	0.16%	0.00%	0.00%	0.00%	0.18%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	39	2	5	1	9	9	1	7	0	4	1									
		0.78%	0.32%	0.96%	0.17%	1.53%	1.40%	0.20%	1.27%	0.00%	0.72%	0.40%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	942	92	86	121	94	118	89	112	45	131	54									
		18.75%	14.86%	16.44%	21.15%	16.01%	18.29%	18.05%	20.36%	19.48%	23.65%	21.51%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	76	21	11	4	4	6	5	8	5	9	3									
		1.51%	3.39%	2.10%	0.70%	0.68%	0.93%	1.01%	1.45%	2.16%	1.62%	1.20%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	157	21	22	21	20	22	10	10	9	14	8									
		3.12%	3.39%	4.21%	3.67%	3.41%	3.41%	2.03%	1.82%	3.90%	2.53%	3.19%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
