Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Мошковская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК  693	УИК  694	УИК  695	УИК  696	УИК  697	УИК  698	УИК  699	УИК  700	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724	УИК  725	УИК  726	УИК  727	УИК  728	УИК  729	УИК  730	УИК  731	УИК  732	УИК  733					
1	"Число избирателей, внесенных в список"	30878	1123	2442	2401	1761	1514	1948	563	1209	176	275	308	2412	2265	367	538	119	206	338	219	778	263	483	254	151	337	729	192	551	150	151	824	2058	768	114	886	574	170	242	664	237	118					
2	Число полученных избирательных бюллетеней	29645	1000	2150	2250	1600	1500	1900	558	1200	178	261	301	2250	2150	359	516	118	197	336	225	787	263	478	255	155	342	725	192	545	153	156	833	2000	748	114	863	577	172	238	650	233	117					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17080	560	1297	1313	1062	803	1001	306	667	86	141	156	1410	1144	226	333	64	91	166	139	365	164	319	143	99	215	404	94	297	103	101	428	1030	392	72	533	427	135	173	359	155	107					
5	"Число избирательных бюллетеней, выданных вне помещения"	1020	60	65	46	20	83	56	12	53	13	9	21	26	29	21	5	12	22	19	12	46	8	0	8	0	12	65	19	74	6	12	27	68	42	21	17	0	0	0	11	0	0					
6	Число погашенных избирательных бюллетеней	11545	380	788	891	518	614	843	240	480	79	111	124	814	977	112	178	42	84	151	74	376	91	159	104	56	115	256	79	174	44	43	378	902	314	21	313	150	37	65	280	78	10					
7	Число избирательных бюллетеней в переносных ящиках	1020	60	65	46	20	83	56	12	53	13	9	21	26	29	21	5	12	22	19	12	46	8	0	8	0	12	65	19	74	6	12	27	68	42	21	17	0	0	0	11	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	16996	560	1296	1313	1062	720	1001	306	667	86	141	156	1410	1144	226	333	64	91	166	139	365	164	319	143	99	215	404	94	297	103	101	428	1030	392	72	533	427	135	173	359	155	107					
9	Число недействительных избирательных бюллетеней	203	5	1	19	8	6	20	0	11	6	4	3	17	3	4	8	2	0	3	1	7	4	6	0	0	3	8	0	2	1	1	6	6	4	7	8	0	4	6	8	1	0					
10	Число действительных избирательных бюллетеней	17813	615	1360	1340	1074	797	1037	318	709	93	146	174	1419	1170	243	330	74	113	182	150	404	168	313	151	99	224	461	113	369	108	112	449	1092	430	86	542	427	131	167	362	154	107					
