Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Новохоперская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440					
1	"Число избирателей, внесенных в список"	35566	1779	2312	1292	985	302	1726	1326	2008	1481	482	721	683	636	309	160	533	552	768	892	1914	745	454	259	423	659	903	521	880	2610	622	179	488	325	391	392	521	1139	2349	709	136					
2	Число полученных избирательных бюллетеней	34645	1700	2200	1200	950	300	1700	1300	1900	1400	450	750	680	640	310	163	520	560	770	900	1910	750	470	270	400	650	900	520	850	2400	630	184	500	320	410	400	530	1100	2200	710	148					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20229	922	1122	889	456	187	1010	714	902	681	299	496	371	421	192	118	331	373	345	563	1150	432	341	181	277	407	714	352	392	1298	384	126	341	237	255	300	344	566	1196	467	77					
5	"Число избирательных бюллетеней, выданных вне помещения"	4896	106	110	114	72	30	60	193	132	242	86	93	192	113	55	30	85	72	293	171	341	173	69	56	64	205	95	99	263	272	118	30	53	44	91	50	92	103	188	189	52					
6	Число погашенных избирательных бюллетеней	9520	672	968	197	422	83	630	393	866	477	65	161	117	106	63	15	104	115	132	166	419	145	60	33	59	38	91	69	195	830	128	28	106	39	64	50	94	431	816	54	19					
7	Число избирательных бюллетеней в переносных ящиках	4896	106	110	114	72	30	60	193	132	242	86	93	192	113	55	30	85	72	293	171	341	173	69	56	64	205	95	99	263	272	118	30	53	44	91	50	92	103	188	189	52					
8	Число бюллетеней в стационарных ящиках для голосования	20203	903	1122	889	456	187	1010	714	902	681	299	496	371	421	192	118	331	373	345	563	1150	432	341	181	277	407	714	352	392	1298	384	126	341	236	249	300	344	566	1196	467	77					
9	Число недействительных избирательных бюллетеней	179	11	5	10	9	0	4	9	11	8	4	2	1	2	1	0	2	2	6	6	5	2	0	1	0	6	6	0	4	12	4	0	3	0	5	2	11	1	18	2	4					
10	Число действительных избирательных бюллетеней	24920	998	1227	993	519	217	1066	898	1023	915	381	587	562	532	246	148	414	443	632	728	1486	603	410	236	341	606	803	451	651	1558	498	156	391	280	335	348	425	668	1366	654	125					
11	Число полученных открепительных  удостоверений	312	20	20	15	4	2	22	6	15	5	2	29	3	4	4	3	2	10	12	13	5	3	2	2	2	3	5	2	2	8	2	2	13	4	10	12	2	6	10	25	1					
12	Число выданных открепительных удостоверений	258	17	16	15	2	2	13	6	13	4	1	27	3	4	3	3	1	3	12	9	5	3	1	1	2	1	4	1	2	8	1	0	13	4	7	12	2	3	8	25	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	130	39	1	7	2	3	2	1	4	4	3	0	1	1	1	3	3	0	2	4	4	2	0	1	2	1	6	0	0	13	2	1	0	3	2	3	0	2	4	2	1					
14	Число неиспользованных открепительных удостоверений	54	3	4	0	2	0	9	0	2	1	1	2	0	0	1	0	1	7	0	4	0	0	1	1	0	2	1	1	0	0	1	2	0	0	3	0	0	3	2	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	502	23	31	18	17	9	28	16	21	11	6	6	7	11	3	6	6	5	16	16	19	11	3	6	4	5	17	12	7	34	9	4	5	12	2	6	13	19	30	27	1					
		2.00%	2.28%	2.52%	1.79%	3.22%	4.15%	2.62%	1.76%	2.03%	1.19%	1.56%	1.02%	1.24%	2.06%	1.21%	4.05%	1.44%	1.12%	2.51%	2.18%	1.27%	1.82%	0.73%	2.53%	1.17%	0.82%	2.10%	2.66%	1.07%	2.17%	1.79%	2.56%	1.27%	4.29%	0.59%	1.71%	2.98%	2.84%	2.17%	4.12%	0.78%					
19	. Малышкин Олег Александрович	614	25	40	18	9	6	27	11	26	23	12	12	11	5	5	4	22	6	15	19	40	21	9	3	8	6	24	8	15	40	15	7	11	10	7	10	15	12	23	30	4					
