Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Абинская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141					
1	"Число избирателей, внесенных в список"	66550	2725	2347	1982	1472	2194	2927	2700	2687	2261	2850	282	261	2635	763	460	819	2283	2291	2142	1700	2204	2667	1560	1832	2122	1622	1636	1438	1502	1587	700	520	322	291	1906	1987	326	1260	1540	1116	631					
2	Число полученных избирательных бюллетеней	66479	2818	2289	1969	1399	2192	2926	2737	2670	2263	2858	276	265	2593	758	460	817	2278	2302	2126	1694	2160	2660	1712	1840	2068	1627	1645	1430	1510	1599	706	525	320	286	1870	1950	326	1254	1547	1123	631					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	38419	1557	1358	1141	800	1170	1462	1513	1532	1159	1675	197	226	1431	507	352	667	1296	1371	1173	852	1134	1475	813	850	1086	859	1047	869	896	690	439	293	236	223	1060	1261	249	908	1180	966	446					
5	"Число избирательных бюллетеней, выданных вне помещения"	3750	100	48	76	43	164	178	164	97	161	92	34	11	98	37	9	77	59	82	176	95	161	101	53	183	99	130	101	88	100	138	151	148	42	27	63	114	30	39	83	20	78					
6	Число погашенных избирательных бюллетеней	24310	1161	883	752	556	858	1286	1060	1041	943	1091	45	28	1064	214	99	73	923	849	777	747	865	1084	846	807	883	638	497	473	514	771	116	84	42	36	747	575	47	307	284	137	107					
7	Число избирательных бюллетеней в переносных ящиках	3750	100	48	76	43	164	178	164	97	161	92	34	11	98	37	9	77	59	82	176	95	161	101	53	183	99	130	101	88	100	138	151	148	42	27	63	114	30	39	83	20	78					
8	Число бюллетеней в стационарных ящиках для голосования	38416	1557	1358	1141	800	1170	1462	1513	1532	1159	1675	197	226	1431	507	352	667	1295	1371	1173	852	1132	1475	813	850	1086	859	1047	869	896	690	439	293	236	223	1060	1261	249	908	1180	966	446					
9	Число недействительных избирательных бюллетеней	266	12	5	7	8	4	4	19	10	9	1	2	2	5	0	1	10	8	8	7	9	9	9	6	6	7	8	0	10	4	11	1	1	0	0	22	13	4	8	9	3	4					
10	Число действительных избирательных бюллетеней	41900	1645	1401	1210	835	1330	1636	1658	1619	1311	1766	229	235	1524	544	360	734	1346	1445	1342	938	1284	1567	860	1027	1178	981	1148	947	992	817	589	440	278	250	1101	1362	275	939	1254	983	520					
