Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Бежаницкая																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317					
1	"Число избирателей, внесенных в список"	13379	2727	613	1167	167	334	434	210	1048	293	364	343	571	597	409	569	285	83	132	123	161	237	121	369	123	593	984	322					
2	Число полученных избирательных бюллетеней	12002	2445	551	1078	141	297	396	189	954	263	328	297	503	544	373	515	257	70	117	113	144	208	108	320	108	531	864	288					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6155	1387	275	664	85	120	214	110	456	128	181	95	237	367	163	144	115	45	63	43	31	96	66	149	48	305	405	163					
5	"Число избирательных бюллетеней, выданных вне помещения"	2817	57	36	139	52	161	107	54	138	89	109	176	188	63	162	283	94	24	41	51	92	77	32	123	57	95	207	110					
6	Число погашенных избирательных бюллетеней	3030	1001	240	275	4	16	75	25	360	46	38	26	78	114	48	88	48	1	13	19	21	35	10	48	3	131	252	15					
7	Число избирательных бюллетеней в переносных ящиках	2817	57	36	139	52	161	107	54	138	89	109	176	188	63	162	283	94	24	41	51	92	77	32	123	57	95	207	110					
8	Число бюллетеней в стационарных ящиках для голосования	6155	1387	275	664	85	120	214	110	456	128	181	95	237	367	163	144	115	45	63	43	31	96	66	149	48	305	405	163					
9	Число недействительных избирательных бюллетеней	59	13	2	10	1	0	1	1	4	1	4	1	4	3	1	1	0	1	0	0	0	0	1	1	0	6	3	0					
10	Число действительных избирательных бюллетеней	8913	1431	309	793	136	281	320	163	590	216	286	270	421	427	324	426	209	68	104	94	123	173	97	271	105	394	609	273					
11	Число полученных открепительных  удостоверений	218	38	10	15	5	5	5	5	15	5	5	5	10	10	5	5	5	5	5	5	5	5	5	5	5	10	15	5					
12	Число выданных открепительных удостоверений	52	20	0	12	0	0	1	2	4	0	1	0	5	0	1	0	0	0	0	0	0	0	0	1	0	0	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	11	0	2	3	9	1	0	0	4	4	1	4	1	1	0	0	3	2	1	3	1	1	1	2	0	8	1					
14	Число неиспользованных открепительных удостоверений	166	18	10	3	5	5	4	3	11	5	4	5	5	10	4	5	5	5	5	5	5	5	5	4	5	10	11	4					
15	"Число открепительных удостоверений, выданных в ТИК"	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
