Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Быстроистокская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683					
1	"Число избирателей, внесенных в список"	9781	1111	1403	1237	1076	834	563	961	1204	1096	296					
2	Число полученных избирательных бюллетеней	9830	1100	1430	1250	1080	840	570	970	1200	1090	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6065	605	814	752	628	464	364	635	768	821	214					
5	"Число избирательных бюллетеней, выданных вне помещения"	525	60	78	69	84	36	34	96	35	21	12					
6	Число погашенных избирательных бюллетеней	3240	435	538	429	368	340	172	239	397	248	74					
7	Число избирательных бюллетеней в переносных ящиках	525	60	78	69	84	36	34	96	35	21	12					
8	Число бюллетеней в стационарных ящиках для голосования	6063	604	814	752	628	464	364	635	767	821	214					
9	Число недействительных избирательных бюллетеней	68	9	17	5	5	4	7	6	4	7	4					
10	Число действительных избирательных бюллетеней	6520	655	875	816	707	496	391	725	798	835	222					
11	Число полученных открепительных  удостоверений	95	10	10	10	10	10	7	10	10	10	8					
12	Число выданных открепительных удостоверений	28	0	6	4	5	3	1	2	2	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	8	3	1	0	1	0	1	1	0	1	0					
14	Число неиспользованных открепительных удостоверений	67	10	4	6	5	7	6	8	8	5	8					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	1	1	3	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	176	15	18	19	18	19	17	16	19	24	11					
		2.67%	2.26%	2.02%	2.31%	2.53%	3.80%	4.27%	2.19%	2.37%	2.85%	4.87%					
19	. Малышкин Олег Александрович	213	23	30	20	14	29	15	20	19	35	8					
		3.23%	3.46%	3.36%	2.44%	1.97%	5.80%	3.77%	2.74%	2.37%	4.16%	3.54%					
20	. Миронов Сергей Михайлович	47	5	6	12	5	2	2	1	7	7	0					
		0.71%	0.75%	0.67%	1.46%	0.70%	0.40%	0.50%	0.14%	0.87%	0.83%	0.00%					
21	. Путин Владимир Владимирович	4011	432	547	521	417	322	268	348	445	579	132					
		60.88%	65.06%	61.32%	63.46%	58.57%	64.40%	67.34%	47.61%	55.49%	68.76%	58.41%					
22	. Хакамада Ирина Муцуовна	97	8	19	12	12	14	7	5	7	11	2					
		1.47%	1.20%	2.13%	1.46%	1.69%	2.80%	1.76%	0.68%	0.87%	1.31%	0.88%					
23	. Харитонов Николай Михайлович	1878	166	243	211	220	98	78	328	296	171	67					
		28.51%	25.00%	27.24%	25.70%	30.90%	19.60%	19.60%	44.87%	36.91%	20.31%	29.65%					
																	
24	Против всех	98	6	12	21	21	12	4	7	5	8	2					
		1.49%	0.90%	1.35%	2.56%	2.95%	2.40%	1.01%	0.96%	0.62%	0.95%	0.88%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
