Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Хоринская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793					
1	"Число избирателей, внесенных в список"	13575	85	156	82	1242	535	217	551	181	138	744	126	303	358	174	116	329	199	227	258	232	217	331	155	163	418	2369	2519	1150					
2	Число полученных избирательных бюллетеней	13423	82	159	83	1222	528	202	531	220	141	733	128	303	355	172	110	342	199	227	251	236	227	336	159	169	426	2277	2513	1092					
3	"Число избирательных бюллетеней, выданных  досрочно"	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9004	59	114	54	863	353	127	387	144	110	502	94	234	239	122	82	264	166	146	185	173	173	245	111	123	326	1386	1564	658					
5	"Число избирательных бюллетеней, выданных вне помещения"	911	1	8	11	41	50	29	64	37	12	44	19	13	25	17	12	36	14	40	29	25	24	30	23	24	32	118	89	44					
6	Число погашенных избирательных бюллетеней	3504	18	37	18	318	125	46	80	39	19	187	15	56	91	33	16	42	19	41	37	38	30	61	25	22	68	773	860	390					
7	Число избирательных бюллетеней в переносных ящиках	915	5	8	11	41	50	29	64	37	12	44	19	13	25	17	12	36	14	40	29	25	24	30	23	24	32	118	89	44					
8	Число бюллетеней в стационарных ящиках для голосования	8971	59	114	54	863	353	127	387	144	110	502	94	234	239	122	82	264	166	146	185	173	173	245	111	123	326	1358	1560	657					
9	Число недействительных избирательных бюллетеней	188	0	4	1	36	6	2	3	2	2	47	0	5	7	1	0	2	4	5	1	5	2	6	0	0	3	0	32	12					
10	Число действительных избирательных бюллетеней	9698	64	118	64	868	397	154	448	179	120	499	113	242	257	138	94	298	176	181	213	193	195	269	134	147	355	1476	1617	689					
11	Число полученных открепительных  удостоверений	497	5	12	4	28	10	5	18	5	5	28	5	12	9	5	5	16	9	5	7	10	15	10	10	10	18	85	96	50					
12	Число выданных открепительных удостоверений	258	0	7	0	21	1	1	7	1	5	6	2	6	9	4	3	16	9	2	0	8	15	7	6	10	15	33	40	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	147	3	3	1	12	5	6	0	9	0	6	3	6	1	5	8	2	0	2	1	1	2	1	3	2	2	36	22	5					
14	Число неиспользованных открепительных удостоверений	239	5	5	4	7	9	4	11	4	0	22	3	6	0	1	2	0	0	3	7	2	0	3	4	0	3	52	56	26					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	161	1	6	0	20	8	1	9	2	0	6	0	1	4	2	0	2	7	0	10	7	4	2	0	0	9	25	24	11					
		1.63%	1.56%	4.92%	0.00%	2.21%	1.99%	0.64%	2.00%	1.10%	0.00%	1.10%	0.00%	0.40%	1.52%	1.44%	0.00%	0.67%	3.89%	0.00%	4.67%	3.54%	2.03%	0.73%	0.00%	0.00%	2.51%	1.69%	1.46%	1.57%					
19	. Малышкин Олег Александрович	114	3	0	1	21	4	2	5	0	1	5	2	3	1	3	0	0	5	1	3	5	0	7	0	0	11	14	14	3					
		1.15%	4.69%	0.00%	1.54%	2.32%	0.99%	1.28%	1.11%	0.00%	0.82%	0.92%	1.77%	1.21%	0.38%	2.16%	0.00%	0.00%	2.78%	0.54%	1.40%	2.53%	0.00%	2.55%	0.00%	0.00%	3.07%	0.95%	0.85%	0.43%					
20	. Миронов Сергей Михайлович	52	0	1	0	6	1	2	1	0	1	3	0	2	5	1	0	5	2	1	1	0	0	2	0	1	0	9	5	3					
		0.53%	0.00%	0.82%	0.00%	0.66%	0.25%	1.28%	0.22%	0.00%	0.82%	0.55%	0.00%	0.81%	1.89%	0.72%	0.00%	1.67%	1.11%	0.54%	0.47%	0.00%	0.00%	0.73%	0.00%	0.68%	0.00%	0.61%	0.30%	0.43%					
21	. Путин Владимир Владимирович	7517	50	92	59	670	311	112	340	127	104	399	101	190	183	85	83	236	146	136	164	148	171	207	126	127	258	1125	1229	538					
		76.04%	78.12%	75.41%	90.77%	74.12%	77.17%	71.79%	75.39%	70.17%	85.25%	73.08%	89.38%	76.92%	69.32%	61.15%	88.30%	78.67%	81.11%	73.12%	76.64%	74.75%	86.80%	75.27%	94.03%	86.39%	72.07%	76.22%	74.53%	76.75%					
22	. Хакамада Ирина Муцуовна	391	0	9	0	34	10	8	12	6	7	8	2	5	11	3	1	18	5	9	2	3	6	8	1	6	7	74	90	46					
		3.96%	0.00%	7.38%	0.00%	3.76%	2.48%	5.13%	2.66%	3.31%	5.74%	1.47%	1.77%	2.02%	4.17%	2.16%	1.06%	6.00%	2.78%	4.84%	0.93%	1.52%	3.05%	2.91%	0.75%	4.08%	1.96%	5.01%	5.46%	6.56%					
23	. Харитонов Николай Михайлович	1388	10	7	4	111	57	27	79	44	6	73	8	38	47	40	10	36	10	33	33	30	14	39	6	12	68	219	241	86					
		14.04%	15.62%	5.74%	6.15%	12.28%	14.14%	17.31%	17.52%	24.31%	4.92%	13.37%	7.08%	15.38%	17.80%	28.78%	10.64%	12.00%	5.56%	17.74%	15.42%	15.15%	7.11%	14.18%	4.48%	8.16%	18.99%	14.84%	14.61%	12.27%					
																																			
