Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Вяземская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563					
1	"Число избирателей, внесенных в список"	19749	121	224	523	140	220	408	306	543	697	308	612	423	179	1183	375	189	332	183	1417	865	945	1495	1130	1658	1566	1311	1593	803					
2	Число полученных избирательных бюллетеней	19632	128	228	570	163	222	435	300	550	720	338	644	405	187	1195	410	196	353	199	1374	854	750	1451	1110	1575	1570	1320	1595	790					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11775	108	141	357	119	177	285	240	386	448	244	416	317	145	721	284	127	206	157	670	402	425	828	510	997	980	674	805	606					
5	"Число избирательных бюллетеней, выданных вне помещения"	1050	5	37	30	8	17	40	12	24	22	33	30	11	11	105	28	5	26	9	98	39	124	28	57	43	45	49	91	23					
6	Число погашенных избирательных бюллетеней	6807	15	50	183	36	28	110	48	140	250	61	198	77	31	369	98	64	121	33	606	413	201	595	543	535	545	597	699	161					
7	Число избирательных бюллетеней в переносных ящиках	1050	5	37	30	8	17	40	12	24	22	33	30	11	11	105	28	5	26	9	98	39	124	28	57	43	45	49	91	23					
8	Число бюллетеней в стационарных ящиках для голосования	11760	108	141	357	119	177	285	240	386	448	243	416	317	145	721	284	127	206	157	670	402	425	828	510	984	980	674	804	606					
9	Число недействительных избирательных бюллетеней	177	0	2	1	4	3	3	1	10	6	0	9	8	1	23	4	0	2	3	6	7	5	13	17	13	8	3	10	15					
10	Число действительных избирательных бюллетеней	12633	113	176	386	123	191	322	251	400	464	276	437	320	155	803	308	132	230	163	762	434	544	843	550	1014	1017	720	885	614					
11	Число полученных открепительных  удостоверений	486	15	7	28	12	12	19	3	19	13	32	32	19	7	18	42	7	7	22	15	10	10	19	17	31	25	15	15	15					
12	Число выданных открепительных удостоверений	421	13	2	22	11	7	19	0	14	11	32	32	17	5	18	37	6	7	19	10	8	8	18	14	30	25	10	11	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	224	1	3	6	4	3	7	3	4	5	6	5	10	2	17	5	3	3	7	14	7	16	11	5	28	14	12	11	12					
14	Число неиспользованных открепительных удостоверений	65	2	5	6	1	5	0	3	5	2	0	0	2	2	0	5	1	0	3	5	2	2	1	3	1	0	5	4	0					
15	"Число открепительных удостоверений, выданных в ТИК"	9	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	2	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	532	0	7	3	3	2	8	4	18	21	4	11	12	1	22	12	4	7	2	40	27	25	57	16	65	66	28	44	23					
		4.15%	0.00%	3.93%	0.78%	2.36%	1.03%	2.46%	1.59%	4.39%	4.47%	1.45%	2.47%	3.66%	0.64%	2.66%	3.85%	3.03%	3.02%	1.20%	5.21%	6.12%	4.55%	6.66%	2.82%	6.33%	6.44%	3.87%	4.92%	3.66%					
19	. Малышкин Олег Александрович	470	1	11	23	2	1	6	3	19	36	9	19	13	6	30	4	13	17	6	34	14	20	27	29	29	29	24	33	12					
		3.67%	0.88%	6.18%	5.94%	1.57%	0.52%	1.85%	1.19%	4.63%	7.66%	3.26%	4.26%	3.96%	3.85%	3.63%	1.28%	9.85%	7.33%	3.61%	4.43%	3.17%	3.64%	3.15%	5.11%	2.82%	2.83%	3.32%	3.69%	1.91%					
20	. Миронов Сергей Михайлович	147	0	3	5	1	0	2	2	9	5	2	9	3	3	11	0	1	1	2	11	7	6	17	10	9	14	7	5	2					
		1.15%	0.00%	1.69%	1.29%	0.79%	0.00%	0.62%	0.79%	2.20%	1.06%	0.72%	2.02%	0.91%	1.92%	1.33%	0.00%	0.76%	0.43%	1.20%	1.43%	1.59%	1.09%	1.99%	1.76%	0.88%	1.37%	0.97%	0.56%	0.32%					
