Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Арманская													
													
Итоги голосования 													
													
		Сумма	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84					
1	"Число избирателей, внесенных в список"	2770	1276	76	93	497	335	493					
2	Число полученных избирательных бюллетеней	2794	1269	72	97	499	353	504					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	1627	695	54	71	318	204	285					
5	"Число избирательных бюллетеней, выданных вне помещения"	104	88	0	0	16	0	0					
6	Число погашенных избирательных бюллетеней	1063	486	18	26	165	149	219					
7	Число избирательных бюллетеней в переносных ящиках	104	88	0	0	16	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	1627	695	54	71	318	204	285					
9	Число недействительных избирательных бюллетеней	13	7	0	0	2	2	2					
10	Число действительных избирательных бюллетеней	1718	776	54	71	332	202	283					
11	Число полученных открепительных  удостоверений	100	35	10	10	15	15	15					
12	Число выданных открепительных удостоверений	23	7	0	1	9	3	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	6	1	1	0	3	0	1					
14	Число неиспользованных открепительных удостоверений	77	28	10	9	6	12	12					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	45	15	0	2	7	8	13					
		2.60%	1.92%	0.00%	2.82%	2.10%	3.92%	4.56%					
19	. Малышкин Олег Александрович	65	31	1	4	8	6	15					
		3.76%	3.96%	1.85%	5.63%	2.40%	2.94%	5.26%					
20	. Миронов Сергей Михайлович	7	4	0	0	2	0	1					
		0.40%	0.51%	0.00%	0.00%	0.60%	0.00%	0.35%					
21	. Путин Владимир Владимирович	1336	566	49	51	279	156	235					
		77.18%	72.29%	90.74%	71.83%	83.53%	76.47%	82.46%					
22	. Хакамада Ирина Муцуовна	44	19	1	5	4	6	9					
		2.54%	2.43%	1.85%	7.04%	1.20%	2.94%	3.16%					
23	. Харитонов Николай Михайлович	181	120	2	9	24	16	10					
		10.46%	15.33%	3.70%	12.68%	7.19%	7.84%	3.51%					
													
24	Против всех	40	21	1	0	8	10	0					
		2.31%	2.68%	1.85%	0.00%	2.40%	4.90%	0.00%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
