Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    Тюлячинская																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769					
1	"Число избирателей, внесенных в список"	10055	891	463	694	143	517	238	173	452	466	369	404	287	309	564	632	408	380	377	188	258	373	310	113	238	316	159	217	116					
2	Число полученных избирательных бюллетеней	10171	880	455	685	146	526	250	177	459	484	374	407	287	309	584	642	408	387	377	192	262	372	314	114	244	346	157	217	116					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9405	827	437	664	129	394	226	166	431	374	358	401	287	305	536	617	385	344	373	180	255	342	298	113	232	276	143	206	106					
5	"Число избирательных бюллетеней, выданных вне помещения"	569	43	17	21	14	118	10	7	20	91	8	2	0	4	21	8	19	36	4	8	3	28	8	0	6	40	14	9	10					
6	Число погашенных избирательных бюллетеней	197	10	1	0	3	14	14	4	8	19	8	4	0	0	27	17	4	7	0	4	4	2	8	1	6	30	0	2	0					
7	Число избирательных бюллетеней в переносных ящиках	569	43	17	21	14	118	10	7	20	91	8	2	0	4	21	8	19	36	4	8	3	28	8	0	6	40	14	9	10					
8	Число бюллетеней в стационарных ящиках для голосования	9405	827	437	664	129	394	226	166	431	374	358	401	287	305	536	617	385	344	373	180	255	342	298	113	232	276	143	206	106					
9	Число недействительных избирательных бюллетеней	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0					
10	Число действительных избирательных бюллетеней	9971	870	454	684	143	512	236	173	451	465	366	403	287	309	557	625	404	380	377	188	258	370	306	113	236	316	157	215	116					
11	Число полученных открепительных  удостоверений	400	59	50	20	25	12	14	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	150	19	16	8	7	12	14	2	6	10	3	5	2	1	8	6	0	2	4	3	1	2	6	0	2	10	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	98	34	3	4	3	4	2	2	1	6	0	4	2	4	1	2	2	2	4	1	2	3	0	1	0	0	4	4	3					
14	Число неиспользованных открепительных удостоверений	250	40	34	12	18	0	0	8	4	0	7	5	8	9	2	4	10	8	6	7	9	8	4	10	8	0	10	10	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																			
18	. Глазьев Сергей Юрьевич	19	0	0	0	0	0	0	0	0	0	0	2	2	2	0	4	0	1	0	1	1	2	0	0	2	0	0	0	2					
		0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.70%	0.65%	0.00%	0.64%	0.00%	0.26%	0.00%	0.53%	0.39%	0.54%	0.00%	0.00%	0.84%	0.00%	0.00%	0.00%	1.72%					
19	. Малышкин Олег Александрович	7	0	0	0	0	1	0	0	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
		0.07%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.22%	0.00%	0.25%	0.00%	0.65%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.86%					
20	. Миронов Сергей Михайлович	13	4	4	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
		0.13%	0.46%	0.88%	0.00%	0.00%	0.20%	0.00%	0.00%	0.22%	0.22%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	9806	853	445	671	142	504	234	170	446	458	358	395	285	295	546	615	400	377	374	185	253	367	302	111	234	311	154	210	111					
		98.32%	98.05%	98.02%	97.96%	99.30%	98.44%	99.15%	98.27%	98.89%	98.49%	97.81%	98.01%	99.30%	95.47%	98.03%	98.40%	99.01%	99.21%	99.20%	98.40%	98.06%	99.19%	98.69%	98.23%	98.32%	98.42%	98.09%	97.67%	95.69%					
22	. Хакамада Ирина Муцуовна	33	5	2	0	0	2	0	0	2	5	0	2	0	0	1	0	2	0	0	1	1	0	4	0	0	5	1	0	0					
		0.33%	0.57%	0.44%	0.00%	0.00%	0.39%	0.00%	0.00%	0.44%	1.08%	0.00%	0.50%	0.00%	0.00%	0.18%	0.00%	0.50%	0.00%	0.00%	0.53%	0.39%	0.00%	1.31%	0.00%	0.00%	1.58%	0.64%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	84	8	3	10	1	4	2	3	1	0	7	1	0	10	8	6	2	0	3	0	3	1	0	2	0	0	2	5	2					
		0.84%	0.92%	0.66%	1.46%	0.70%	0.78%	0.85%	1.73%	0.22%	0.00%	1.91%	0.25%	0.00%	3.24%	1.44%	0.96%	0.50%	0.00%	0.80%	0.00%	1.16%	0.27%	0.00%	1.77%	0.00%	0.00%	1.27%	2.33%	1.72%					
																																			
24	Против всех	9	0	0	3	0	0	0	0	1	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.27%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
