Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Новотроицкая городская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877					
1	"Число избирателей, внесенных в список"	85653	1155	998	1498	2194	1733	1695	1707	1605	1727	1668	1756	1776	1785	1459	1793	1735	1838	1688	1812	1740	1748	2299	1821	1575	1739	1607	1663	2444	1691	1928	1688	1794	2353	2147	1742	1702	1458	1269	696	2126	949	1687	1228	1041	818	1228	918	1488	261	594	2039	1511	1391	1648					
2	Число полученных избирательных бюллетеней	84770	1150	1000	1500	2200	1700	1700	1700	1600	1700	1600	1770	1750	1800	1450	1750	1700	1850	1700	1800	1750	1750	2300	1800	1550	1700	1600	1650	2450	1700	1900	1700	1800	2350	2150	1750	1700	1400	1200	650	2100	900	1650	1150	1000	800	1200	900	1500	200	550	2050	1500	1400	1600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47099	581	529	802	1087	839	977	1088	911	975	946	934	869	1001	880	1063	1057	1054	1041	1046	1024	963	1354	1014	872	1010	864	984	1481	931	1086	964	1003	1356	813	903	892	715	596	354	1273	468	803	602	489	441	733	488	866	133	303	1131	872	753	885					
5	"Число избирательных бюллетеней, выданных вне помещения"	1365	10	15	12	49	20	41	26	18	24	39	18	16	16	16	22	29	38	27	28	22	32	22	24	17	37	21	21	41	20	11	10	16	7	17	39	25	21	22	17	24	56	19	98	29	9	72	18	15	19	30	19	24	4	23					
6	Число погашенных избирательных бюллетеней	36306	559	456	686	1064	841	682	586	671	701	615	818	865	783	554	665	614	758	632	726	704	755	924	762	661	653	715	645	928	749	803	726	781	987	1320	808	783	664	582	279	803	376	828	450	482	350	395	394	619	48	217	900	604	643	692					
7	Число избирательных бюллетеней в переносных ящиках	1365	10	15	12	49	20	41	26	18	24	39	18	16	16	16	22	29	38	27	28	22	32	22	24	17	37	21	21	41	20	11	10	16	7	17	39	25	21	22	17	24	56	19	98	29	9	72	18	15	19	30	19	24	4	23					
8	Число бюллетеней в стационарных ящиках для голосования	47088	581	529	802	1087	839	977	1087	911	975	946	934	869	999	880	1063	1057	1054	1041	1046	1024	963	1354	1014	872	1010	864	984	1481	931	1086	961	1003	1356	813	903	892	715	592	354	1273	467	803	602	489	441	733	488	866	133	303	1131	872	753	885					
9	Число недействительных избирательных бюллетеней	466	10	8	12	9	11	2	42	12	7	6	9	5	10	10	4	18	11	6	17	9	6	18	10	2	7	8	4	8	14	12	8	7	11	10	7	8	8	8	3	9	1	9	0	12	5	5	7	12	0	1	5	7	9	7					
10	Число действительных избирательных бюллетеней	47987	581	536	802	1127	848	1016	1071	917	992	979	943	880	1005	886	1081	1068	1081	1062	1057	1037	989	1358	1028	887	1040	877	1001	1514	937	1085	963	1012	1352	820	935	909	728	606	368	1288	522	813	700	506	445	800	499	869	152	332	1145	889	748	901					
