Выборы Президента Российской Федерации																																										
																																										
Наименование Избирательной комиссии:    Долгопрудненская городская																																										
																																										
Итоги голосования 																																										
																																										
		Сумма	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328					
1	"Число избирателей, внесенных в список"	61781	371	1742	452	1297	1731	1350	1946	1208	2211	259	2401	1960	2579	2164	2522	2305	2778	2833	2604	2844	2492	2716	2289	2186	1744	1623	1214	2500	2312	1055	859	908	1075	937	314					
2	Число полученных избирательных бюллетеней	59890	360	1700	900	1200	1700	1300	1900	1100	2100	300	2300	1900	2500	2100	2400	2200	2700	2800	2500	2700	2400	2700	2200	2100	1700	1600	1100	2400	2300	900	800	800	1000	900	330					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32971	195	1035	447	657	907	683	950	589	1308	213	1235	1060	1467	1190	1229	1254	1533	1448	1287	1475	1307	1294	1246	1151	956	797	661	1471	1275	539	394	431	578	496	213					
5	"Число избирательных бюллетеней, выданных вне помещения"	610	5	0	5	9	15	8	28	26	16	0	22	29	16	30	17	24	12	14	42	25	15	22	7	25	11	21	2	0	19	33	6	27	14	54	11					
6	Число погашенных избирательных бюллетеней	26307	160	665	448	534	778	609	922	485	776	87	1043	811	1017	880	1151	922	1155	1338	1171	1200	1078	1384	948	924	733	782	437	929	1006	328	400	342	408	350	106					
7	Число избирательных бюллетеней в переносных ящиках	610	5	0	5	9	15	8	28	26	16	0	22	29	16	30	17	24	12	14	42	25	15	22	7	25	11	21	2	0	19	33	6	27	14	54	11					
8	Число бюллетеней в стационарных ящиках для голосования	32927	195	1032	443	657	907	683	938	589	1306	213	1235	1060	1465	1189	1228	1254	1533	1448	1286	1475	1307	1291	1240	1151	953	797	661	1471	1272	539	394	431	578	493	213					
9	Число недействительных избирательных бюллетеней	272	2	6	3	3	10	2	4	3	10	2	19	8	11	7	12	11	11	17	6	10	12	14	9	16	3	5	5	4	10	3	7	7	6	8	6					
10	Число действительных избирательных бюллетеней	33265	198	1026	445	663	912	689	962	612	1312	211	1238	1081	1470	1212	1233	1267	1534	1445	1322	1490	1310	1299	1238	1160	961	813	658	1467	1281	569	393	451	586	539	218					
11	Число полученных открепительных  удостоверений	1650	50	50	50	50	50	50	50	50	50	0	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0					
12	Число выданных открепительных удостоверений	431	6	12	6	7	14	4	7	8	18	0	15	18	14	15	15	11	22	21	18	21	23	18	13	7	19	14	11	26	20	2	3	7	13	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	388	6	23	11	9	11	3	4	13	19	6	7	12	8	14	7	8	12	5	3	9	7	4	2	19	7	5	5	14	16	46	10	16	10	11	26					
14	Число неиспользованных открепительных удостоверений	1219	44	38	44	43	36	46	43	42	32	0	35	32	36	35	35	39	28	29	32	29	27	32	37	43	31	36	39	24	30	48	47	43	37	47	0					
15	"Число открепительных удостоверений, выданных в ТИК"	13	0	0	0	0	1	0	1	0	0	0	0	0	0	1	2	1	0	0	0	0	1	2	1	0	0	2	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																										
18	. Глазьев Сергей Юрьевич	2235	12	44	38	61	81	41	68	41	88	10	94	89	125	87	83	66	105	86	70	91	71	91	67	74	69	65	47	95	90	37	34	30	48	32	5					
		6.66%	6.00%	4.26%	8.48%	9.16%	8.79%	5.93%	7.04%	6.67%	6.66%	4.69%	7.48%	8.17%	8.44%	7.14%	6.67%	5.16%	6.80%	5.88%	5.27%	6.07%	5.37%	6.93%	5.37%	6.29%	7.16%	7.95%	7.09%	6.46%	6.97%	6.47%	8.50%	6.55%	8.11%	5.85%	2.23%					
19	. Малышкин Олег Александрович	452	1	14	7	3	14	9	10	3	15	4	16	9	18	14	17	21	35	17	21	10	20	16	9	20	15	13	10	24	21	6	8	10	4	15	3					
		1.35%	0.50%	1.36%	1.56%	0.45%	1.52%	1.30%	1.04%	0.49%	1.13%	1.88%	1.27%	0.83%	1.22%	1.15%	1.37%	1.64%	2.27%	1.16%	1.58%	0.67%	1.51%	1.22%	0.72%	1.70%	1.56%	1.59%	1.51%	1.63%	1.63%	1.05%	2.00%	2.18%	0.68%	2.74%	1.34%					
20	. Миронов Сергей Михайлович	177	0	17	4	6	6	5	6	5	7	3	11	3	5	6	7	6	4	3	4	9	7	7	4	6	4	3	5	8	8	1	2	1	2	2	0					
		0.53%	0.00%	1.65%	0.89%	0.90%	0.65%	0.72%	0.62%	0.81%	0.53%	1.41%	0.88%	0.28%	0.34%	0.49%	0.56%	0.47%	0.26%	0.21%	0.30%	0.60%	0.53%	0.53%	0.32%	0.51%	0.41%	0.37%	0.75%	0.54%	0.62%	0.17%	0.50%	0.22%	0.34%	0.37%	0.00%					
21	. Путин Владимир Владимирович	22708	141	578	280	433	554	456	650	417	841	157	843	693	974	799	839	897	1026	1019	946	1045	905	921	876	816	665	545	469	1043	898	393	260	320	426	402	181					
