Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Поворинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021					
1	"Число избирателей, внесенных в список"	27985	438	2810	2723	2582	2266	2019	1977	1168	2050	600	1260	1346	1196	1785	364	614	175	1318	304	569	421					
2	Число полученных избирательных бюллетеней	26988	454	2629	2500	2400	2100	1860	1850	1176	2075	589	1264	1305	1202	1760	376	617	183	1336	303	584	425					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15227	310	1397	2014	1807	1009	911	874	688	1370	409	478	470	673	661	205	247	89	730	202	407	276					
5	"Число избирательных бюллетеней, выданных вне помещения"	3020	67	174	212	120	103	115	139	165	97	71	268	342	142	337	130	217	56	112	31	56	66					
6	Число погашенных избирательных бюллетеней	8741	77	1058	274	473	988	834	837	323	608	109	518	493	387	762	41	153	38	494	70	121	83					
7	Число избирательных бюллетеней в переносных ящиках	3020	67	174	212	120	103	115	139	165	97	71	268	342	142	337	130	217	56	112	31	56	66					
8	Число бюллетеней в стационарных ящиках для голосования	15225	310	1397	2014	1807	1009	911	874	688	1370	409	476	470	673	661	205	247	89	730	202	407	276					
9	Число недействительных избирательных бюллетеней	100	0	10	1	0	4	8	1	7	15	6	6	8	3	5	0	0	2	14	3	3	4					
10	Число действительных избирательных бюллетеней	18145	377	1561	2225	1927	1108	1018	1012	846	1452	474	738	804	812	993	335	464	143	828	230	460	338					
11	Число полученных открепительных  удостоверений	247	10	20	20	20	20	20	20	10	20	8	10	10	10	10	0	9	4	7	4	10	5					
12	Число выданных открепительных удостоверений	92	2	3	13	4	3	1	2	3	8	3	8	2	7	3	0	8	2	7	0	9	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	54	6	3	2	15	4	1	0	7	4	0	0	2	1	2	0	0	0	3	0	1	3					
14	Число неиспользованных открепительных удостоверений	155	8	17	7	16	17	19	18	7	12	5	2	8	3	7	0	1	2	0	4	1	1					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	401	11	46	45	48	28	27	25	4	29	12	12	15	16	16	6	12	3	19	3	14	10					
		2.20%	2.92%	2.93%	2.02%	2.49%	2.52%	2.63%	2.47%	0.47%	1.98%	2.50%	1.61%	1.85%	1.96%	1.60%	1.79%	2.59%	2.07%	2.26%	1.29%	3.02%	2.92%					
19	. Малышкин Олег Александрович	493	9	35	73	37	33	16	20	13	47	13	23	25	25	27	9	14	2	28	4	17	23					
		2.70%	2.39%	2.23%	3.28%	1.92%	2.97%	1.56%	1.97%	1.52%	3.20%	2.71%	3.09%	3.08%	3.07%	2.71%	2.69%	3.02%	1.38%	3.33%	1.72%	3.67%	6.73%					
20	. Миронов Сергей Михайлович	133	3	10	13	13	11	6	3	5	6	4	5	8	5	14	4	7	1	4	3	4	4					
		0.73%	0.80%	0.64%	0.58%	0.67%	0.99%	0.58%	0.30%	0.59%	0.41%	0.83%	0.67%	0.99%	0.61%	1.40%	1.19%	1.51%	0.69%	0.48%	1.29%	0.86%	1.17%					
21	. Путин Владимир Владимирович	12879	274	894	1685	1499	771	679	733	572	940	364	566	606	581	705	260	356	107	557	170	375	185					
		70.59%	72.68%	56.91%	75.70%	77.79%	69.33%	66.18%	72.36%	67.06%	64.08%	75.83%	76.08%	74.63%	71.29%	70.64%	77.61%	76.72%	73.79%	66.15%	72.96%	80.99%	54.09%					
22	. Хакамада Ирина Муцуовна	249	4	29	26	36	22	13	14	6	15	6	7	8	9	8	4	3	4	19	1	5	10					
		1.36%	1.06%	1.85%	1.17%	1.87%	1.98%	1.27%	1.38%	0.70%	1.02%	1.25%	0.94%	0.99%	1.10%	0.80%	1.19%	0.65%	2.76%	2.26%	0.43%	1.08%	2.92%					
23	. Харитонов Николай Михайлович	3394	63	337	326	260	203	247	208	234	320	75	113	129	160	207	48	65	22	184	47	43	103					
		18.60%	16.71%	21.45%	14.65%	13.49%	18.26%	24.07%	20.53%	27.43%	21.81%	15.62%	15.19%	15.89%	19.63%	20.74%	14.33%	14.01%	15.17%	21.85%	20.17%	9.29%	30.12%					
																												
24	Против всех	596	13	210	57	34	40	30	9	12	95	0	12	13	16	16	4	7	4	17	2	2	3					
		3.27%	3.45%	13.37%	2.56%	1.76%	3.60%	2.92%	0.89%	1.41%	6.48%	0.00%	1.61%	1.60%	1.96%	1.60%	1.19%	1.51%	2.76%	2.02%	0.86%	0.43%	0.88%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
