Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    район Покровское-Стрешнево																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №3193	УИК №3194	УИК №3195	УИК №3196	УИК №3197	УИК №3198	УИК №3199					
1	"Число избирателей, внесенных в список"	33445	2183	2566	2480	2441	2011	2674	2340	2750	2849	2018	2284	2274	1842	1880	136	178	60	152	26	209	92					
2	Число полученных избирательных бюллетеней	33280	2200	2500	2400	2400	2000	2600	2300	2800	2800	2000	2200	2300	1900	1900	150	180	80	200	50	220	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18511	1267	1492	1476	1291	1044	1440	1261	1540	1473	1148	1091	1145	1076	1036	122	157	44	98	26	209	75					
5	"Число избирательных бюллетеней, выданных вне помещения"	587	48	30	49	43	38	31	14	39	36	23	51	41	17	5	14	21	16	54	0	0	17					
6	Число погашенных избирательных бюллетеней	14182	885	978	875	1066	918	1129	1025	1221	1291	829	1058	1114	807	859	14	2	20	48	24	11	8					
7	Число избирательных бюллетеней в переносных ящиках	587	48	30	49	43	38	31	14	39	36	23	51	41	17	5	14	21	16	54	0	0	17					
8	Число бюллетеней в стационарных ящиках для голосования	18478	1263	1492	1465	1287	1044	1438	1261	1536	1466	1148	1091	1145	1075	1036	122	157	44	98	26	209	75					
9	Число недействительных избирательных бюллетеней	166	6	8	10	12	19	9	14	9	15	9	10	15	11	14	0	0	0	1	0	2	2					
10	Число действительных избирательных бюллетеней	18899	1305	1514	1504	1318	1063	1460	1261	1566	1487	1162	1132	1171	1081	1027	136	178	60	151	26	207	90					
11	Число полученных открепительных  удостоверений	800	80	50	120	50	50	50	50	50	50	50	50	50	50	50	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	502	65	39	89	32	20	32	39	35	39	28	27	24	21	12	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	530	19	24	35	15	23	36	55	60	18	47	52	16	13	15	29	12	10	15	11	19	6					
14	Число неиспользованных открепительных удостоверений	298	15	11	31	18	30	18	11	15	11	22	23	26	29	38	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	1	0	0	1	0	2	0	0	2	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	1293	78	118	157	92	71	105	90	98	94	69	85	71	57	44	16	16	2	12	4	5	9					
		6.78%	5.95%	7.75%	10.37%	6.92%	6.56%	7.15%	7.06%	6.22%	6.26%	5.89%	7.44%	5.99%	5.22%	4.23%	11.76%	8.99%	3.33%	7.89%	15.38%	2.39%	9.78%					
19	. Малышкин Олег Александрович	257	17	18	12	20	20	15	18	24	21	14	12	27	13	19	2	0	0	0	0	4	1					
		1.35%	1.30%	1.18%	0.79%	1.50%	1.85%	1.02%	1.41%	1.52%	1.40%	1.20%	1.05%	2.28%	1.19%	1.83%	1.47%	0.00%	0.00%	0.00%	0.00%	1.91%	1.09%					
20	. Миронов Сергей Михайлович	115	9	8	7	7	1	9	9	13	8	8	5	13	4	5	3	3	0	0	0	3	0					
		0.60%	0.69%	0.53%	0.46%	0.53%	0.09%	0.61%	0.71%	0.83%	0.53%	0.68%	0.44%	1.10%	0.37%	0.48%	2.21%	1.69%	0.00%	0.00%	0.00%	1.44%	0.00%					
21	. Путин Владимир Владимирович	12807	915	1012	880	914	747	954	816	1056	990	817	746	828	783	756	82	129	45	99	17	161	60					
		67.18%	69.79%	66.49%	58.12%	68.72%	69.04%	64.94%	64.00%	67.05%	65.91%	69.77%	65.32%	69.81%	71.70%	72.62%	60.29%	72.47%	75.00%	65.13%	65.38%	77.03%	65.22%					
22	. Хакамада Ирина Муцуовна	1519	103	126	141	79	67	156	132	108	146	81	111	77	74	61	10	3	5	18	3	15	3					
		7.97%	7.86%	8.28%	9.31%	5.94%	6.19%	10.62%	10.35%	6.86%	9.72%	6.92%	9.72%	6.49%	6.78%	5.86%	7.35%	1.69%	8.33%	11.84%	11.54%	7.18%	3.26%					
23	. Харитонов Николай Михайлович	1607	96	157	171	116	79	107	89	146	135	102	98	71	100	85	16	9	2	15	0	2	11					
		8.43%	7.32%	10.32%	11.29%	8.72%	7.30%	7.28%	6.98%	9.27%	8.99%	8.71%	8.58%	5.99%	9.16%	8.17%	11.76%	5.06%	3.33%	9.87%	0.00%	0.96%	11.96%					
																												
24	Против всех	1301	87	75	136	90	78	114	107	121	93	71	75	84	50	57	7	18	6	7	2	17	6					
		6.82%	6.64%	4.93%	8.98%	6.77%	7.21%	7.76%	8.39%	7.68%	6.19%	6.06%	6.57%	7.08%	4.58%	5.48%	5.15%	10.11%	10.00%	4.61%	7.69%	8.13%	6.52%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
