Выборы Президента Российской Федерации																																																																	
																																																																	
Наименование Избирательной комиссии:    Мариинская городская																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547					
11	Число полученных открепительных  удостоверений	1294	25	40	40	40	50	40	40	40	50	50	50	40	50	40	40	40	40	40	30	30	10	10	10	20	9	10	40	10	20	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	20	10	20	20	10	10	10	20	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	176	0	1	5	4	4	11	6	7	12	22	3	0	1	4	2	6	3	5	0	5	0	2	0	8	0	0	33	5	10	0	0	0	1	0	0	0	2	0	5	0	0	0	0	1	1	2	2	3	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	151	3	1	2	0	4	3	3	9	12	6	1	1	0	9	2	5	7	4	1	11	1	5	2	5	4	1	2	3	6	1	2	2	0	3	2	0	0	1	1	0	1	4	0	1	0	0	5	4	0	1	1	1	1	1	3	0	2	1					
14	Число неиспользованных открепительных удостоверений	1118	25	39	35	36	46	29	34	33	38	28	47	40	49	36	38	34	37	35	30	25	10	8	10	12	9	10	7	5	10	10	10	20	9	10	10	10	8	10	5	10	10	10	10	9	19	8	18	17	10	10	10	20	10	10	10	10	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																	
18	. Глазьев Сергей Юрьевич	767	23	21	30	18	34	26	37	57	37	42	32	21	40	22	23	50	34	28	12	8	3	1	1	6	0	0	14	2	27	6	5	8	1	4	0	10	3	0	1	1	3	4	0	3	5	3	18	20	0	2	1	7	0	0	4	2	5	2					
		2.46%	3.33%	2.51%	3.25%	1.41%	3.09%	2.57%	4.40%	4.40%	3.19%	4.02%	2.44%	2.66%	4.12%	1.79%	2.37%	4.26%	3.56%	2.29%	3.55%	0.94%	1.90%	0.34%	1.09%	1.17%	0.00%	0.00%	2.55%	0.84%	3.13%	4.55%	3.40%	0.96%	0.34%	1.76%	0.00%	8.06%	0.91%	0.00%	0.37%	0.39%	1.81%	0.82%	0.00%	1.52%	0.89%	1.12%	1.81%	1.92%	0.00%	3.64%	0.49%	2.00%	0.00%	0.00%	1.69%	1.57%	2.43%	1.69%					
