Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Ногайская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  1052	УИК  1053	УИК  1054	УИК  1055	УИК  1056	УИК  1057	УИК  1058	УИК  1059	УИК  1060	УИК  1061	УИК  1062	УИК  1063	УИК  1064	УИК  1065	УИК  1066	УИК  1067	УИК  1068	УИК  1069	УИК  1070	УИК  1071	УИК  1072					
1	"Число избирателей, внесенных в список"	13280	236	638	1111	335	1278	967	89	136	101	888	293	418	1461	1961	1425	461	441	59	317	349	316					
2	Число полученных избирательных бюллетеней	13084	223	607	1111	335	1275	931	89	122	101	835	293	418	1461	1961	1387	461	441	59	317	341	316					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10387	200	380	945	331	829	776	89	122	91	605	223	418	1075	1728	851	434	380	45	271	333	261					
5	"Число избирательных бюллетеней, выданных вне помещения"	805	14	23	149	4	145	27	0	0	0	110	7	0	38	101	48	27	43	1	34	8	26					
6	Число погашенных избирательных бюллетеней	1892	9	204	17	0	301	128	0	0	10	120	63	0	348	132	488	0	18	13	12	0	29					
7	Число избирательных бюллетеней в переносных ящиках	805	14	23	149	4	145	27	0	0	0	110	7	0	38	101	48	27	43	1	34	8	26					
8	Число бюллетеней в стационарных ящиках для голосования	10387	200	380	945	331	829	776	89	122	91	605	223	418	1075	1728	851	434	380	45	271	333	261					
9	Число недействительных избирательных бюллетеней	58	0	2	1	0	2	0	1	2	0	1	2	9	0	14	0	16	6	0	0	0	2					
10	Число действительных избирательных бюллетеней	11134	214	401	1093	335	972	803	88	120	91	714	228	409	1113	1815	899	445	417	46	305	341	285					
11	Число полученных открепительных  удостоверений	299	5	10	10	5	10	10	5	5	5	10	5	5	60	64	60	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	64	0	2	0	0	1	1	0	0	0	5	1	0	13	26	8	2	1	0	0	1	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	0	2	0	0	3	0	0	0	2	6	0	0	3	5	3	3	8	6	3	0	0					
14	Число неиспользованных открепительных удостоверений	235	5	8	10	5	9	9	5	5	5	5	4	5	47	38	52	3	4	5	5	4	2					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	72	0	5	2	0	0	8	0	0	0	2	2	5	12	25	8	0	2	0	1	0	0					
		0.64%	0.00%	1.24%	0.18%	0.00%	0.00%	1.00%	0.00%	0.00%	0.00%	0.28%	0.87%	1.20%	1.08%	1.37%	0.89%	0.00%	0.47%	0.00%	0.33%	0.00%	0.00%					
19	. Малышкин Олег Александрович	14	0	2	2	0	0	2	0	0	0	1	0	0	1	0	4	0	0	0	0	0	2					
		0.13%	0.00%	0.50%	0.18%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.09%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%					
20	. Миронов Сергей Михайлович	17	0	4	0	0	0	0	0	0	0	2	2	0	1	4	0	0	4	0	0	0	0					
		0.15%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.87%	0.00%	0.09%	0.22%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	9565	203	315	1045	335	781	660	61	105	79	553	163	334	938	1556	742	423	369	38	300	325	240					
		85.46%	94.86%	78.16%	95.52%	100.00%	80.18%	82.19%	68.54%	86.07%	86.81%	77.34%	70.87%	79.90%	84.28%	85.07%	82.54%	91.76%	87.23%	82.61%	98.36%	95.31%	83.62%					
22	. Хакамада Ирина Муцуовна	79	0	2	4	0	0	9	2	2	1	2	4	8	9	19	12	0	1	0	1	0	3					
		0.71%	0.00%	0.50%	0.37%	0.00%	0.00%	1.12%	2.25%	1.64%	1.10%	0.28%	1.74%	1.91%	0.81%	1.04%	1.33%	0.00%	0.24%	0.00%	0.33%	0.00%	1.05%					
23	. Харитонов Николай Михайлович	1345	11	72	40	0	191	117	20	13	11	152	56	59	148	204	125	21	41	8	2	16	38					
		12.02%	5.14%	17.87%	3.66%	0.00%	19.61%	14.57%	22.47%	10.66%	12.09%	21.26%	24.35%	14.11%	13.30%	11.15%	13.90%	4.56%	9.69%	17.39%	0.66%	4.69%	13.24%					
																												
24	Против всех	42	0	1	0	0	0	7	5	0	0	2	1	3	4	7	8	1	0	0	1	0	2					
		0.38%	0.00%	0.25%	0.00%	0.00%	0.00%	0.87%	5.62%	0.00%	0.00%	0.28%	0.43%	0.72%	0.36%	0.38%	0.89%	0.22%	0.00%	0.00%	0.33%	0.00%	0.70%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
