Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Cараевская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784									
1	Число избирателей, внесенных в список	17768	315	266	267	526	306	225	304	272	119	189	177	245	487	337	74	973	351	282	768	741	313	644	537	434	196	184	191	366	212	696	1140	1136	882	971	869	752	380	74	277	290									
2	Число полученных избирательных бюллетеней	17344	294	254	264	521	300	225	314	271	106	180	172	238	477	327	73	964	337	278	759	728	313	627	534	433	191	185	194	369	207	674	1076	1085	832	930	824	771	380	75	277	285									
3	Число избирательных бюллетеней, выданных  досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в день голосования	8782	169	73	115	249	214	93	155	138	63	135	116	106	175	121	3	498	172	128	332	383	146	336	316	249	98	102	100	231	88	351	589	572	468	508	362	319	175	34	166	134									
5	Число избирательных бюллетеней, выданных вне помещения	3410	67	139	79	85	31	93	69	99	22	19	34	79	170	123	52	210	104	77	192	133	106	147	57	106	61	45	59	60	58	59	53	59	43	86	67	231	85	17	50	84									
6	Число погашенных избирательных бюллетеней	5152	58	42	70	187	55	39	90	34	21	26	22	53	132	83	18	256	61	73	235	212	61	144	161	78	32	38	35	78	61	264	434	454	321	336	395	221	120	24	61	67									
7	Число избирательных бюллетеней в переносных ящиках	3410	67	139	79	85	31	93	69	99	22	19	34	79	170	123	52	210	104	77	192	133	106	147	57	106	61	45	59	60	58	59	53	59	43	86	67	231	85	17	50	84									
8	Число бюллетеней в стационарных ящиках для голосования	8776	169	73	115	249	214	93	155	138	63	135	116	106	175	121	3	498	172	128	332	383	146	332	316	249	98	102	100	231	88	351	589	572	467	508	361	319	175	34	166	134									
9	Число недействительных избирательных бюллетеней	156	5	5	1	9	4	3	1	0	3	2	1	4	2	2	0	3	5	3	5	6	4	4	4	5	1	4	0	4	2	7	7	10	14	7	2	6	5	0	2	4									
10	Число действительных избирательных бюллетеней	12030	231	207	193	325	241	183	223	237	82	152	149	181	343	242	55	705	271	202	519	510	248	475	369	350	158	143	159	287	144	403	635	621	496	587	426	544	255	51	214	214									
11	Число полученных открепительных  удостоверений	492	7	8	8	8	8	8	7	8	8	8	8	8	10	5	5	24	8	8	15	15	5	15	8	8	8	8	8	10	6	32	37	32	31	30	32	14	5	5	7	7									
12	Число выданных открепительных удостоверений	122	1	0	0	0	3	2	0	4	0	1	0	0	0	0	0	9	0	1	3	1	1	5	1	1	0	0	2	3	0	12	12	28	13	10	1	0	3	1	2	2									
13	Число избирателей, проголосовавших по открепительным удостоверениям	114	2	2	1	1	2	2	3	5	3	5	1	5	3	0	2	5	3	4	3	1	1	2	3	3	7	1	2	1	3	3	9	3	0	1	5	2	3	3	3	6									
14	Число неиспользованных открепительных удостоверений	370	6	8	8	8	5	6	7	4	8	7	8	8	10	5	5	15	8	7	12	14	4	10	7	7	8	8	6	7	6	20	25	4	18	20	31	14	2	4	5	5									
15	Число открепительных удостоверений, выданных в ТИК	8	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
Число голосов избирателей, поданных за каждый список																																																			
18	. Глазьев Сергей Юрьевич	219	4	3	2	5	3	2	2	5	0	3	0	1	4	1	1	9	5	6	15	12	2	6	6	3	2	0	1	8	3	5	13	11	10	21	12	13	11	1	5	3									
