Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Жуковская городская																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557					
1	"Число избирателей, внесенных в список"	79979	2938	2942	2975	2812	2566	2190	2214	2186	2394	2783	2277	2198	2744	2323	2765	2765	2334	2374	2497	2547	2146	2921	2360	2417	2564	2437	1976	2347	2552	1907	2699	2595	234					
2	Число полученных избирательных бюллетеней	73900	2700	2700	2700	2600	2400	2000	2000	2000	2200	2600	2100	2100	2600	2100	2500	2500	2200	2200	2300	2300	2000	2700	2200	2200	2400	2200	1800	2200	2400	1800	2500	2400	300					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44424	1461	1624	1672	1338	1494	1252	1245	1257	1465	1610	1250	1335	1839	1236	1368	1348	1230	1274	1427	1341	1252	1570	1441	1293	1490	1377	966	1336	1421	1080	1552	1382	198					
5	"Число избирательных бюллетеней, выданных вне помещения"	674	14	17	23	29	31	18	37	41	29	30	25	21	14	14	17	19	6	35	5	11	21	28	21	26	28	22	18	17	8	16	20	13	0					
6	Число погашенных избирательных бюллетеней	28797	1225	1059	1005	1233	875	730	718	702	706	960	825	740	747	850	1115	1133	964	891	868	948	727	1102	738	881	882	801	815	847	971	704	928	1005	102					
7	Число избирательных бюллетеней в переносных ящиках	674	14	17	23	29	31	18	37	41	29	30	25	21	14	14	17	19	6	35	5	11	21	28	21	26	28	22	18	17	8	16	20	13	0					
8	Число бюллетеней в стационарных ящиках для голосования	44290	1456	1624	1665	1329	1494	1252	1244	1244	1465	1610	1246	1331	1807	1228	1366	1341	1230	1274	1418	1341	1252	1570	1436	1291	1477	1377	966	1330	1417	1080	1549	1382	198					
9	Число недействительных избирательных бюллетеней	340	10	10	11	9	0	12	11	0	7	10	10	13	7	5	19	25	10	15	7	7	13	20	11	12	7	25	9	13	6	6	11	7	2					
10	Число действительных избирательных бюллетеней	44624	1460	1631	1677	1349	1525	1258	1270	1285	1487	1630	1261	1339	1814	1237	1364	1335	1226	1294	1416	1345	1260	1578	1446	1305	1498	1374	975	1334	1419	1090	1558	1388	196					
11	Число полученных открепительных  удостоверений	1650	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	794	38	27	30	19	32	16	26	24	29	23	20	26	42	19	17	30	27	22	28	20	17	30	29	26	32	23	14	26	22	23	19	18	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	716	17	11	16	17	18	16	30	22	23	8	14	80	17	14	11	10	18	10	15	10	12	9	15	10	15	18	6	9	9	10	11	17	198					
14	Число неиспользованных открепительных удостоверений	856	12	23	20	31	18	34	24	26	21	27	30	24	8	31	33	20	23	28	22	30	33	20	21	24	18	27	36	24	28	27	31	32	50					
