17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	Богданов Андрей Владимирович	954	41	10	45	21	47	46	20	23	32	38	22	42	42	19	31	25	8	33	45	56	36	35	9	33	16	3	24	8	35	32	33	37	7					
		1.80%	2.69%	0.41%	2.79%	1.39%	3.08%	2.89%	2.13%	1.48%	2.01%	2.29%	1.71%	2.75%	2.43%	1.16%	2.38%	1.73%	0.41%	2.47%	2.14%	2.49%	2.84%	2.38%	0.46%	2.34%	0.82%	0.15%	1.75%	0.34%	2.68%	2.53%	2.01%	1.87%	1.62%					
19	Жириновский Владимир Вольфович	3642	139	17	139	141	146	139	84	138	107	15	125	137	184	201	140	164	16	119	209	216	113	133	14	154	24	20	106	10	111	98	185	63	35					
		6.88%	9.11%	0.69%	8.61%	9.31%	9.57%	8.74%	8.93%	8.88%	6.71%	0.90%	9.71%	8.97%	10.64%	12.32%	10.74%	11.37%	0.81%	8.90%	9.96%	9.59%	8.92%	9.04%	0.71%	10.90%	1.23%	1.02%	7.71%	0.42%	8.51%	7.75%	11.29%	3.19%	8.08%					
20	Зюганов Геннадий Андреевич	10487	343	121	403	412	376	364	224	430	392	425	319	394	274	280	310	334	170	328	364	473	315	383	316	361	151	410	233	214	307	252	379	352	78					
		19.80%	22.48%	4.93%	24.95%	27.21%	24.64%	22.88%	23.80%	27.67%	24.59%	25.59%	24.79%	25.79%	15.84%	17.16%	23.79%	23.15%	8.61%	24.53%	17.34%	20.99%	24.86%	26.02%	16.03%	25.55%	7.71%	20.82%	16.95%	9.04%	23.52%	19.94%	23.14%	17.82%	18.01%					
21	Медведев Дмитрий Анатольевич	36629	967	2297	967	906	914	990	592	901	1029	1132	798	905	1190	1092	800	882	1775	835	1414	1455	783	888	1617	837	1762	1501	886	2130	833	864	1008	1378	301					
		69.15%	63.37%	93.68%	59.88%	59.84%	59.90%	62.23%	62.91%	57.98%	64.55%	68.15%	62.00%	59.23%	68.79%	66.91%	61.40%	61.12%	89.92%	62.45%	67.37%	64.58%	61.80%	60.33%	82.04%	59.24%	89.99%	76.23%	64.44%	89.99%	63.83%	68.35%	61.54%	69.77%	69.52%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
