Выборы Президента Российской Федерации																																												
																																												
Наименование Избирательной комиссии:    Зеленчукская																																												
																																												
Итоги голосования 																																												
																																												
		Сумма	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129					
1	"Число избирателей, внесенных в список"	39213	1064	1531	1549	1948	2271	1795	1062	1225	1943	81	513	1795	939	1161	1242	328	1279	1142	1219	1114	1263	222	1198	1170	787	390	1274	242	338	452	540	1314	1302	1327	441	844	908					
2	Число полученных избирательных бюллетеней	38960	1060	1597	1700	1950	2334	1870	1060	1220	1930	78	500	1750	920	1140	1200	321	1250	1116	1200	1100	1220	210	1150	1150	760	380	1260	245	335	430	530	1300	1250	1304	440	850	850					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	26841	574	718	1402	910	1087	849	538	1021	1031	69	317	1657	817	1095	1107	198	752	737	762	696	851	200	986	950	679	342	1140	137	173	339	289	1076	916	656	348	644	778					
5	"Число избирательных бюллетеней, выданных вне помещения"	1250	18	48	26	93	50	49	49	74	55	8	34	11	7	2	12	4	48	23	68	86	32	10	67	28	43	18	20	33	30	20	0	70	21	34	54	5	0					
6	Число погашенных избирательных бюллетеней	10869	468	831	272	947	1197	972	473	125	844	1	149	82	96	43	81	119	450	356	370	318	337	0	97	172	38	20	100	75	132	71	241	154	313	614	38	201	72					
7	Число избирательных бюллетеней в переносных ящиках	1250	18	48	26	93	50	49	49	74	55	8	34	11	7	2	12	4	48	23	68	86	32	10	67	28	43	18	20	33	30	20	0	70	21	34	54	5	0					
8	Число бюллетеней в стационарных ящиках для голосования	26841	574	718	1402	910	1087	849	538	1021	1031	69	317	1657	817	1095	1107	198	752	737	762	696	851	200	986	950	679	342	1140	137	173	339	289	1076	916	656	348	644	778					
9	Число недействительных избирательных бюллетеней	297	0	1	8	1	25	6	0	7	23	0	4	3	5	6	17	4	11	5	28	15	18	0	21	17	11	10	2	1	4	2	3	10	11	6	4	1	7					
10	Число действительных избирательных бюллетеней	27794	592	765	1420	1002	1112	892	587	1088	1063	77	347	1665	819	1091	1102	198	789	755	802	767	865	210	1032	961	711	350	1158	169	199	357	286	1136	926	684	398	648	771					
11	Число полученных открепительных  удостоверений	281	8	8	14	8	8	8	8	8	8	3	6	8	6	8	8	5	8	8	8	8	8	5	8	8	6	5	8	10	5	6	10	8	8	8	7	11	6					
12	Число выданных открепительных удостоверений	117	2	7	11	3	3	8	4	0	1	0	2	0	0	3	2	0	3	0	4	5	1	0	4	3	1	0	3	5	2	4	8	1	0	3	7	11	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	0	3	2	0	0	6	1	0	3	4	0	0	0	2	0	0	2	2	4	0	1	1	4	4	1	0	2	0	2	4	6	5	3	0	2	0	4					
14	Число неиспользованных открепительных удостоверений	164	6	1	3	5	5	0	4	8	7	3	4	8	6	5	6	5	5	8	4	3	7	5	4	5	5	5	5	5	3	2	2	7	8	5	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	19	0	0	3	1	4	5	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																												
18	. Глазьев Сергей Юрьевич	435	5	7	21	25	32	34	24	9	15	0	2	9	10	10	16	8	16	13	19	14	13	0	4	2	0	0	20	1	8	6	24	19	9	13	8	2	17					
		1.55%	0.84%	0.91%	1.47%	2.49%	2.81%	3.79%	4.09%	0.82%	1.38%	0.00%	0.57%	0.54%	1.21%	0.91%	1.43%	3.96%	2.00%	1.71%	2.29%	1.79%	1.47%	0.00%	0.38%	0.20%	0.00%	0.00%	1.72%	0.59%	3.94%	1.67%	8.30%	1.66%	0.96%	1.88%	1.99%	0.31%	2.19%					
19	. Малышкин Олег Александрович	357	3	18	17	9	36	16	11	12	18	5	4	5	7	23	14	1	3	17	22	24	17	0	7	12	0	0	4	1	1	1	1	9	2	3	4	10	20					
		1.27%	0.51%	2.35%	1.19%	0.90%	3.17%	1.78%	1.87%	1.10%	1.66%	6.49%	1.14%	0.30%	0.85%	2.10%	1.25%	0.50%	0.38%	2.24%	2.65%	3.07%	1.93%	0.00%	0.66%	1.23%	0.00%	0.00%	0.34%	0.59%	0.49%	0.28%	0.35%	0.79%	0.21%	0.43%	1.00%	1.54%	2.57%					
20	. Миронов Сергей Михайлович	208	0	12	8	2	6	6	6	2	3	0	5	14	12	2	6	0	4	6	7	5	3	0	2	17	11	3	3	1	0	1	2	28	10	11	1	2	7					
		0.74%	0.00%	1.57%	0.56%	0.20%	0.53%	0.67%	1.02%	0.18%	0.28%	0.00%	1.42%	0.84%	1.46%	0.18%	0.54%	0.00%	0.50%	0.79%	0.84%	0.64%	0.34%	0.00%	0.19%	1.74%	1.52%	0.83%	0.26%	0.59%	0.00%	0.28%	0.69%	2.44%	1.07%	1.59%	0.25%	0.31%	0.90%					
21	. Путин Владимир Владимирович	22196	552	532	1210	794	758	645	395	891	784	63	219	1559	707	935	843	122	542	500	563	570	625	192	909	915	640	318	882	150	122	324	189	956	772	484	327	606	601					
		79.01%	93.24%	69.45%	84.73%	79.16%	66.67%	71.83%	67.29%	81.37%	72.19%	81.82%	62.39%	93.47%	85.80%	85.23%	75.34%	60.40%	67.75%	65.79%	67.83%	72.89%	70.78%	91.43%	86.32%	93.56%	88.64%	88.33%	76.03%	88.24%	60.10%	90.25%	65.40%	83.42%	82.39%	70.14%	81.34%	93.37%	77.25%					
