Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Якшур-Бодьинская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327					
1	"Число избирателей, внесенных в список"	16002	1369	1578	1239	629	940	176	397	343	1260	175	212	314	1571	141	494	628	893	388	274	356	600	300	1019	219	161	203	123					
2	Число полученных избирательных бюллетеней	15640	1300	1500	1200	600	950	170	400	350	1300	210	200	300	1500	130	450	650	850	350	280	350	600	300	1000	250	150	200	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10814	874	904	774	382	617	110	291	248	973	150	153	246	1174	96	323	347	604	270	215	274	372	209	708	125	130	162	83					
5	"Число избирательных бюллетеней, выданных вне помещения"	1020	24	25	15	47	62	11	29	28	141	25	24	34	73	28	37	116	33	47	17	27	98	14	25	10	6	13	11					
6	Число погашенных избирательных бюллетеней	3806	402	571	411	171	271	49	80	74	186	35	23	20	253	6	90	187	213	33	48	49	130	77	267	115	14	25	6					
7	Число избирательных бюллетеней в переносных ящиках	1020	24	25	15	47	62	11	29	28	141	25	24	34	73	28	37	116	33	47	17	27	98	14	25	10	6	13	11					
8	Число бюллетеней в стационарных ящиках для голосования	10812	874	904	774	382	615	110	291	248	973	150	153	246	1174	96	323	347	604	270	215	274	372	209	708	125	130	162	83					
9	Число недействительных избирательных бюллетеней	154	9	7	5	1	13	0	8	6	18	0	0	4	17	1	4	13	10	2	7	9	5	5	8	0	0	0	2					
10	Число действительных избирательных бюллетеней	11678	889	922	784	428	664	121	312	270	1096	175	177	276	1230	123	356	450	627	315	225	292	465	218	725	135	136	175	92					
11	Число полученных открепительных  удостоверений	393	10	10	10	10	25	2	16	20	57	20	11	25	23	0	5	10	15	2	12	15	55	4	10	2	2	20	2					
12	Число выданных открепительных удостоверений	341	7	10	7	7	24	2	16	20	57	15	11	25	23	0	1	10	14	2	6	10	47	2	5	0	2	18	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	176	20	19	10	4	9	4	1	3	11	2	2	4	8	2	13	10	10	2	3	2	9	2	9	4	3	6	4					
14	Число неиспользованных открепительных удостоверений	52	3	0	3	3	1	0	0	0	0	5	0	0	0	0	4	0	1	0	6	5	8	2	5	2	0	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	261	23	21	21	8	6	3	11	1	15	2	2	6	28	2	14	2	19	6	5	4	9	6	25	2	4	12	4					
