Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Новоржевская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337					
1	"Число избирателей, внесенных в список"	9943	1753	1775	502	228	579	341	375	314	133	259	135	175	503	86	286	987	403	208	557	344					
2	Число полученных избирательных бюллетеней	9905	1733	1753	511	222	581	340	355	328	136	256	134	177	504	86	289	989	402	208	553	348					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4582	1076	1149	189	58	223	113	142	146	34	116	49	50	219	31	95	421	156	54	147	114					
5	"Число избирательных бюллетеней, выданных вне помещения"	2306	32	30	175	125	128	150	161	89	75	85	36	68	137	43	131	247	115	89	230	160					
6	Число погашенных избирательных бюллетеней	3017	625	574	147	39	230	77	52	93	27	55	49	59	148	12	63	321	131	65	176	74					
7	Число избирательных бюллетеней в переносных ящиках	2306	32	30	175	125	128	150	161	89	75	85	36	68	137	43	131	247	115	89	230	160					
8	Число бюллетеней в стационарных ящиках для голосования	4582	1076	1149	189	58	223	113	142	146	34	116	49	50	219	31	95	421	156	54	147	114					
9	Число недействительных избирательных бюллетеней	34	5	4	1	1	7	0	0	2	0	2	0	0	1	0	0	3	3	3	1	1					
10	Число действительных избирательных бюллетеней	6854	1103	1175	363	182	344	263	303	233	109	199	85	118	355	74	226	665	268	140	376	273					
11	Число полученных открепительных  удостоверений	170	30	30	5	4	10	5	5	5	3	5	3	3	5	3	5	30	5	4	5	5					
12	Число выданных открепительных удостоверений	24	7	6	0	2	0	0	2	3	0	0	0	0	0	0	0	3	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	20	7	3	2	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	1					
14	Число неиспользованных открепительных удостоверений	146	23	24	5	2	10	5	3	2	3	5	3	3	5	3	5	27	5	4	5	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	124	26	33	3	3	5	13	2	2	2	3	1	2	3	0	2	13	3	0	6	2					
		1.80%	2.35%	2.80%	0.82%	1.64%	1.42%	4.94%	0.66%	0.85%	1.83%	1.49%	1.18%	1.69%	0.84%	0.00%	0.88%	1.95%	1.11%	0.00%	1.59%	0.73%					
19	. Малышкин Олег Александрович	103	15	12	5	5	12	6	4	5	1	8	1	1	6	0	3	7	1	3	5	3					
		1.50%	1.35%	1.02%	1.37%	2.73%	3.42%	2.28%	1.32%	2.13%	0.92%	3.98%	1.18%	0.85%	1.69%	0.00%	1.33%	1.05%	0.37%	2.10%	1.33%	1.09%					
20	. Миронов Сергей Михайлович	93	20	19	5	2	6	3	5	2	1	3	1	2	5	1	4	7	3	0	0	4					
		1.35%	1.81%	1.61%	1.37%	1.09%	1.71%	1.14%	1.65%	0.85%	0.92%	1.49%	1.18%	1.69%	1.40%	1.35%	1.77%	1.05%	1.11%	0.00%	0.00%	1.46%					
21	. Путин Владимир Владимирович	4875	754	815	285	112	231	173	222	139	71	132	80	81	284	68	186	470	199	108	290	175					
		70.78%	68.05%	69.13%	78.30%	61.20%	65.81%	65.78%	73.27%	59.15%	65.14%	65.67%	94.12%	68.64%	79.78%	91.89%	82.30%	70.36%	73.43%	75.52%	76.92%	63.87%					
22	. Хакамада Ирина Муцуовна	117	22	24	3	7	5	1	3	1	0	5	0	9	5	0	4	9	5	5	4	5					
		1.70%	1.99%	2.04%	0.82%	3.83%	1.42%	0.38%	0.99%	0.43%	0.00%	2.49%	0.00%	7.63%	1.40%	0.00%	1.77%	1.35%	1.85%	3.50%	1.06%	1.82%					
23	. Харитонов Николай Михайлович	1476	250	256	57	53	80	64	63	81	34	46	2	23	51	5	27	156	54	23	70	81					
		21.43%	22.56%	21.71%	15.66%	28.96%	22.79%	24.33%	20.79%	34.47%	31.19%	22.89%	2.35%	19.49%	14.33%	6.76%	11.95%	23.35%	19.93%	16.08%	18.57%	29.56%					
																											
24	Против всех	66	16	16	5	0	5	3	4	3	0	2	0	0	1	0	0	3	3	1	1	3					
		0.96%	1.44%	1.36%	1.37%	0.00%	1.42%	1.14%	1.32%	1.28%	0.00%	1.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.45%	1.11%	0.70%	0.27%	1.09%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
