Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Березовская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  912	УИК  913	УИК  914	УИК  915	УИК  916					
1	"Число избирателей, внесенных в список"	27118	2112	1839	2080	1033	2815	1900	2112	1373	372	1202	364	250	758	178	1181	788	314	1474	1101	797	712	175	118	549	441	310	264	120	42	121	223					
2	Число полученных избирательных бюллетеней	27156	2200	1700	2000	1000	2800	1900	2100	1400	380	1200	370	260	780	180	1200	800	300	1500	1100	800	740	180	126	560	420	320	270	157	44	129	240					
3	"Число избирательных бюллетеней, выданных  досрочно"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12808	952	758	1044	341	1327	851	1108	498	136	719	166	117	298	86	624	418	119	760	546	324	296	91	62	310	227	165	145	96	30	80	114					
5	"Число избирательных бюллетеней, выданных вне помещения"	1228	55	200	51	66	42	51	108	27	29	11	21	13	100	40	51	37	49	26	19	33	19	8	12	43	21	15	37	0	1	0	43					
6	Число погашенных избирательных бюллетеней	13118	1193	742	905	593	1431	998	884	875	215	470	183	130	382	54	523	345	132	714	535	443	425	81	52	207	172	140	88	61	13	49	83					
7	Число избирательных бюллетеней в переносных ящиках	1228	55	200	51	66	42	51	106	27	29	11	21	13	100	40	53	37	49	26	19	33	19	8	12	43	21	15	37	0	1	0	43					
8	Число бюллетеней в стационарных ящиках для голосования	12804	952	758	1042	341	1327	851	1108	498	136	719	166	117	298	86	624	418	119	760	545	324	296	91	62	310	227	165	145	96	30	80	113					
9	Число недействительных избирательных бюллетеней	145	5	6	5	8	16	6	12	7	2	6	3	2	9	0	5	3	7	4	6	5	7	0	1	7	6	2	3	0	0	0	2					
10	Число действительных избирательных бюллетеней	13887	1002	952	1088	399	1353	896	1202	518	163	724	184	128	389	126	672	452	161	782	558	352	308	99	73	346	242	178	179	96	31	80	154					
11	Число полученных открепительных  удостоверений	400	25	25	30	15	30	25	25	15	10	20	10	10	15	10	15	15	10	15	15	10	5	5	5	5	5	5	5	5	5	5	5					
12	Число выданных открепительных удостоверений	83	13	6	4	8	6	7	10	5	0	1	1	0	0	0	4	1	0	4	0	3	0	0	0	0	1	0	5	0	0	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	85	3	6	7	1	3	1	4	2	1	1	3	2	4	3	5	2	6	2	0	1	4	1	1	6	2	1	3	1	0	2	7					
14	Число неиспользованных открепительных удостоверений	317	12	19	26	7	24	18	15	10	10	19	9	10	15	10	11	14	10	11	15	7	5	5	5	5	4	5	0	5	5	5	1					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
