Выборы Президента Российской Федерации																																																					
																																																					
Наименование Избирательной комиссии:    Медвежьегорская																																																					
																																																					
Итоги голосования 																																																					
																																																					
		Сумма	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337					
1	"Число избирателей, внесенных в список"	29846	1777	1552	1188	1814	1134	1108	2717	1743	728	2067	2191	400	266	132	2015	579	100	66	295	198	303	615	72	137	299	227	121	161	68	770	174	105	320	245	774	182	157	901	84	99	212	70	1004	119	485	72					
2	Число полученных избирательных бюллетеней	27610	1600	1300	1100	1600	1000	1000	2500	1500	600	1800	1900	400	250	200	2000	500	100	60	300	200	300	600	70	140	300	220	120	160	60	780	170	100	300	270	780	170	150	900	70	120	230	70	1000	100	450	70					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16030	809	829	731	1071	339	656	1453	752	287	1043	1061	171	93	116	1178	398	55	60	141	94	193	334	55	68	244	107	85	91	59	452	131	49	185	190	429	79	63	500	64	78	132	51	596	93	314	51					
5	"Число избирательных бюллетеней, выданных вне помещения"	1338	53	66	22	28	186	6	18	59	25	39	21	71	27	16	73	18	6	0	18	24	24	27	5	3	0	28	0	27	0	50	9	18	42	14	48	39	48	64	0	21	22	6	24	2	35	6					
6	Число погашенных избирательных бюллетеней	10242	738	405	347	501	475	338	1029	689	288	718	818	158	130	68	749	84	39	0	141	82	83	239	10	69	56	85	35	42	1	278	30	33	73	66	303	52	39	336	6	21	76	13	380	5	101	13					
7	Число избирательных бюллетеней в переносных ящиках	1338	53	66	22	28	186	6	18	59	25	39	21	71	27	16	73	18	6	0	18	24	24	27	5	3	0	28	0	27	0	50	9	18	42	14	48	39	48	64	0	21	22	6	24	2	35	6					
8	Число бюллетеней в стационарных ящиках для голосования	16028	809	829	731	1070	339	656	1453	752	287	1043	1061	171	93	116	1178	397	55	60	141	94	193	334	55	68	244	107	85	91	59	452	131	49	185	190	429	79	63	500	64	78	132	51	596	93	314	51					
9	Число недействительных избирательных бюллетеней	140	9	8	9	7	11	2	6	6	4	2	8	0	1	1	12	0	2	0	2	0	1	2	1	0	1	3	2	1	1	4	1	0	1	5	2	5	0	3	1	1	0	0	9	1	5	0					
10	Число действительных избирательных бюллетеней	17226	853	887	744	1091	514	660	1465	805	308	1080	1074	242	119	131	1239	415	59	60	157	118	216	359	59	71	243	132	83	117	58	498	139	67	226	199	475	113	111	561	63	98	154	57	611	94	344	57					
11	Число полученных открепительных  удостоверений	560	20	20	20	20	20	20	30	20	15	20	20	10	5	5	30	10	10	5	10	10	10	10	10	10	10	10	5	5	5	10	5	5	10	5	20	5	10	20	5	5	10	5	20	5	10	15					
12	Число выданных открепительных удостоверений	261	10	11	14	12	2	13	23	17	10	13	10	3	1	0	16	1	4	0	2	2	1	8	0	0	1	5	1	3	0	3	2	1	4	0	13	3	1	19	1	0	8	1	17	0	4	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	217	11	8	5	12	7	5	16	8	8	3	7	0	1	6	10	4	3	0	2	2	1	7	1	2	2	5	1	4	1	12	1	2	1	1	5	4	3	7	6	3	6	3	12	2	6	1					
