Выборы Президента Российской Федерации																																														
																																														
"Наименование Избирательной комиссии:    Новокузнецк, Заводская"																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660					
1	"Число избирателей, внесенных в список"	73085	962	633	2757	2474	1003	1750	1292	1020	1870	2371	1922	1801	1448	2090	652	2063	2162	2011	1854	1622	2506	2306	2420	2664	2488	2380	2426	2257	2471	2232	2442	2377	1919	2051	1106	1444	1507	1359	973					
2	Число полученных избирательных бюллетеней	67200	850	550	2500	2250	950	1650	1200	950	1850	2200	1750	1600	1350	1950	600	1850	2000	1750	1700	1500	2200	2150	2250	2350	2300	2200	2200	2050	2300	2200	2300	2150	1750	1900	1050	1350	1450	1250	800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	44057	342	398	1460	1414	611	1077	738	583	969	1315	1144	1288	862	1203	435	1127	1225	1174	974	1103	1610	1341	1423	1648	1630	1457	1435	1371	1577	1463	1591	1731	1274	1292	745	898	972	769	388					
5	"Число избирательных бюллетеней, выданных вне помещения"	2309	137	100	46	100	33	49	45	27	70	38	46	57	25	83	26	18	51	170	33	12	144	31	64	39	46	59	74	43	38	34	53	51	58	37	30	29	16	94	203					
6	Число погашенных избирательных бюллетеней	20834	371	52	994	736	306	524	417	340	811	847	560	255	463	664	139	705	724	406	693	385	446	778	763	663	624	684	691	636	685	703	656	368	418	571	275	423	462	387	209					
7	Число избирательных бюллетеней в переносных ящиках	2308	137	100	46	100	33	49	45	27	70	38	46	57	25	83	26	18	51	170	33	12	143	31	64	39	46	59	74	43	38	34	53	51	58	37	30	29	16	94	203					
8	Число бюллетеней в стационарных ящиках для голосования	43999	342	398	1455	1414	611	1076	738	583	968	1315	1143	1288	862	1203	435	1127	1225	1174	974	1102	1601	1341	1423	1646	1624	1433	1434	1370	1577	1460	1590	1731	1274	1292	744	898	972	769	387					
9	Число недействительных избирательных бюллетеней	462	0	4	10	17	5	12	6	7	5	12	15	7	4	16	1	20	11	11	18	13	20	19	17	17	28	17	14	16	24	15	9	19	10	15	0	9	9	9	1					
10	Число действительных избирательных бюллетеней	45845	479	494	1491	1497	639	1113	777	603	1033	1341	1174	1338	883	1270	460	1125	1265	1333	989	1101	1724	1353	1470	1668	1642	1475	1494	1397	1591	1479	1634	1763	1322	1314	774	918	979	854	589					
