Выборы Президента Российской Федерации																																																																																																																															
																																																																																																																															
"Наименование Избирательной комиссии:    Омск, Центральная"																																																																																																																															
																																																																																																																															
Итоги голосования 																																																																																																																															
																																																																																																																															
		Сумма	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880					
1	"Число избирателей, внесенных в список"	223123	1603	2286	2080	2674	2520	2315	2201	1273	2367	2434	2761	1644	2514	2066	1222	1765	1719	1541	2311	1810	1952	1980	1831	2182	1081	1509	2490	1568	1564	2594	1949	1451	1241	1679	1944	1790	2139	2352	1470	1775	2022	2220	2201	2631	1518	1333	2201	2028	2514	2741	1744	1750	1611	1495	1563	2689	2175	2172	611	1589	2202	2202	1369	1789	1854	2230	1441	1599	1434	2607	2662	1729	2722	2040	2195	2000	1621	1637	2064	2319	1837	2210	2695	2150	1853	2127	2534	2199	2612	2776	2493	2615	2802	1807	1140	2811	2845	2568	2774	2711	2684	2233	1765	868	513	797	603	289	162	246	142	127	142	175	122	1520	1607	2144	1287	1967					
2	Число полученных избирательных бюллетеней	214819	1542	2122	1876	2586	2405	2315	2053	1214	2259	2358	2657	1557	2371	1946	1230	1698	1634	1488	2208	1764	1878	1898	1596	2229	940	1348	2493	1570	1569	2453	1881	1380	1187	1615	1860	1706	1949	2244	1504	1759	1884	2151	2170	2521	1464	1283	2117	1938	2399	2637	1591	1652	1550	1421	1503	2619	2099	2118	591	1539	2158	2189	1334	1728	1800	2136	1383	1554	1177	2550	2592	1671	2637	1952	2118	1904	1562	1560	1976	2234	1819	2146	2579	2091	1658	2007	2407	2118	2577	2641	2537	2628	2767	1784	1128	2705	2736	2479	2713	2625	2645	2104	1755	841	510	781	600	293	163	262	138	138	143	175	122	1423	1577	2098	1183	1919					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	127984	883	1116	1145	1694	1310	1010	1099	587	855	962	1502	1055	1727	1152	1213	1140	1182	1022	1599	1151	1292	1286	1237	1594	708	891	1005	769	710	1502	1220	764	601	856	1025	1011	1049	1517	681	955	1097	1278	1172	1451	978	876	1350	1144	1453	1327	1075	1057	943	964	973	1539	1388	1384	404	932	1315	1213	835	1025	1090	1389	874	1017	1041	1509	1627	1099	1538	1248	1204	1308	1011	1032	1228	1439	900	1230	1821	1168	1058	908	1282	1021	1388	1596	1530	1550	1477	892	611	1774	1681	1651	1706	1636	1330	816	796	444	477	515	423	172	159	202	124	104	119	138	121	699	749	1030	600	1182					
5	"Число избирательных бюллетеней, выданных вне помещения"	8012	56	67	90	74	60	62	56	94	80	63	25	25	39	37	9	58	47	38	71	72	101	94	68	93	73	120	58	37	72	24	43	67	26	67	41	31	225	63	97	63	88	65	68	41	60	55	58	80	98	94	58	51	106	77	75	69	60	106	19	92	47	39	31	131	116	119	59	78	27	68	70	39	80	34	36	41	76	97	126	65	28	40	68	74	67	58	56	72	42	82	66	36	52	73	22	47	36	37	43	91	52	62	264	35	33	227	175	117	2	44	14	22	23	35	0	46	96	103	118	69					
6	Число погашенных избирательных бюллетеней	78823	603	939	641	818	1035	1243	898	533	1324	1333	1130	477	605	757	8	500	405	428	538	541	485	518	291	542	159	337	1430	764	787	927	618	549	560	692	794	664	675	664	726	741	699	808	930	1029	426	352	709	714	848	1216	458	544	501	380	455	1011	651	628	168	515	796	937	468	572	594	628	450	459	109	973	895	533	1019	670	878	555	475	431	622	730	891	876	690	849	533	1041	1069	1025	1147	963	941	1042	1238	819	495	884	1019	791	964	898	1263	1226	695	362	0	39	2	4	2	16	0	12	1	2	1	678	732	965	465	668					
7	Число избирательных бюллетеней в переносных ящиках	8012	56	67	90	74	60	62	56	94	80	63	25	25	39	37	9	58	47	38	71	72	101	94	68	93	73	120	58	37	72	24	43	67	26	67	41	31	225	63	97	63	88	65	68	41	60	55	58	80	98	94	58	51	106	77	75	69	60	106	19	92	47	39	31	131	116	119	59	78	27	68	70	39	80	34	36	41	76	97	126	65	28	40	68	74	67	58	56	72	42	82	66	36	52	73	22	47	36	37	43	91	52	62	264	35	33	227	175	117	2	44	14	22	23	35	0	46	96	103	118	69					
8	Число бюллетеней в стационарных ящиках для голосования	127930	883	1116	1145	1694	1310	1008	1099	587	855	962	1502	1053	1720	1151	1212	1137	1182	1022	1599	1151	1292	1286	1237	1594	708	891	1005	769	710	1502	1218	764	600	856	1025	1010	1048	1517	681	953	1096	1278	1170	1447	978	876	1349	1144	1453	1327	1075	1056	943	964	973	1535	1387	1384	404	931	1315	1213	835	1025	1090	1387	874	1017	1041	1509	1627	1099	1538	1248	1204	1308	1011	1032	1228	1438	898	1230	1820	1168	1058	908	1281	1021	1388	1595	1530	1549	1476	892	611	1774	1681	1651	1706	1636	1324	816	796	444	477	515	423	172	159	202	124	104	119	138	121	699	749	1030	600	1182					
9	Число недействительных избирательных бюллетеней	1142	13	16	14	6	13	14	16	1	7	14	27	4	11	11	37	2	2	4	6	8	13	5	5	7	4	4	20	22	8	13	8	8	7	6	11	6	7	23	6	3	11	7	16	9	7	5	14	8	14	18	13	7	4	10	10	19	20	9	5	22	14	10	12	5	5	9	8	5	3	12	12	0	9	9	8	9	3	3	11	12	3	10	15	12	9	9	16	5	13	16	8	10	9	11	10	8	4	5	3	7	21	5	13	9	8	6	18	8	3	2	3	2	0	2	2	12	9	17	11	9					
10	Число действительных избирательных бюллетеней	134800	926	1167	1221	1762	1357	1056	1139	680	928	1011	1500	1074	1748	1177	1184	1193	1227	1056	1664	1215	1380	1375	1300	1680	777	1007	1043	784	774	1513	1253	823	619	917	1055	1035	1266	1557	772	1013	1173	1336	1222	1479	1031	926	1393	1216	1537	1403	1120	1100	1045	1031	1038	1585	1427	1481	418	1001	1348	1242	854	1151	1201	1497	925	1090	1065	1565	1685	1138	1609	1273	1232	1340	1084	1126	1343	1491	923	1260	1873	1230	1116	957	1321	1088	1417	1661	1588	1575	1519	954	623	1813	1713	1683	1746	1720	1355	873	1047	470	502	736	580	281	158	244	135	124	142	171	119	733	836	1116	707	1242					
