Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Туркменская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202					
1	"Число избирателей, внесенных в список"	19449	2210	1407	490	327	211	1818	275	1873	1572	1678	661	123	857	233	790	545	1045	1021	138	923	209	1043					
2	Число полученных избирательных бюллетеней	19575	2162	1419	495	348	206	1839	276	1866	1596	1680	664	126	860	225	796	565	1051	1021	140	929	210	1101					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11255	1176	777	288	201	144	927	184	1035	794	958	348	58	573	94	485	338	604	762	90	606	146	667					
5	"Число избирательных бюллетеней, выданных вне помещения"	1502	106	21	35	25	8	180	37	166	177	64	55	26	122	96	27	33	88	53	10	69	32	72					
6	Число погашенных избирательных бюллетеней	6818	880	621	172	122	54	732	55	665	625	658	261	42	165	35	284	194	359	206	40	254	32	362					
7	Число избирательных бюллетеней в переносных ящиках	1502	106	21	35	25	8	180	37	166	177	64	55	26	122	96	27	33	88	53	10	69	32	72					
8	Число бюллетеней в стационарных ящиках для голосования	11249	1176	777	288	201	144	927	184	1035	789	958	348	58	572	94	485	338	604	762	90	606	146	667					
9	Число недействительных избирательных бюллетеней	88	10	2	2	1	3	10	4	7	7	11	0	0	1	1	6	4	5	0	0	4	1	9					
10	Число действительных избирательных бюллетеней	12663	1272	796	321	225	149	1097	217	1194	959	1011	403	84	693	189	506	367	687	815	100	671	177	730					
11	Число полученных открепительных  удостоверений	194	43	33	5	1	0	10	5	10	10	6	9	3	10	0	5	5	15	5	0	10	5	4					
12	Число выданных открепительных удостоверений	174	40	29	3	1	0	10	5	9	9	4	9	1	10	0	5	5	12	5	0	10	3	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	5	3	0	1	4	3	1	7	2	0	3	1	2	6	0	0	1	1	0	1	2	0					
14	Число неиспользованных открепительных удостоверений	20	3	4	2	0	0	0	0	1	1	2	0	2	0	0	0	0	3	0	0	0	2	0					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	246	41	19	5	2	11	25	4	21	21	24	6	0	4	0	12	6	14	9	2	5	1	14					
		1.93%	3.20%	2.38%	1.55%	0.88%	7.24%	2.26%	1.81%	1.75%	2.17%	2.35%	1.49%	0.00%	0.58%	0.00%	2.34%	1.62%	2.02%	1.10%	2.00%	0.74%	0.56%	1.89%					
19	. Малышкин Олег Александрович	271	15	19	2	4	5	19	6	28	36	32	19	1	10	1	12	3	22	9	1	4	4	19					
		2.13%	1.17%	2.38%	0.62%	1.77%	3.29%	1.72%	2.71%	2.33%	3.73%	3.13%	4.71%	1.19%	1.44%	0.53%	2.34%	0.81%	3.18%	1.10%	1.00%	0.59%	2.25%	2.57%					
20	. Миронов Сергей Михайлович	77	12	5	2	2	2	2	0	7	10	4	2	1	2	1	7	0	1	4	0	8	1	4					
		0.60%	0.94%	0.63%	0.62%	0.88%	1.32%	0.18%	0.00%	0.58%	1.04%	0.39%	0.50%	1.19%	0.29%	0.53%	1.37%	0.00%	0.14%	0.49%	0.00%	1.19%	0.56%	0.54%					
21	. Путин Владимир Владимирович	7400	834	521	169	153	77	500	128	606	507	452	277	48	481	99	229	229	335	671	84	421	109	470					
		58.03%	65.05%	65.29%	52.32%	67.70%	50.66%	45.17%	57.92%	50.46%	52.48%	44.23%	68.73%	57.14%	69.31%	52.11%	44.73%	61.73%	48.41%	82.33%	84.00%	62.37%	61.24%	63.60%					
22	. Хакамада Ирина Муцуовна	240	35	15	10	3	1	26	5	27	23	22	7	4	5	3	9	4	14	11	0	8	0	8					
		1.88%	2.73%	1.88%	3.10%	1.33%	0.66%	2.35%	2.26%	2.25%	2.38%	2.15%	1.74%	4.76%	0.72%	1.58%	1.76%	1.08%	2.02%	1.35%	0.00%	1.19%	0.00%	1.08%					
23	. Харитонов Николай Михайлович	4203	305	196	130	59	51	516	72	489	322	458	82	27	178	85	228	120	295	107	13	218	59	193					
		32.96%	23.79%	24.56%	40.25%	26.11%	33.55%	46.61%	32.58%	40.72%	33.33%	44.81%	20.35%	32.14%	25.65%	44.74%	44.53%	32.35%	42.63%	13.13%	13.00%	32.30%	33.15%	26.12%					
																													
24	Против всех	226	30	21	3	2	2	9	2	16	40	19	10	3	13	0	9	5	6	4	0	7	3	22					
		1.77%	2.34%	2.63%	0.93%	0.88%	1.32%	0.81%	0.90%	1.33%	4.14%	1.86%	2.48%	3.57%	1.87%	0.00%	1.76%	1.35%	0.87%	0.49%	0.00%	1.04%	1.69%	2.98%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
