Выборы Президента Российской Федерации																																																																																																																																						
Дата голосования: 18.03.2018																																																																																																																																						
																																																																																																																																						
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																																						
																																																																																																																																						
Сводная таблица итогов голосования																																																																																																																																						
																																																																																																																																						
	Число участковых избирательных комиссий	123																																																																																																																																				
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	123																																																																																																																																				
																																																																																																																																						
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №216	УИК №217	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №273	УИК №274	УИК №275	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №302	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326									
7	Число избирательных бюллетеней в переносных ящиках для голосования	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	Число бюллетеней в стационарных ящиках для голосования	5152	98	96	97	98	97	97	99	98	97	98	95	99	98	98	24	24	28	26	19	19	30	20	19	50	44	29	29	30	19	60	26	58	30	14	27	28	49	29	31	30	27	34	28	33	28	23	27	28	68	68	70	67	129	95	129	133	85	6	16	18	17	16	16	8	15	23	14	14	14	16	16	20	14	14	51	13	36	39	24	127	60	91	98	102	28	14	18	18	18	14	14	15	15	13	36	13	12	9	109	27	60	45	31	24	24	25	69	13	22	19	21	10	15	13	65	33	24	48	16	13	14	18	30									
9	Число недействительных избирательных бюллетеней	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	5129	98	96	97	98	97	97	99	98	97	98	95	99	98	98	24	24	28	26	19	19	30	20	19	48	44	29	28	29	19	60	25	58	30	14	27	28	49	29	31	30	27	34	28	32	27	23	27	28	68	68	70	67	129	95	128	133	85	6	16	17	17	15	16	8	15	23	14	14	14	16	16	20	13	13	51	13	36	39	24	127	60	90	98	102	28	14	18	18	18	14	14	14	15	13	36	12	12	9	109	27	57	44	31	24	24	25	69	13	22	18	20	10	15	13	65	32	24	47	16	13	14	18	30									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																																						
13	Бабурин Сергей Николаевич	33	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	2	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2	1	1	0	0	0	0	1									
		0.64%	0.00%	1.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.00%	0.00%	10.34%	0.00%	0.00%	5.26%	3.33%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.47%	1.47%	1.43%	1.49%	0.00%	2.11%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.67%	0.00%	3.23%	0.00%	0.00%	0.00%	1.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.08%	6.06%	4.17%	2.08%	0.00%	0.00%	0.00%	0.00%	3.33%									
14	Грудинин Павел Николаевич	383	1	0	0	1	2	0	0	0	1	1	0	3	0	1	0	0	1	0	1	0	0	0	0	10	8	2	1	2	1	5	6	3	5	0	3	6	0	0	1	2	1	2	1	1	4	1	1	0	4	9	8	9	3	24	17	6	7	0	1	2	1	3	3	1	3	3	3	8	3	3	12	1	4	3	1	3	11	0	0	1	2	0	1	1	1	0	0	0	0	0	1	3	2	6	3	1	7	3	7	4	22	3	7	10	2	2	3	0	3	1	5	0	2	0	6	6	4	14	1	3	1	9	2									
		7.43%	1.02%	0.00%	0.00%	1.02%	2.06%	0.00%	0.00%	0.00%	1.03%	1.02%	0.00%	3.03%	0.00%	1.02%	0.00%	0.00%	3.57%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	20.00%	18.18%	6.90%	3.45%	6.67%	5.26%	8.33%	23.08%	5.17%	16.67%	0.00%	11.11%	21.43%	0.00%	0.00%	3.23%	6.67%	3.70%	5.88%	3.57%	3.03%	14.29%	4.35%	3.70%	0.00%	5.88%	13.24%	11.43%	13.43%	2.33%	25.26%	13.18%	4.51%	8.24%	0.00%	6.25%	11.11%	5.88%	18.75%	18.75%	12.50%	20.00%	13.04%	21.43%	57.14%	21.43%	18.75%	75.00%	5.00%	28.57%	21.43%	1.96%	23.08%	30.56%	0.00%	0.00%	0.79%	3.33%	0.00%	1.02%	0.98%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	20.00%	13.33%	46.15%	8.33%	7.69%	58.33%	33.33%	6.42%	14.81%	36.67%	6.67%	22.58%	41.67%	8.33%	8.00%	4.35%	0.00%	13.64%	5.26%	23.81%	0.00%	13.33%	0.00%	9.23%	18.18%	16.67%	29.17%	6.25%	23.08%	7.14%	50.00%	6.67%									
15	Жириновский Владимир Вольфович	624	1	2	2	1	2	2	4	3	3	1	0	1	4	1	0	0	0	0	0	1	0	1	1	7	13	5	10	3	6	13	3	18	4	5	18	15	7	8	7	7	5	7	4	5	10	6	8	7	13	20	12	15	24	27	18	3	20	2	2	4	0	3	5	2	2	5	7	1	1	1	2	3	5	1	7	6	10	0	0	4	1	3	1	3	0	0	0	0	1	0	1	0	1	1	5	0	3	3	19	3	9	9	5	2	4	9	11	7	4	1	3	0	2	1	13	12	2	6	1	4	2	5	11									
