Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																							
Дата голосования: 04.12.2011																							
																							
Наименование Избирательной комиссии:    Итум-Калинская																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161					
1	"Число избирателей, внесенных в список избирателей"	3932	560	556	230	265	244	304	129	188	106	217	24	43	38	407	457	164					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3945	562	558	231	266	245	305	129	188	106	218	24	43	38	409	459	164					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	820	0	0	0	0	0	0	0	0	0	0	0	0	0	300	400	120					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	3075	551	553	228	263	241	300	129	187	105	212	24	42	37	105	56	42					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	22	8	2	1	1	3	3	0	0	0	4	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	28	3	3	2	2	1	2	0	1	1	2	0	1	1	4	3	2					
7	Число избирательных бюллетеней в переносных ящиках для голосования	842	8	2	1	1	3	3	0	0	0	4	0	0	0	300	400	120					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3075	551	553	228	263	241	300	129	187	105	212	24	42	37	105	56	42					
9	Число недействительных избирательных бюллетеней	3	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	3914	558	554	229	264	243	303	129	187	105	216	24	42	37	405	456	162					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	40	40	30	40	30	40	20	20	20	20	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	40	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	260	0	40	30	40	30	40	20	20	20	20	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9	0	0	1	1	0	1	1	1	0	1	0	0	0	1	1	1					
		0.23%	0.00%	0.00%	0.44%	0.38%	0.00%	0.33%	0.78%	0.53%	0.00%	0.46%	0.00%	0.00%	0.00%	0.25%	0.22%	0.62%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	3	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.08%	0.18%	0.00%	0.44%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	0					
		0.15%	0.18%	0.18%	0.00%	0.38%	0.00%	0.33%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0					
		0.08%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3893	556	553	227	262	242	300	128	185	104	215	24	42	37	403	454	161					
		99.39%	99.46%	99.64%	99.13%	99.24%	99.18%	99.01%	99.22%	98.93%	99.05%	99.54%	100.00%	100.00%	100.00%	99.51%	99.56%	99.38%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
