Выборы Президента Российской Федерации																																																							
																																																							
Наименование Избирательной комиссии:    Баганская																																																							
																																																							
Итоги голосования 																																																							
																																																							
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48					
1	"Число избирателей, внесенных в список"	13011	483	167	104	43	50	306	559	456	598	471	507	501	360	588	375	141	127	232	138	246	94	172	39	61	124	115	487	345	89	112	494	182	217	444	598	216	207	561	127	173	92	149	436	692	115	49	87	82					
2	Число полученных избирательных бюллетеней	13000	480	162	107	48	50	310	550	430	550	460	500	500	360	590	380	148	126	227	142	245	93	173	42	65	125	134	480	350	88	113	490	196	222	437	610	216	208	560	128	185	90	150	430	700	122	52	88	88					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9248	402	140	83	37	45	254	329	245	395	260	268	290	178	377	264	109	102	149	111	197	67	137	37	57	106	94	344	255	83	111	340	172	170	336	400	161	150	459	88	120	78	111	326	534	98	43	83	53					
5	"Число избирательных бюллетеней, выданных вне помещения"	543	0	0	15	0	0	0	40	16	80	35	23	31	42	38	7	10	0	7	7	0	14	4	0	0	0	0	26	17	0	0	9	0	0	0	38	0	0	0	6	0	0	8	19	34	0	1	3	13					
6	Число погашенных избирательных бюллетеней	3209	78	22	9	11	5	56	181	169	75	165	209	179	140	175	109	29	24	71	24	48	12	32	5	8	19	40	110	78	5	2	141	24	52	101	172	55	58	101	34	65	12	31	85	132	24	8	2	22					
7	Число избирательных бюллетеней в переносных ящиках	543	0	0	15	0	0	0	40	16	80	35	23	31	42	38	7	10	0	7	7	0	14	4	0	0	0	0	26	17	0	0	9	0	0	0	38	0	0	0	6	0	0	8	19	34	0	1	3	13					
8	Число бюллетеней в стационарных ящиках для голосования	9248	402	140	83	37	45	254	329	245	395	260	268	290	178	377	264	109	102	149	111	197	67	137	37	57	106	94	344	255	83	111	340	172	170	336	400	161	150	459	88	120	78	111	326	534	98	43	83	53					
9	Число недействительных избирательных бюллетеней	110	7	0	0	0	0	0	4	3	4	7	5	4	4	3	2	4	0	0	1	0	1	1	0	0	1	0	1	4	0	0	2	3	1	2	2	0	0	6	2	5	0	2	11	16	1	0	0	1					
10	Число действительных избирательных бюллетеней	9681	395	140	98	37	45	254	365	258	471	288	286	317	216	412	269	115	102	156	117	197	80	140	37	57	105	94	369	268	83	111	347	169	169	334	436	161	150	453	92	115	78	117	334	552	97	44	86	65					
11	Число полученных открепительных  удостоверений	200	6	3	3	3	3	6	6	6	6	6	6	6	5	12	6	7	0	3	3	3	3	3	3	3	3	3	6	3	3	3	3	3	3	3	8	3	3	6	3	3	3	3	6	7	2	3	3	3					
12	Число выданных открепительных удостоверений	67	0	0	0	2	0	0	1	4	5	1	3	1	2	8	3	7	0	1	0	1	0	0	0	0	0	0	0	1	0	0	3	3	1	1	8	0	0	1	0	0	0	0	2	7	0	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	21	0	0	0	0	0	2	0	0	2	0	2	1	2	2	1	2	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	133	6	3	3	1	3	6	5	2	1	5	3	5	3	4	3	0	0	2	3	2	3	3	3	3	3	3	6	2	3	3	0	0	2	2	0	3	3	5	3	3	3	3	4	0	2	3	3	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																							
18	. Глазьев Сергей Юрьевич	153	4	0	0	0	0	5	11	5	8	17	9	0	4	16	4	0	1	2	0	0	0	1	1	0	1	1	11	3	0	0	12	2	1	2	7	0	1	7	0	1	2	0	4	9	0	0	1	0					
