Выборы Президента Российской Федерации																																																										
																																																										
Наименование Избирательной комиссии:    Чекмагушевская																																																										
																																																										
Итоги голосования 																																																										
																																																										
		Сумма	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464					
1	"Число избирателей, внесенных в список"	22599	1374	1055	808	1268	907	1209	1168	240	507	105	123	375	331	228	556	161	260	383	433	243	501	188	217	147	595	179	665	185	674	743	135	167	347	164	195	147	585	271	274	525	364	99	387	604	159	490	513	208	344	439	354					
2	Число полученных избирательных бюллетеней	23000	1370	1060	815	1280	890	1220	1160	250	520	107	130	390	335	235	580	167	275	390	440	250	505	200	225	153	610	185	670	200	690	755	135	167	355	165	200	155	590	275	275	535	380	101	400	615	165	500	540	215	355	450	370					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20797	1290	969	771	1173	835	1153	1102	225	473	104	114	359	309	218	481	118	249	371	388	212	464	174	189	140	556	168	609	173	592	684	123	153	321	148	180	142	493	257	239	467	309	92	337	505	154	445	497	199	323	414	336					
5	"Число избирательных бюллетеней, выданных вне помещения"	1350	69	41	5	19	15	14	19	8	34	1	9	16	22	10	75	43	11	11	45	29	33	14	28	6	35	11	56	12	77	40	12	14	26	16	15	5	49	12	25	52	48	7	50	96	4	41	16	5	17	16	16					
6	Число погашенных избирательных бюллетеней	853	11	50	39	88	40	53	39	17	13	2	7	15	4	7	24	6	15	8	7	9	8	12	8	7	19	6	5	15	21	31	0	0	8	1	5	8	48	6	11	16	23	2	13	14	7	14	27	11	15	20	18					
7	Число избирательных бюллетеней в переносных ящиках	1350	69	41	5	19	15	14	19	8	34	1	9	16	22	10	75	43	11	11	45	29	33	14	28	6	35	11	56	12	77	40	12	14	26	16	15	5	49	12	25	52	48	7	50	96	4	41	16	5	17	16	16					
8	Число бюллетеней в стационарных ящиках для голосования	20797	1290	969	771	1173	835	1153	1102	225	473	104	114	359	309	218	481	118	249	371	388	212	464	174	189	140	556	168	609	173	592	684	123	153	321	148	180	142	493	257	239	467	309	92	337	505	154	445	497	199	323	414	336					
9	Число недействительных избирательных бюллетеней	94	0	0	5	2	10	3	6	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	3	0	1	0	1	0	0	0	0	1	18	29	0	0	0	0	0	6	0	1	2	0					
10	Число действительных избирательных бюллетеней	22053	1359	1010	771	1190	840	1164	1115	233	506	104	123	375	331	228	555	160	259	382	433	241	497	188	217	146	591	178	665	185	669	721	135	166	347	163	195	147	542	269	263	501	328	99	387	601	158	486	507	204	339	428	352					
11	Число полученных открепительных  удостоверений	639	30	30	25	30	30	25	30	10	15	5	5	15	5	10	23	10	10	5	10	10	15	5	5	7	24	5	15	5	20	20	5	5	10	5	5	5	10	5	5	15	15	5	15	15	5	5	15	15	10	10	5					
12	Число выданных открепительных удостоверений	471	23	15	8	13	14	17	14	10	15	4	5	15	5	10	23	10	10	5	4	6	10	3	5	7	24	3	15	5	20	20	3	1	6	0	2	0	10	2	3	15	15	0	4	15	4	5	15	8	10	10	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	124	18	2	4	6	6	3	6	2	3	0	0	1	3	3	0	4	1	2	1	0	4	0	1	4	4	0	3	1	4	3	3	3	5	1	1	0	3	0	2	1	2	0	1	3	2	0	4	1	0	3	0					
14	Число неиспользованных открепительных удостоверений	168	7	15	17	17	16	8	16	0	0	1	0	0	0	0	0	0	0	0	6	4	5	2	0	0	0	2	0	0	0	0	2	4	4	5	3	5	0	3	2	0	0	5	11	0	1	0	0	7	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	11	1	0	2	3	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																										
18	. Глазьев Сергей Юрьевич	82	2	3	1	7	15	0	3	5	1	0	0	2	0	0	1	1	0	1	2	1	0	2	1	2	1	0	1	0	1	3	0	0	0	0	0	0	3	0	0	0	0	0	3	2	0	1	11	5	0	1	0					
		0.37%	0.15%	0.30%	0.13%	0.59%	1.76%	0.00%	0.27%	2.15%	0.20%	0.00%	0.00%	0.53%	0.00%	0.00%	0.18%	0.62%	0.00%	0.26%	0.46%	0.41%	0.00%	1.06%	0.46%	1.37%	0.17%	0.00%	0.15%	0.00%	0.15%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.33%	0.00%	0.21%	2.14%	2.45%	0.00%	0.23%	0.00%					
19	. Малышкин Олег Александрович	52	3	0	2	8	5	0	4	5	1	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	5	1	2	0	0	0	0	0	0	0	2	1	1	3	0					
		0.23%	0.22%	0.00%	0.26%	0.67%	0.59%	0.00%	0.36%	2.15%	0.20%	0.00%	0.00%	0.53%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.53%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.37%	0.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.49%	0.29%	0.70%	0.00%					
20	. Миронов Сергей Михайлович	32	1	0	2	5	7	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	1	0	2	1	0	0	1					
		0.14%	0.07%	0.00%	0.26%	0.42%	0.82%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.27%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.37%	0.76%	0.19%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.39%	0.49%	0.00%	0.00%	0.28%					
21	. Путин Владимир Владимирович	21338	1346	961	759	1133	696	1151	1087	214	498	103	120	366	324	224	545	158	259	379	418	234	494	172	198	143	582	174	659	182	660	705	127	166	346	163	195	147	498	264	239	498	323	94	371	594	155	473	456	185	333	419	348					
		96.35%	99.04%	95.15%	97.81%	95.05%	81.88%	98.63%	96.97%	91.85%	98.22%	98.10%	97.56%	97.60%	97.89%	98.25%	98.02%	98.14%	99.62%	99.21%	96.54%	97.10%	99.40%	91.49%	91.24%	97.95%	98.48%	97.21%	99.10%	98.38%	98.65%	97.38%	94.07%	99.40%	99.71%	99.39%	100.00%	100.00%	91.88%	98.14%	90.53%	95.95%	90.48%	94.95%	95.87%	98.84%	98.10%	97.33%	88.89%	90.69%	97.94%	97.44%	98.86%					
22	. Хакамада Ирина Муцуовна	88	2	0	2	8	9	0	2	0	2	1	0	2	2	1	5	0	0	1	3	1	1	1	2	0	2	0	2	1	0	3	1	0	0	0	0	0	5	0	3	1	1	0	3	1	0	3	11	1	3	1	1					
		0.40%	0.15%	0.00%	0.26%	0.67%	1.06%	0.00%	0.18%	0.00%	0.39%	0.95%	0.00%	0.53%	0.60%	0.44%	0.90%	0.00%	0.00%	0.26%	0.69%	0.41%	0.20%	0.53%	0.92%	0.00%	0.34%	0.00%	0.30%	0.54%	0.00%	0.41%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	1.14%	0.19%	0.28%	0.00%	0.78%	0.17%	0.00%	0.62%	2.14%	0.49%	0.88%	0.23%	0.28%					
23	. Харитонов Николай Михайлович	410	3	46	2	23	98	11	18	7	4	0	3	2	2	2	4	1	0	1	10	4	2	12	16	1	2	4	3	2	3	8	7	0	0	0	0	0	26	3	15	1	2	4	6	4	2	7	23	10	2	2	2					
		1.85%	0.22%	4.55%	0.26%	1.93%	11.53%	0.94%	1.61%	3.00%	0.79%	0.00%	2.44%	0.53%	0.60%	0.88%	0.72%	0.62%	0.00%	0.26%	2.31%	1.66%	0.40%	6.38%	7.37%	0.68%	0.34%	2.23%	0.45%	1.08%	0.45%	1.10%	5.19%	0.00%	0.00%	0.00%	0.00%	0.00%	4.80%	1.12%	5.68%	0.19%	0.56%	4.04%	1.55%	0.67%	1.27%	1.44%	4.48%	4.90%	0.59%	0.47%	0.57%					
																																																										
24	Против всех	51	2	0	3	6	10	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	1	0	0	0	3	0	2	0	2	1	4	0	0	2	2	1	0	2	0					
