Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Верхнедонская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976					
1	"Число избирателей, внесенных в список"	17957	132	193	234	632	191	154	1767	2280	338	168	774	688	110	72	1205	133	418	88	172	919	269	222	243	1406	234	183	402	65	137	144	719	101	214	72	230	455	403	193	98	827	246	72	354					
2	Число полученных избирательных бюллетеней	18073	132	190	235	636	189	156	1810	2310	341	169	780	696	110	72	1210	132	417	86	181	935	271	221	240	1390	235	181	402	65	136	146	720	100	213	70	235	468	405	191	98	824	249	73	353					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14094	120	187	198	520	149	122	1426	1846	249	132	658	461	87	65	1067	96	382	81	107	718	189	144	173	1078	194	168	245	48	118	141	604	84	198	45	162	245	304	142	88	559	167	53	274					
5	"Число избирательных бюллетеней, выданных вне помещения"	2014	6	0	19	63	25	29	94	153	72	30	79	201	15	4	45	25	16	0	51	85	63	62	47	122	17	0	96	13	17	0	82	10	12	20	41	112	44	40	3	117	36	12	36					
6	Число погашенных избирательных бюллетеней	1965	6	3	18	53	15	5	290	311	20	7	43	34	8	3	98	11	19	5	23	132	19	15	20	190	24	13	61	4	1	5	34	6	3	5	32	111	57	9	7	148	46	8	43					
7	Число избирательных бюллетеней в переносных ящиках	2014	6	0	19	63	25	29	94	153	72	30	79	201	15	4	45	25	16	0	51	85	63	62	47	122	17	0	96	13	17	0	82	10	12	20	41	112	44	40	3	117	36	12	36					
8	Число бюллетеней в стационарных ящиках для голосования	14094	120	187	198	520	149	122	1426	1846	249	132	658	461	87	65	1067	96	382	81	107	718	189	144	173	1078	194	168	245	48	118	141	604	84	198	45	162	245	304	142	88	559	167	53	274					
9	Число недействительных избирательных бюллетеней	74	0	0	2	0	0	0	7	12	1	0	3	1	0	0	0	1	0	0	0	1	6	0	14	11	0	3	0	1	1	0	4	0	0	0	0	0	4	1	0	1	0	0	0					
10	Число действительных избирательных бюллетеней	16034	126	187	215	583	174	151	1513	1987	320	162	734	661	102	69	1112	120	398	81	158	802	246	206	206	1189	211	165	341	60	134	141	682	94	210	65	203	357	344	181	91	675	203	65	310					
11	Число полученных открепительных  удостоверений	481	9	9	9	9	9	9	50	64	9	9	9	9	9	9	12	9	9	9	9	12	9	9	9	12	9	9	9	9	9	9	9	9	9	9	9	9	4	9	1	11	9	9	9					
12	Число выданных открепительных удостоверений	183	0	1	0	8	0	2	45	58	4	0	3	8	1	0	5	1	1	0	5	4	0	0	1	8	0	1	1	0	0	1	0	1	0	2	5	9	4	0	0	2	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	1	5	3	5	3	2	5	10	1	1	0	1	2	1	3	2	1	1	1	1	0	2	4	2	2	1	2	1	2	0	1	2	3	1	1	2	6	3	1	2	0	0	2					
14	Число неиспользованных открепительных удостоверений	298	9	8	9	1	9	7	5	6	5	9	6	1	8	9	7	8	8	9	4	8	9	9	8	4	9	8	8	9	9	8	9	8	9	7	4	0	0	9	1	9	9	8	8					
