Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Дегтярская городская 													
													
Итоги голосования 													
													
		Сумма	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240					
1	"Число избирателей, внесенных в список"	12669	2576	2115	2470	2446	2009	1053					
2	Число полученных избирательных бюллетеней	12502	2470	2160	2472	2460	1940	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6769	1083	1270	1405	1446	1071	494					
5	"Число избирательных бюллетеней, выданных вне помещения"	256	45	54	44	41	40	32					
6	Число погашенных избирательных бюллетеней	5477	1342	836	1023	973	829	474					
7	Число избирательных бюллетеней в переносных ящиках	256	45	54	44	41	40	32					
8	Число бюллетеней в стационарных ящиках для голосования	6762	1083	1266	1403	1445	1071	494					
9	Число недействительных избирательных бюллетеней	150	39	14	25	10	13	49					
10	Число действительных избирательных бюллетеней	6868	1089	1306	1422	1476	1098	477					
11	Число полученных открепительных  удостоверений	248	45	45	50	50	38	20					
12	Число выданных открепительных удостоверений	60	6	18	17	4	9	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	63	12	6	14	15	10	6					
14	Число неиспользованных открепительных удостоверений	188	39	27	33	46	29	14					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	1	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	248	28	75	50	56	22	17					
		3.53%	2.48%	5.68%	3.46%	3.77%	1.98%	3.23%					
19	. Малышкин Олег Александрович	198	34	37	34	43	31	19					
		2.82%	3.01%	2.80%	2.35%	2.89%	2.79%	3.61%					
20	. Миронов Сергей Михайлович	50	9	14	8	9	5	5					
		0.71%	0.80%	1.06%	0.55%	0.61%	0.45%	0.95%					
21	. Путин Владимир Владимирович	5194	852	914	1068	1061	920	379					
		74.01%	75.53%	69.24%	73.81%	71.40%	82.81%	72.05%					
22	. Хакамада Ирина Муцуовна	225	41	31	54	53	26	20					
		3.21%	3.63%	2.35%	3.73%	3.57%	2.34%	3.80%					
23	. Харитонов Николай Михайлович	813	114	207	179	207	72	34					
		11.58%	10.11%	15.68%	12.37%	13.93%	6.48%	6.46%					
													
24	Против всех	140	11	28	29	47	22	3					
		1.99%	0.98%	2.12%	2.00%	3.16%	1.98%	0.57%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
