Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    Озерская городская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271					
		9.52%	7.40%	10.59%	9.24%	10.98%	8.55%	9.73%	9.26%	9.36%	9.02%	12.47%	9.93%	11.47%	9.87%	11.34%	9.65%	7.72%	11.17%	2.19%	12.66%	11.72%	8.65%	9.21%	8.80%	11.27%	10.81%	6.52%	7.39%	6.77%	8.68%	8.70%	12.10%	0.95%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	413	17	16	9	9	7	13	19	14	14	26	28	10	18	14	30	12	19	3	17	14	12	24	19	6	19	5	3	7	6	1	0	2					
		0.75%	0.85%	0.92%	0.48%	0.45%	0.37%	0.70%	0.98%	0.72%	0.82%	1.32%	1.36%	0.49%	1.06%	0.67%	1.52%	0.72%	0.89%	0.25%	0.83%	0.71%	0.61%	1.18%	0.90%	0.42%	0.93%	0.30%	0.19%	0.36%	0.36%	0.72%	0.00%	0.95%					
23	6.Политическая партия «Партия социальной справедливости»	156	4	4	9	2	5	6	7	5	6	6	9	4	4	8	6	2	7	6	8	6	3	5	2	1	5	8	6	3	8	0	1	0					
		0.28%	0.20%	0.23%	0.48%	0.10%	0.27%	0.32%	0.36%	0.26%	0.35%	0.31%	0.44%	0.19%	0.24%	0.38%	0.30%	0.12%	0.33%	0.51%	0.39%	0.31%	0.15%	0.25%	0.10%	0.07%	0.24%	0.49%	0.37%	0.16%	0.48%	0.00%	0.23%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	6854	272	226	237	224	239	245	269	248	206	238	258	269	213	261	238	226	227	187	250	264	217	254	223	219	303	228	92	243	213	8	36	21					
		12.46%	13.61%	13.01%	12.58%	11.28%	12.69%	13.16%	13.91%	12.68%	12.14%	12.11%	12.55%	13.08%	12.59%	12.44%	12.03%	13.64%	10.65%	15.75%	12.17%	13.46%	10.98%	12.51%	10.61%	15.42%	14.75%	13.90%	5.71%	12.66%	12.66%	5.80%	8.22%	10.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	4610	162	147	147	159	193	195	149	191	155	214	180	172	124	178	186	103	182	22	177	180	168	161	192	120	158	90	115	161	173	11	41	4					
		8.38%	8.10%	8.46%	7.80%	8.01%	10.25%	10.48%	7.70%	9.76%	9.13%	10.89%	8.76%	8.36%	7.33%	8.48%	9.40%	6.22%	8.54%	1.85%	8.62%	9.17%	8.50%	7.93%	9.13%	8.45%	7.69%	5.49%	7.14%	8.39%	10.29%	7.97%	9.36%	1.90%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	392	18	9	15	14	6	19	11	11	18	20	19	12	12	14	16	19	17	5	13	18	11	17	10	8	15	14	7	11	8	0	2	3					
		0.71%	0.90%	0.52%	0.80%	0.70%	0.32%	1.02%	0.57%	0.56%	1.06%	1.02%	0.92%	0.58%	0.71%	0.67%	0.81%	1.15%	0.80%	0.42%	0.63%	0.92%	0.56%	0.84%	0.48%	0.56%	0.73%	0.85%	0.43%	0.57%	0.48%	0.00%	0.46%	1.43%					
