Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Беломорская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207					
1	"Число избирателей, внесенных в список"	17313	315	1002	615	2091	2322	1923	1006	774	682	577	146	282	251	458	240	150	258	52	1795	344	57	1343	401	229					
2	Число полученных избирательных бюллетеней	16500	310	950	600	2000	2200	1800	930	760	600	550	170	270	230	430	240	149	265	50	1700	330	56	1300	400	210					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9699	153	460	290	1205	1215	1069	492	398	398	355	146	220	174	294	101	113	201	43	879	273	29	806	244	141					
5	"Число избирательных бюллетеней, выданных вне помещения"	1174	36	58	36	32	55	76	30	91	68	64	0	22	29	19	51	15	16	5	171	28	22	136	66	48					
6	Число погашенных избирательных бюллетеней	5627	121	432	274	763	930	655	408	271	134	131	24	28	27	117	88	21	48	2	650	29	5	358	90	21					
7	Число избирательных бюллетеней в переносных ящиках	1174	36	58	36	32	55	76	30	91	68	64	0	22	29	19	51	15	16	5	171	28	22	136	66	48					
8	Число бюллетеней в стационарных ящиках для голосования	9698	153	460	290	1204	1215	1069	492	398	398	355	146	220	174	294	101	113	201	43	879	273	29	806	244	141					
9	Число недействительных избирательных бюллетеней	104	0	9	2	12	18	6	8	2	4	5	0	5	2	5	0	2	3	1	9	2	0	6	3	0					
10	Число действительных избирательных бюллетеней	10768	189	509	324	1224	1252	1139	514	487	462	414	146	237	201	308	152	126	214	47	1041	299	51	936	307	189					
11	Число полученных открепительных  удостоверений	330	10	20	10	20	20	20	20	10	10	10	10	10	10	20	10	10	10	10	20	10	10	20	20	10					
12	Число выданных открепительных удостоверений	158	0	13	0	17	12	13	7	10	7	6	0	2	1	10	3	0	6	2	11	9	1	15	9	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	65	8	1	2	10	5	5	1	3	1	3	1	3	0	2	5	1	1	1	6	1	0	2	1	2					
14	Число неиспользованных открепительных удостоверений	172	10	7	10	3	8	7	13	0	3	4	10	8	9	10	7	10	4	8	9	1	9	5	11	6					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	209	9	10	5	28	29	28	10	8	6	8	1	3	1	3	0	3	2	1	34	5	0	15	0	0					
		1.92%	4.76%	1.93%	1.53%	2.27%	2.28%	2.45%	1.92%	1.64%	1.29%	1.91%	0.68%	1.24%	0.49%	0.96%	0.00%	2.34%	0.92%	2.08%	3.24%	1.66%	0.00%	1.59%	0.00%	0.00%					
19	. Малышкин Олег Александрович	260	4	7	9	30	25	30	17	13	9	1	2	5	1	2	1	0	8	1	43	12	0	25	10	5					
		2.39%	2.12%	1.35%	2.76%	2.43%	1.97%	2.62%	3.26%	2.66%	1.93%	0.24%	1.37%	2.07%	0.49%	0.64%	0.66%	0.00%	3.69%	2.08%	4.10%	3.99%	0.00%	2.65%	3.23%	2.65%					
20	. Миронов Сергей Михайлович	98	4	6	4	12	14	12	10	1	7	5	0	0	2	1	1	1	0	0	3	2	0	8	4	1					
		0.90%	2.12%	1.16%	1.23%	0.97%	1.10%	1.05%	1.92%	0.20%	1.50%	1.19%	0.00%	0.00%	0.99%	0.32%	0.66%	0.78%	0.00%	0.00%	0.29%	0.66%	0.00%	0.85%	1.29%	0.53%					
