Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Лешуконская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535					
1	"Число избирателей, внесенных в список"	7446	71	143	142	468	57	102	76	431	174	43	164	406	94	41	60	95	63	37	196	52	85	1095	1482	1150	38	35	83	180	179	25	179					
2	Число полученных избирательных бюллетеней	6890	70	140	140	460	60	90	70	380	170	40	160	360	90	40	60	95	70	40	180	50	80	980	1345	1020	40	45	80	180	165	30	160					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4507	42	93	84	311	41	55	53	264	122	39	146	273	68	34	55	75	45	25	123	38	62	630	770	591	19	31	53	119	116	20	110					
5	"Число избирательных бюллетеней, выданных вне помещения"	312	14	1	0	12	3	13	0	17	10	0	6	18	7	6	4	10	14	5	8	0	3	36	29	54	9	0	4	6	0	4	19					
6	Число погашенных избирательных бюллетеней	2071	14	46	56	137	16	22	17	99	38	1	8	69	15	0	1	10	11	10	49	12	15	314	546	375	12	14	23	55	49	6	31					
7	Число избирательных бюллетеней в переносных ящиках	312	14	1	0	12	3	13	0	17	10	0	6	18	7	6	4	10	14	5	8	0	3	36	29	54	9	0	4	6	0	4	19					
8	Число бюллетеней в стационарных ящиках для голосования	4506	42	93	84	311	41	55	53	264	122	39	146	273	68	34	55	75	45	25	123	38	62	629	770	591	19	31	53	119	116	20	110					
9	Число недействительных избирательных бюллетеней	46	1	1	1	7	1	0	0	2	3	0	0	2	2	1	0	0	0	0	4	0	0	5	4	7	0	0	0	3	2	0	0					
10	Число действительных избирательных бюллетеней	4772	55	93	83	316	43	68	53	279	129	39	152	289	73	39	59	85	59	30	127	38	65	660	795	638	28	31	57	122	114	24	129					
11	Число полученных открепительных  удостоверений	84	0	1	2	8	1	1	1	5	1	0	2	3	1	0	1	1	1	1	3	1	1	10	10	15	1	0	3	3	5	0	2					
12	Число выданных открепительных удостоверений	39	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	1	1	0	1	0	0	9	6	8	0	0	3	2	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	0	0	1	0	5	0	1	1	1	0	0	2	0	0	0	0	0	0	1	0	1	6	3	3	0	0	1	1	0	0	1					
14	Число неиспользованных открепительных удостоверений	45	0	1	2	3	1	1	1	2	1	0	2	3	1	0	1	0	0	1	2	1	1	1	4	7	1	0	0	1	5	0	2					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																						
18	. Глазьев Сергей Юрьевич	102	0	2	3	6	0	3	0	5	2	0	3	4	1	1	0	2	0	1	4	1	0	20	20	20	0	0	1	1	2	0	0					
		2.12%	0.00%	2.13%	3.57%	1.86%	0.00%	4.41%	0.00%	1.78%	1.52%	0.00%	1.97%	1.37%	1.33%	2.50%	0.00%	2.35%	0.00%	3.33%	3.05%	2.63%	0.00%	3.01%	2.50%	3.10%	0.00%	0.00%	1.75%	0.80%	1.72%	0.00%	0.00%					
19	. Малышкин Олег Александрович	76	2	5	1	5	4	4	0	4	3	0	2	7	1	0	0	3	1	1	2	0	0	8	8	7	1	0	0	5	1	0	1					
		1.58%	3.57%	5.32%	1.19%	1.55%	9.09%	5.88%	0.00%	1.42%	2.27%	0.00%	1.32%	2.41%	1.33%	0.00%	0.00%	3.53%	1.69%	3.33%	1.53%	0.00%	0.00%	1.20%	1.00%	1.09%	3.57%	0.00%	0.00%	4.00%	0.86%	0.00%	0.78%					
20	. Миронов Сергей Михайлович	30	0	0	2	2	0	0	0	2	0	0	0	5	1	0	0	0	0	1	0	1	1	3	4	5	2	0	1	0	0	0	0					
		0.62%	0.00%	0.00%	2.38%	0.62%	0.00%	0.00%	0.00%	0.71%	0.00%	0.00%	0.00%	1.72%	1.33%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	2.63%	1.54%	0.45%	0.50%	0.78%	7.14%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	3896	43	72	71	234	35	46	40	236	115	34	136	230	59	35	55	77	48	22	108	34	58	549	636	506	24	30	53	103	95	20	92					
		80.86%	76.79%	76.60%	84.52%	72.45%	79.55%	67.65%	75.47%	83.99%	87.12%	87.18%	89.47%	79.04%	78.67%	87.50%	93.22%	90.59%	81.36%	73.33%	82.44%	89.47%	89.23%	82.56%	79.60%	78.45%	85.71%	96.77%	92.98%	82.40%	81.90%	83.33%	71.32%					
22	. Хакамада Ирина Муцуовна	61	0	1	0	4	0	0	2	0	2	0	2	3	1	0	0	1	1	0	3	0	1	8	10	16	0	0	0	5	0	0	1					
