Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Духовщинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158					
1	"Число избирателей, внесенных в список"	15298	1971	1776	342	457	282	240	245	491	292	220	2729	2568	332	1087	423	216	201	378	401	407	240					
2	Число полученных избирательных бюллетеней	15464	1994	1827	347	474	288	251	261	502	296	221	2721	2504	335	1127	440	221	205	384	409	412	245					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7266	1032	863	149	182	182	95	162	114	112	121	1263	1200	163	478	226	122	127	253	136	175	111					
5	"Число избирательных бюллетеней, выданных вне помещения"	1826	54	76	86	116	62	73	48	232	88	50	29	46	129	143	74	57	41	59	156	126	81					
6	Число погашенных избирательных бюллетеней	6372	908	888	112	176	44	83	51	156	96	50	1429	1258	43	506	140	42	37	72	117	111	53					
7	Число избирательных бюллетеней в переносных ящиках	1826	54	76	86	116	62	73	48	232	88	50	29	46	129	143	74	57	41	59	156	126	81					
8	Число бюллетеней в стационарных ящиках для голосования	7266	1032	863	149	182	182	95	162	114	112	121	1263	1200	163	478	226	122	127	253	136	175	111					
9	Число недействительных избирательных бюллетеней	73	10	2	5	5	3	0	1	4	2	6	13	7	0	8	3	0	2	2	0	0	0					
10	Число действительных избирательных бюллетеней	9019	1076	937	230	293	241	168	209	342	198	165	1279	1239	292	613	297	179	166	310	292	301	192					
11	Число полученных открепительных  удостоверений	374	60	50	10	11	11	10	10	11	10	10	35	35	10	30	10	10	10	11	10	10	10					
12	Число выданных открепительных удостоверений	106	16	7	0	3	0	2	10	0	1	1	6	12	2	24	2	6	6	2	5	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	51	4	5	2	2	2	0	2	3	0	0	8	6	3	1	2	3	3	3	0	0	2					
14	Число неиспользованных открепительных удостоверений	268	44	43	10	8	11	8	0	11	9	9	29	23	8	6	8	4	4	9	5	10	9					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	268	36	33	3	13	4	3	4	6	3	6	60	58	3	10	7	4	0	2	5	4	4					
		2.95%	3.31%	3.51%	1.28%	4.36%	1.64%	1.79%	1.90%	1.73%	1.50%	3.51%	4.64%	4.65%	1.03%	1.61%	2.33%	2.23%	0.00%	0.64%	1.71%	1.33%	2.08%					
19	. Малышкин Олег Александрович	233	34	20	8	11	2	0	9	10	5	6	38	34	4	11	12	3	1	7	3	11	4					
		2.56%	3.13%	2.13%	3.40%	3.69%	0.82%	0.00%	4.29%	2.89%	2.50%	3.51%	2.94%	2.73%	1.37%	1.77%	4.00%	1.68%	0.60%	2.24%	1.03%	3.65%	2.08%					
20	. Миронов Сергей Михайлович	69	14	14	1	2	1	0	3	6	0	0	4	6	2	6	3	0	0	0	5	1	1					
		0.76%	1.29%	1.49%	0.43%	0.67%	0.41%	0.00%	1.43%	1.73%	0.00%	0.00%	0.31%	0.48%	0.68%	0.97%	1.00%	0.00%	0.00%	0.00%	1.71%	0.33%	0.52%					
21	. Путин Владимир Владимирович	5544	597	509	166	215	177	137	137	202	136	113	717	706	209	360	186	136	118	210	157	218	138					
		60.98%	54.97%	54.21%	70.64%	72.15%	72.54%	81.55%	65.24%	58.38%	68.00%	66.08%	55.50%	56.66%	71.58%	57.97%	62.00%	75.98%	70.24%	67.31%	53.77%	72.43%	71.88%					
22	. Хакамада Ирина Муцуовна	196	38	18	0	1	5	2	2	8	4	1	42	34	5	2	7	4	7	2	6	6	2					
		2.16%	3.50%	1.92%	0.00%	0.34%	2.05%	1.19%	0.95%	2.31%	2.00%	0.58%	3.25%	2.73%	1.71%	0.32%	2.33%	2.23%	4.17%	0.64%	2.05%	1.99%	1.04%					
23	. Харитонов Николай Михайлович	2404	311	319	44	48	49	22	51	108	49	38	358	310	63	209	78	26	35	87	109	52	38					
		26.44%	28.64%	33.97%	18.72%	16.11%	20.08%	13.10%	24.29%	31.21%	24.50%	22.22%	27.71%	24.88%	21.58%	33.66%	26.00%	14.53%	20.83%	27.88%	37.33%	17.28%	19.79%					
																												
24	Против всех	305	46	24	8	3	3	4	3	2	1	1	60	91	6	15	4	6	5	2	7	9	5					
		3.35%	4.24%	2.56%	3.40%	1.01%	1.23%	2.38%	1.43%	0.58%	0.50%	0.58%	4.64%	7.30%	2.05%	2.42%	1.33%	3.35%	2.98%	0.64%	2.40%	2.99%	2.60%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
