Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Шатойская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331					
1	"Число избирателей, внесенных в список"	9659	1529	665	309	162	195	133	676	2300	160	571	260	214	126	245	208	252	123	199	1332					
2	Число полученных избирательных бюллетеней	9459	1527	607	309	152	180	125	655	2300	152	544	240	190	126	218	186	244	108	171	1425					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8897	1456	607	309	152	175	125	655	1993	152	526	240	190	126	218	186	225	108	171	1283					
5	"Число избирательных бюллетеней, выданных вне помещения"	312	0	0	0	0	5	0	0	307	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	250	71	0	0	0	0	0	0	0	0	18	0	0	0	0	0	19	0	0	142					
7	Число избирательных бюллетеней в переносных ящиках	312	0	0	0	0	5	0	0	307	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	8897	1456	607	309	152	175	125	655	1993	152	526	240	190	126	218	186	225	108	171	1283					
9	Число недействительных избирательных бюллетеней	125	17	18	10	5	1	3	6	0	4	25	10	2	0	2	8	3	0	7	4					
10	Число действительных избирательных бюллетеней	9084	1439	589	299	147	179	122	649	2300	148	501	230	188	126	216	178	222	108	164	1279					
11	Число полученных открепительных  удостоверений	276	96	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	50					
12	Число выданных открепительных удостоверений	247	87	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	0	4	9	4	11	4	4	0	4	4	4	4	4	6	4	4	4	4	1					
14	Число неиспользованных открепительных удостоверений	29	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	99	30	0	1	0	3	14	9	0	8	1	8	0	0	1	11	4	1	8	0					
		1.08%	2.06%	0.00%	0.32%	0.00%	1.67%	11.20%	1.37%	0.00%	5.26%	0.19%	3.33%	0.00%	0.00%	0.46%	5.91%	1.78%	0.93%	4.68%	0.00%					
19	. Малышкин Олег Александрович	71	25	15	0	0	2	4	4	0	3	1	6	1	0	0	2	6	0	2	0					
		0.77%	1.72%	2.47%	0.00%	0.00%	1.11%	3.20%	0.61%	0.00%	1.97%	0.19%	2.50%	0.53%	0.00%	0.00%	1.08%	2.67%	0.00%	1.17%	0.00%					
20	. Миронов Сергей Михайлович	48	4	17	0	0	2	5	0	0	1	1	3	7	3	2	0	2	0	1	0					
		0.52%	0.27%	2.80%	0.00%	0.00%	1.11%	4.00%	0.00%	0.00%	0.66%	0.19%	1.25%	3.68%	2.38%	0.92%	0.00%	0.89%	0.00%	0.58%	0.00%					
21	. Путин Владимир Владимирович	7918	1225	539	286	109	133	60	485	2300	70	383	157	102	104	200	130	166	91	132	1246					
		85.98%	84.13%	88.80%	92.56%	71.71%	73.89%	48.00%	74.05%	100.00%	46.05%	72.81%	65.42%	53.68%	82.54%	91.74%	69.89%	73.78%	84.26%	77.19%	97.12%					
22	. Хакамада Ирина Муцуовна	497	72	12	5	30	22	26	63	0	39	64	36	25	11	11	13	24	16	14	14					
		5.40%	4.95%	1.98%	1.62%	19.74%	12.22%	20.80%	9.62%	0.00%	25.66%	12.17%	15.00%	13.16%	8.73%	5.05%	6.99%	10.67%	14.81%	8.19%	1.09%					
23	. Харитонов Николай Михайлович	333	51	6	7	8	11	6	76	0	25	43	20	39	7	2	8	11	0	7	6					
		3.62%	3.50%	0.99%	2.27%	5.26%	6.11%	4.80%	11.60%	0.00%	16.45%	8.17%	8.33%	20.53%	5.56%	0.92%	4.30%	4.89%	0.00%	4.09%	0.47%					
																										
24	Против всех	118	32	0	0	0	6	7	12	0	2	8	0	14	1	0	14	9	0	0	13					
		1.28%	2.20%	0.00%	0.00%	0.00%	3.33%	5.60%	1.83%	0.00%	1.32%	1.52%	0.00%	7.37%	0.79%	0.00%	7.53%	4.00%	0.00%	0.00%	1.01%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
