Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Грозненская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96					
1	"Число избирателей, внесенных в список"	63939	2320	2129	1550	2514	740	1283	823	1005	1026	1870	798	1949	1829	2105	2009	2049	1310	2460	959	2650	2031	1286	763	885	850	2168	2006	2079	394	2750	2400	1035	1597	1864	1772	2208	2190	1633	650					
2	Число полученных избирательных бюллетеней	59591	2140	2129	1430	2506	670	1180	730	930	950	1720	734	1800	1690	1940	1850	1890	1210	2270	880	2440	1850	1180	710	820	770	2100	1850	1920	370	2530	2210	960	1460	1700	1630	2030	2190	1572	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	58498	2140	2108	1407	2406	670	1161	727	916	950	1698	709	1753	1649	1894	1827	1890	1200	2270	880	2440	1850	1165	710	781	745	1785	1812	1906	363	2530	2112	960	1449	1685	1615	2017	2190	1478	650					
5	"Число избирательных бюллетеней, выданных вне помещения"	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	11	0	0	0	0	24	0					
6	Число погашенных избирательных бюллетеней	1051	0	21	23	100	0	19	3	14	0	22	25	47	41	46	23	0	10	0	0	0	0	15	0	39	25	315	38	14	0	0	98	0	0	15	15	13	0	70	0					
7	Число избирательных бюллетеней в переносных ящиках	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	11	0	0	0	0	24	0					
8	Число бюллетеней в стационарных ящиках для голосования	58498	2140	2108	1407	2406	670	1161	727	916	950	1698	709	1753	1649	1894	1827	1890	1200	2270	880	2440	1850	1165	710	781	745	1785	1812	1906	363	2530	2112	960	1449	1685	1615	2017	2190	1478	650					
9	Число недействительных избирательных бюллетеней	272	0	0	14	3	0	0	0	11	6	5	22	4	14	5	10	7	5	0	0	12	4	5	0	0	8	35	0	6	3	0	0	0	0	73	5	15	0	0	0					
10	Число действительных избирательных бюллетеней	58268	2140	2108	1393	2403	670	1161	727	905	944	1693	687	1749	1635	1889	1817	1883	1195	2270	880	2428	1846	1160	710	781	737	1750	1812	1900	367	2530	2112	960	1460	1612	1610	2002	2190	1502	650					
11	Число полученных открепительных  удостоверений	550	15	15	14	10	10	15	10	15	10	15	14	16	16	16	16	16	14	15	10	15	15	10	10	10	10	15	16	16	10	18	18	15	18	15	16	16	15	15	15					
12	Число выданных открепительных удостоверений	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	38	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	545	14	15	14	10	10	15	10	15	10	14	14	16	16	16	16	16	14	15	10	15	15	10	10	10	10	14	16	16	9	17	18	15	18	15	16	16	15	15	15					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	61	0	0	0	0	0	9	3	14	0	0	0	1	1	0	0	0	0	0	0	0	0	5	0	0	3	0	14	2	0	0	0	0	0	0	0	9	0	0	0					
