Выборы Президента Российской Федерации																																																																													
																																																																													
Наименование Избирательной комиссии:    Гулькевичская 																																																																													
																																																																													
Итоги голосования 																																																																													
																																																																													
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170					
1	"Число избирателей, внесенных в список"	71054	1107	2168	2045	1980	942	1633	910	1520	2244	763	1550	2303	830	2353	1753	590	945	1338	1097	90	2048	1505	777	569	823	1977	1326	639	1399	1484	331	354	387	706	353	857	805	2042	761	478	226	710	486	683	1569	932	120	883	591	310	211	243	1141	1455	1720	141	1100	2265	1304	383	882	223	1821	240	410	511	306	865	1331	210					
2	Число полученных избирательных бюллетеней	67843	1000	2000	2000	1800	900	1600	900	1500	2200	680	1500	2000	800	2100	1600	550	900	1300	1100	90	2000	1300	700	550	800	1800	1300	600	1400	1400	350	355	390	700	370	850	750	2000	700	475	226	650	466	670	1500	900	118	800	580	300	200	240	1000	1400	1700	138	1100	2200	1300	365	850	213	1800	253	400	500	305	850	1300	209					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	47115	711	1190	1302	1350	572	870	537	828	1298	516	886	1364	507	1328	1049	405	671	837	587	76	1123	799	627	387	642	1487	1046	483	848	946	258	256	256	537	258	634	648	1279	492	362	190	453	370	507	1257	692	114	721	463	278	198	161	909	1074	1258	105	606	1265	878	307	769	198	1084	190	292	363	254	660	1062	185					
5	"Число избирательных бюллетеней, выданных вне помещения"	2944	22	39	109	78	64	153	28	74	158	10	77	29	37	90	94	20	29	68	202	10	151	87	0	12	18	22	19	30	64	15	2	2	8	6	13	5	20	81	16	5	4	40	0	60	21	30	4	49	21	5	0	12	11	11	21	23	98	133	85	25	37	9	96	15	57	11	12	87	0	0					
6	Число погашенных избирательных бюллетеней	17784	267	771	589	372	264	577	335	598	744	154	537	607	256	682	457	125	200	395	311	4	726	414	73	151	140	291	235	87	488	439	90	97	126	157	99	211	82	640	192	108	32	157	96	103	222	178	0	30	96	17	2	67	80	315	421	10	396	802	337	33	44	6	620	48	51	126	39	103	238	24					
7	Число избирательных бюллетеней в переносных ящиках	2944	22	39	109	78	64	153	28	74	158	10	77	29	37	90	94	20	29	68	202	10	151	87	0	12	18	22	19	30	64	15	2	2	8	6	13	5	20	81	16	5	4	40	0	60	21	30	4	49	21	5	0	12	11	11	21	23	98	133	85	25	37	9	96	15	57	11	12	87	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	47114	711	1190	1302	1350	572	870	537	828	1298	516	886	1364	507	1328	1049	405	671	837	587	76	1123	799	627	387	642	1487	1046	483	848	945	258	256	256	537	258	634	648	1279	492	362	190	453	370	507	1257	692	114	721	463	278	198	161	909	1074	1258	105	606	1265	878	307	769	198	1084	190	292	363	254	660	1062	185					
9	Число недействительных избирательных бюллетеней	346	4	5	2	11	4	2	2	10	5	2	3	10	2	4	8	1	5	9	3	0	14	17	2	0	7	5	3	3	10	16	0	0	2	5	0	3	6	5	3	2	0	2	3	2	2	21	0	4	3	3	2	2	4	8	17	2	9	10	14	0	6	1	8	1	5	4	0	4	13	1					
10	Число действительных избирательных бюллетеней	49712	729	1224	1409	1417	632	1021	563	892	1451	524	960	1383	542	1414	1135	424	695	896	786	86	1260	869	625	399	653	1504	1062	510	902	944	260	258	262	538	271	636	662	1355	505	365	194	491	367	565	1276	701	118	766	481	280	196	171	916	1077	1262	126	695	1388	949	332	800	206	1172	204	344	370	266	743	1049	184					
