Выборы Президента Российской Федерации																																																																																
Дата голосования: 18.03.2018																																																																																
																																																																																
Наименование Избирательной комиссии:    Гулькевичская																																																																																
																																																																																
Сводная таблица итогов голосования																																																																																
																																																																																
	Число участковых избирательных комиссий	70																																																																														
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	69																																																																														
																																																																																
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170									
7	Число избирательных бюллетеней в переносных ящиках для голосования	5138	118	54	270	120	160	120	71	150	188	94	111	44	56	152	88	83	86	160	139	12	149	146	78	22	25	77	50	21	95	108	18	15	25	43	67	105	89	103	33	23	10	32	36	49	76	50	20	89	72	19	12	18	83	62	107	18	105	172	57	47	18	165	20	36	43	32	81	35	6									
8	Число бюллетеней в стационарных ящиках для голосования	52124	648	1806	1480	1797	775	1603	802	906	996	669	878	1316	517	1645	1712	500	687	1229	1041	126	919	963	556	320	934	1067	1200	693	933	1142	272	272	311	554	321	599	488	1381	586	376	159	585	348	574	1312	1009	88	732	527	223	125	209	564	1273	1462	80	725	1066	306	675	195	1637	225	370	431	265	673	1132	134									
9	Число недействительных избирательных бюллетеней	424	14	18	13	30	9	8	13	0	17	7	0	16	8	22	4	4	5	0	0	0	18	17	12	4	2	17	0	1	2	7	0	0	0	10	2	10	10	17	10	0	0	5	5	4	5	2	1	1	0	1	1	1	13	3	3	0	8	15	0	6	2	5	1	2	1	1	3	7	1									
10	Число действительных избирательных бюллетеней	56838	752	1842	1737	1887	926	1715	860	1056	1167	756	989	1344	565	1775	1796	579	768	1389	1180	138	1050	1092	622	338	957	1127	1250	713	1026	1243	290	287	336	587	386	694	567	1467	609	399	169	612	379	619	1383	1057	107	820	599	241	136	226	634	1332	1566	98	822	1223	363	716	211	1797	244	404	473	296	751	1160	139									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																
13	Бабурин Сергей Николаевич	214	2	7	3	9	2	4	5	2	2	9	2	15	6	19	4	4	11	1	1	2	6	12	6	2	2	7	3	0	5	2	2	0	1	1	1	2	2	11	2	0	0	1	3	1	1	2	0	2	2	1	0	1	2	1	1	1	4	0	1	2	0	2	1	1	2	1	1	2	1									
		0.37%	0.26%	0.38%	0.17%	0.47%	0.21%	0.23%	0.57%	0.19%	0.17%	1.18%	0.20%	1.10%	1.05%	1.06%	0.22%	0.69%	1.42%	0.07%	0.08%	1.45%	0.56%	1.08%	0.95%	0.58%	0.21%	0.61%	0.24%	0.00%	0.49%	0.16%	0.69%	0.00%	0.30%	0.17%	0.26%	0.28%	0.35%	0.74%	0.32%	0.00%	0.00%	0.16%	0.78%	0.16%	0.07%	0.19%	0.00%	0.24%	0.33%	0.41%	0.00%	0.44%	0.31%	0.07%	0.06%	1.02%	0.48%	0.00%	0.28%	0.28%	0.00%	0.11%	0.41%	0.25%	0.42%	0.34%	0.13%	0.17%	0.71%									
14	Грудинин Павел Николаевич	5074	31	146	147	233	61	107	121	96	134	134	35	255	101	258	118	49	102	108	110	34	192	164	98	69	40	150	38	32	93	33	17	14	24	38	37	171	57	243	55	41	18	66	24	6	22	16	1	96	46	5	0	8	131	102	52	5	39	121	7	37	15	112	12	27	24	10	32	47	7									
