Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Морозовская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1243	УИК №2539	УИК №2540					
1	"Число избирателей, внесенных в список"	34537	1384	1650	1580	1206	1643	1478	1570	1584	2074	1495	1584	1584	1668	772	490	549	420	75	989	298	190	414	249	424	303	296	611	111	66	86	518	513	669	327	444	690	243	354	942	426	456	1823	86	203					
2	Число полученных избирательных бюллетеней	34203	1387	1663	1550	1198	1570	1451	1570	1560	1927	1497	1550	1621	1600	762	495	550	420	75	990	300	183	411	249	423	301	289	632	104	64	87	516	518	672	328	442	710	246	359	960	424	450	1816	83	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	24556	703	1222	825	794	957	886	1312	1126	1431	850	1331	1038	1013	596	454	404	383	72	580	270	135	364	242	316	243	228	487	104	52	80	435	461	526	266	398	477	183	330	788	336	441	1179	81	157					
5	"Число избирательных бюллетеней, выданных вне помещения"	3058	321	68	174	42	63	82	49	123	281	97	50	3	151	119	0	94	7	0	289	0	43	29	0	46	48	45	66	0	12	1	52	33	109	47	18	115	44	0	115	74	0	108	0	40					
6	Число погашенных избирательных бюллетеней	6589	363	373	551	362	550	483	209	311	215	550	169	580	436	47	41	52	30	3	121	30	5	18	7	61	10	16	79	0	0	6	29	24	37	15	26	118	19	29	57	14	9	529	2	3					
7	Число избирательных бюллетеней в переносных ящиках	3058	321	68	174	42	63	82	49	123	281	97	50	3	151	119	0	94	7	0	289	0	43	29	0	46	48	45	66	0	12	1	52	33	109	47	18	115	44	0	115	74	0	108	0	40					
8	Число бюллетеней в стационарных ящиках для голосования	24553	703	1222	825	794	955	886	1312	1125	1431	850	1331	1038	1013	596	454	404	383	72	580	270	135	364	242	316	243	228	487	104	52	80	435	461	526	266	398	477	183	330	788	336	441	1179	81	157					
9	Число недействительных избирательных бюллетеней	160	5	4	14	10	7	3	8	10	0	7	5	7	0	4	2	4	4	0	3	1	0	1	0	0	3	0	4	0	1	0	0	0	8	1	7	8	9	1	6	5	0	7	0	1					
10	Число действительных избирательных бюллетеней	27451	1019	1286	985	826	1011	965	1353	1238	1712	940	1376	1034	1164	711	452	494	386	72	866	269	178	392	242	362	288	273	549	104	63	81	487	494	627	312	409	584	218	329	897	405	441	1280	81	196					
