Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Головинский район																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335					
		10.38%	8.33%	9.45%	11.47%	11.94%	9.18%	10.32%	12.64%	9.56%	13.49%	12.01%	11.67%	10.42%	10.42%	9.48%	8.46%	10.92%	9.61%	10.89%	10.68%	10.82%	10.02%	7.81%	11.32%	9.40%	8.49%	8.74%					
22	"5. ""За Русь Святую"""	166	6	6	9	9	3	7	10	12	8	5	4	7	3	5	8	6	8	5	6	4	2	10	3	8	4	8					
		0.43%	0.47%	0.45%	0.53%	0.56%	0.20%	0.44%	0.56%	0.72%	0.49%	0.30%	0.24%	0.52%	0.20%	0.40%	0.55%	0.38%	0.55%	0.35%	0.43%	0.27%	0.14%	0.69%	0.21%	0.60%	0.31%	0.56%					
23	"6. ""Объединенная Российская партия ""Русь"""	81	1	3	3	4	1	9	6	2	1	1	4	7	2	4	5	3	2	3	3	1	2	3	3	3	1	4					
		0.21%	0.07%	0.22%	0.17%	0.24%	0.06%	0.57%	0.33%	0.12%	0.06%	0.06%	0.24%	0.52%	0.13%	0.32%	0.34%	0.19%	0.13%	0.21%	0.21%	0.06%	0.14%	0.20%	0.21%	0.22%	0.07%	0.28%					
24	"7. ""Новый курс - Автомобильная Россия"""	629	9	24	39	19	32	33	26	27	25	21	37	27	13	21	23	17	24	18	25	28	28	22	29	15	21	26					
		1.64%	0.71%	1.83%	2.30%	1.18%	2.14%	2.09%	1.46%	1.62%	1.54%	1.27%	2.26%	2.03%	0.89%	1.70%	1.60%	1.07%	1.67%	1.28%	1.79%	1.93%	2.08%	1.53%	2.05%	1.13%	1.65%	1.83%					
25	"8. ""Народно-республиканская партия России"""	23	1	1	0	0	0	2	1	1	0	0	0	0	2	4	2	1	0	0	3	1	0	1	1	0	2	0					
		0.06%	0.07%	0.07%	0.0%	0.0%	0.0%	0.12%	0.05%	0.06%	0.0%	0.0%	0.0%	0.0%	0.13%	0.32%	0.13%	0.06%	0.0%	0.0%	0.21%	0.06%	0.0%	0.06%	0.07%	0.0%	0.15%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	290	7	9	19	10	18	19	11	10	11	11	14	10	9	4	4	14	14	15	12	13	10	16	6	9	7	8					
		0.75%	0.55%	0.68%	1.12%	0.62%	1.20%	1.20%	0.62%	0.60%	0.68%	0.66%	0.85%	0.75%	0.62%	0.32%	0.27%	0.88%	0.97%	1.06%	0.86%	0.89%	0.74%	1.11%	0.42%	0.68%	0.55%	0.56%					
27	"10. ""Аграрная партия России"""	675	14	34	42	21	26	34	21	32	26	26	35	23	22	16	20	29	26	20	19	23	23	28	27	46	21	21					
		1.76%	1.11%	2.59%	2.48%	1.30%	1.74%	2.15%	1.18%	1.92%	1.60%	1.57%	2.13%	1.73%	1.51%	1.29%	1.39%	1.84%	1.81%	1.42%	1.36%	1.58%	1.70%	1.95%	1.91%	3.48%	1.65%	1.48%					
28	"11. ""Истинные патриоты России"""	37	0	7	1	2	1	4	2	0	1	0	1	1	1	1	3	0	1	2	0	1	1	4	0	0	2	1					
		0.09%	0.0%	0.53%	0.05%	0.12%	0.06%	0.25%	0.11%	0.0%	0.06%	0.0%	0.06%	0.07%	0.06%	0.08%	0.20%	0.0%	0.06%	0.14%	0.0%	0.06%	0.07%	0.27%	0.0%	0.0%	0.15%	0.07%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	432	20	15	15	22	15	19	20	16	18	15	21	15	19	17	21	17	13	14	9	14	20	11	25	10	12	19					
		1.13%	1.58%	1.14%	0.88%	1.36%	1.00%	1.20%	1.12%	0.96%	1.11%	0.91%	1.28%	1.13%	1.31%	1.37%	1.46%	1.07%	0.90%	0.99%	0.64%	0.96%	1.48%	0.76%	1.76%	0.75%	0.94%	1.33%					
30	"13. ""Демократическая партия России"""	65	2	3	6	2	1	2	2	3	0	2	2	1	4	1	4	1	4	1	5	1	4	1	2	6	3	2					
		0.17%	0.15%	0.22%	0.35%	0.12%	0.06%	0.12%	0.11%	0.18%	0.0%	0.12%	0.12%	0.07%	0.27%	0.08%	0.27%	0.06%	0.27%	0.07%	0.35%	0.06%	0.29%	0.06%	0.14%	0.45%	0.23%	0.14%					
31	"14. ""Великая Россия - Евразийский Союз"""	53	0	0	0	5	1	0	3	0	3	3	5	1	0	3	3	1	1	2	0	5	3	2	1	4	1	6					
		0.13%	0.0%	0.0%	0.0%	0.31%	0.06%	0.0%	0.16%	0.0%	0.18%	0.18%	0.30%	0.07%	0.0%	0.24%	0.20%	0.06%	0.06%	0.14%	0.0%	0.34%	0.22%	0.13%	0.07%	0.30%	0.07%	0.42%					
32	"15. ""Партия СЛОН"""	53	3	1	3	1	1	1	0	3	0	5	2	2	1	1	1	2	4	5	1	1	1	3	7	1	0	3					
		0.13%	0.23%	0.07%	0.17%	0.06%	0.06%	0.06%	0.0%	0.18%	0.0%	0.30%	0.12%	0.15%	0.06%	0.08%	0.06%	0.12%	0.27%	0.35%	0.07%	0.06%	0.07%	0.20%	0.49%	0.07%	0.0%	0.21%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6058	178	186	245	314	248	256	281	254	249	312	302	235	230	193	193	264	235	214	267	207	203	226	176	217	218	155					
		15.87%	14.12%	14.18%	14.48%	19.53%	16.62%	16.22%	15.85%	15.27%	15.40%	18.93%	18.45%	17.74%	15.87%	15.64%	13.49%	16.76%	16.37%	15.24%	19.13%	14.27%	15.08%	15.77%	12.45%	16.45%	17.15%	10.93%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	26	0	1	0	0	0	3	4	1	2	0	0	3	2	1	0	0	0	1	1	0	2	0	1	2	0	2					
		0.06%	0.0%	0.07%	0.0%	0.0%	0.0%	0.19%	0.22%	0.06%	0.12%	0.0%	0.0%	0.22%	0.13%	0.08%	0.0%	0.0%	0.0%	0.07%	0.07%	0.0%	0.14%	0.0%	0.07%	0.15%	0.0%	0.14%					
35	"18. ""ЛДПР"""	2348	100	106	107	89	95	85	89	87	85	94	67	89	81	69	67	79	103	99	91	105	89	91	95	94	80	112					
		6.15%	7.93%	8.08%	6.32%	5.53%	6.36%	5.38%	5.02%	5.23%	5.25%	5.70%	4.09%	6.72%	5.59%	5.59%	4.68%	5.01%	7.17%	7.05%	6.52%	7.24%	6.61%	6.35%	6.72%	7.12%	6.29%	7.89%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	340	15	12	17	6	16	15	12	20	22	20	4	9	10	11	8	12	11	9	17	13	15	9	20	8	18	11					
		0.89%	1.19%	0.91%	1.00%	0.37%	1.07%	0.95%	0.67%	1.20%	1.36%	1.21%	0.24%	0.67%	0.69%	0.89%	0.55%	0.76%	0.76%	0.64%	1.21%	0.89%	1.11%	0.62%	1.41%	0.60%	1.41%	0.77%					
37	"20. ""Политическая партия ""Единая Россия"""	12584	470	469	541	435	518	491	521	554	484	446	513	421	468	454	577	538	501	489	461	429	429	507	442	443	445	538					
		32.96%	37.30%	35.77%	31.99%	27.06%	34.71%	31.11%	29.40%	33.31%	29.95%	27.06%	31.35%	31.79%	32.29%	36.79%	40.34%	34.15%	34.91%	34.82%	33.04%	29.58%	31.87%	35.38%	31.28%	33.58%	35.01%	37.94%					
38	"21. ""Российская Конституционно-демократическая партия"""	53	6	1	2	1	0	2	0	1	2	5	0	3	5	1	3	0	1	3	5	1	4	2	1	2	0	2					
		0.13%	0.47%	0.07%	0.11%	0.06%	0.0%	0.12%	0.0%	0.06%	0.12%	0.30%	0.0%	0.22%	0.34%	0.08%	0.20%	0.0%	0.06%	0.21%	0.35%	0.06%	0.29%	0.13%	0.07%	0.15%	0.0%	0.14%					
39	"22. ""Развитие предпринимательства"""	90	0	0	5	4	0	6	4	4	7	2	5	0	2	3	4	3	4	12	5	3	1	4	2	3	3	4					
		0.23%	0.0%	0.0%	0.29%	0.24%	0.0%	0.38%	0.22%	0.24%	0.43%	0.12%	0.30%	0.0%	0.13%	0.24%	0.27%	0.19%	0.27%	0.85%	0.35%	0.20%	0.07%	0.27%	0.14%	0.22%	0.23%	0.28%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	3248	80	76	124	159	136	144	210	154	158	133	142	88	140	80	135	137	112	104	111	159	100	110	117	94	108	137					
		8.50%	6.34%	5.79%	7.33%	9.89%	9.11%	9.12%	11.85%	9.26%	9.77%	8.07%	8.67%	6.64%	9.66%	6.48%	9.44%	8.69%	7.80%	7.40%	7.95%	10.96%	7.42%	7.67%	8.28%	7.12%	8.49%	9.66%					
																																	
41	Против всех	2342	111	100	104	78	82	82	92	119	80	112	81	90	108	83	76	79	84	80	81	95	87	83	109	84	88	74					
		6.13%	8.80%	7.62%	6.15%	4.85%	5.49%	5.19%	5.19%	7.15%	4.95%	6.79%	4.95%	6.79%	7.45%	6.72%	5.31%	5.01%	5.85%	5.69%	5.80%	6.55%	6.46%	5.79%	7.71%	6.36%	6.92%	5.21%					
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
