Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Межевская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417					
1	"Число избирателей, внесенных в список"	4533	126	2298	99	168	533	50	240	68	268	260	90	146	187					
2	Число полученных избирательных бюллетеней	4539	123	2296	97	170	539	51	246	68	257	264	93	148	187					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2455	87	1043	47	117	317	35	159	57	166	176	54	83	114					
5	"Число избирательных бюллетеней, выданных вне помещения"	389	6	191	5	4	61	3	18	0	38	24	11	17	11					
6	Число погашенных избирательных бюллетеней	1695	30	1062	45	49	161	13	69	11	53	64	28	48	62					
7	Число избирательных бюллетеней в переносных ящиках	389	6	191	5	4	61	3	18	0	38	24	11	17	11					
8	Число бюллетеней в стационарных ящиках для голосования	2455	87	1043	47	117	317	35	159	57	166	176	54	83	114					
9	Число недействительных избирательных бюллетеней	15	0	9	0	0	1	0	1	0	1	0	0	1	2					
10	Число действительных избирательных бюллетеней	2829	93	1225	52	121	377	38	176	57	203	200	65	99	123					
11	Число полученных открепительных  удостоверений	60	2	23	2	2	7	1	5	2	3	5	2	3	3					
12	Число выданных открепительных удостоверений	27	2	10	0	0	3	0	5	0	0	5	0	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	1	5	0	0	1	2	0	1	0	3	0	0	1					
14	Число неиспользованных открепительных удостоверений	33	0	13	2	2	4	1	0	2	3	0	2	1	3					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	2	0	1	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	80	2	43	1	2	15	0	3	0	2	4	2	1	5					
		2.81%	2.15%	3.48%	1.92%	1.65%	3.97%	0.00%	1.69%	0.00%	0.98%	2.00%	3.08%	1.00%	4.00%					
19	. Малышкин Олег Александрович	68	0	32	0	10	6	1	4	1	5	2	5	0	2					
		2.39%	0.00%	2.59%	0.00%	8.26%	1.59%	2.63%	2.26%	1.75%	2.45%	1.00%	7.69%	0.00%	1.60%					
20	. Миронов Сергей Михайлович	26	1	13	1	1	5	0	0	0	1	1	1	1	1					
		0.91%	1.08%	1.05%	1.92%	0.83%	1.32%	0.00%	0.00%	0.00%	0.49%	0.50%	1.54%	1.00%	0.80%					
21	. Путин Владимир Владимирович	1843	75	720	44	90	286	34	94	37	108	146	34	78	97					
		64.80%	80.65%	58.35%	84.62%	74.38%	75.66%	89.47%	53.11%	64.91%	52.94%	73.00%	52.31%	78.00%	77.60%					
22	. Хакамада Ирина Муцуовна	44	1	22	0	5	1	0	3	1	3	6	0	1	1					
		1.55%	1.08%	1.78%	0.00%	4.13%	0.26%	0.00%	1.69%	1.75%	1.47%	3.00%	0.00%	1.00%	0.80%					
23	. Харитонов Николай Михайлович	725	13	374	6	9	62	3	72	18	77	39	22	14	16					
		25.49%	13.98%	30.31%	11.54%	7.44%	16.40%	7.89%	40.68%	31.58%	37.75%	19.50%	33.85%	14.00%	12.80%					
																				
24	Против всех	43	1	21	0	4	2	0	0	0	7	2	1	4	1					
		1.51%	1.08%	1.70%	0.00%	3.31%	0.53%	0.00%	0.00%	0.00%	3.43%	1.00%	1.54%	4.00%	0.80%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
