Выборы Президента Российской Федерации																																				
																																				
Наименование Избирательной комиссии:    Ютазинская																																				
																																				
Итоги голосования 																																				
																																				
		Сумма	УИК  2897	УИК  2898	УИК  2899	УИК  2900	УИК  2901	УИК  2902	УИК  2903	УИК  2904	УИК  2905	УИК  2906	УИК  2907	УИК  2908	УИК  2909	УИК  2910	УИК  2911	УИК  2912	УИК  2913	УИК  2914	УИК  2915	УИК  2916	УИК  2917	УИК  2918	УИК  2919	УИК  2920	УИК  2921	УИК  2922	УИК  2923	УИК  2924	УИК  2925					
1	"Число избирателей, внесенных в список"	17212	761	716	837	639	583	821	756	634	691	515	803	834	666	373	429	1118	392	391	807	250	527	336	547	588	144	570	1122	259	103					
2	Число полученных избирательных бюллетеней	17213	757	724	810	629	564	806	747	631	677	517	794	868	674	380	431	1130	395	387	798	259	530	340	545	600	145	578	1133	261	103					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15888	638	585	752	620	547	698	647	541	641	469	721	764	638	359	422	1080	392	348	766	239	524	336	468	556	144	560	1071	259	103					
5	"Число избирательных бюллетеней, выданных вне помещения"	588	54	34	25	0	12	34	32	50	24	27	35	45	13	12	3	32	0	23	27	10	0	0	60	9	0	8	19	0	0					
6	Число погашенных избирательных бюллетеней	737	65	105	33	9	5	74	68	40	12	21	38	59	23	9	6	18	3	16	5	10	6	4	17	35	1	10	43	2	0					
7	Число избирательных бюллетеней в переносных ящиках	588	54	34	25	0	12	34	32	50	24	27	35	45	13	12	3	32	0	23	27	10	0	0	60	9	0	8	19	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	15885	638	585	752	620	546	698	645	541	641	469	721	764	638	359	422	1080	392	348	766	239	524	336	468	556	144	560	1071	259	103					
9	Число недействительных избирательных бюллетеней	89	4	5	3	0	0	17	6	22	3	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0					
10	Число действительных избирательных бюллетеней	16384	688	614	774	620	558	715	671	569	662	496	756	809	636	371	425	1112	392	371	793	249	524	336	528	565	144	568	1076	259	103					
11	Число полученных открепительных  удостоверений	492	24	22	35	22	22	22	29	25	20	20	20	20	10	10	10	20	10	20	15	15	10	10	10	10	8	18	17	10	8					
12	Число выданных открепительных удостоверений	161	3	10	13	9	5	6	6	9	4	4	11	9	5	4	0	5	1	17	1	11	1	3	2	7	0	5	10	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	84	3	2	0	4	7	3	2	1	4	1	5	2	0	2	2	10	0	3	8	2	0	0	2	4	0	5	6	3	3					
14	Число неиспользованных открепительных удостоверений	331	21	12	22	13	17	16	23	16	16	16	9	11	5	6	10	15	9	3	14	4	9	7	8	3	8	13	7	10	8					
15	"Число открепительных удостоверений, выданных в ТИК"	8	0	1	1	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																				
18	. Глазьев Сергей Юрьевич	191	11	32	12	7	15	26	24	7	5	0	11	2	0	1	10	0	0	0	3	0	2	0	16	0	0	0	5	0	2					
		1.16%	1.59%	5.17%	1.54%	1.13%	2.69%	3.55%	3.55%	1.18%	0.75%	0.00%	1.46%	0.25%	0.00%	0.27%	2.35%	0.00%	0.00%	0.00%	0.38%	0.00%	0.38%	0.00%	3.03%	0.00%	0.00%	0.00%	0.46%	0.00%	1.94%					
19	. Малышкин Олег Александрович	123	14	11	9	8	0	11	14	3	4	6	13	12	0	0	0	0	0	0	0	0	0	5	12	0	1	0	0	0	0					
		0.75%	2.02%	1.78%	1.16%	1.29%	0.00%	1.50%	2.07%	0.51%	0.60%	1.21%	1.72%	1.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.49%	2.27%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	90	3	5	10	1	0	8	9	4	4	0	15	5	17	0	0	0	0	0	0	0	0	5	3	1	0	0	0	0	0					
		0.55%	0.43%	0.81%	1.29%	0.16%	0.00%	1.09%	1.33%	0.68%	0.60%	0.00%	1.98%	0.62%	2.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.49%	0.57%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	15055	615	431	664	595	526	537	483	540	624	476	680	785	585	369	384	1101	388	366	777	246	517	326	393	520	143	562	1064	257	101					
		91.39%	88.87%	69.63%	85.46%	95.97%	94.27%	73.36%	71.34%	91.37%	93.83%	95.97%	89.95%	97.03%	89.86%	99.46%	90.35%	99.01%	98.98%	98.65%	97.98%	98.80%	98.66%	97.02%	74.43%	92.04%	99.31%	98.94%	97.61%	99.23%	98.06%					
22	. Хакамада Ирина Муцуовна	147	7	21	15	3	0	15	23	4	3	4	12	2	6	0	0	0	1	0	0	0	0	0	10	9	0	6	6	0	0					
		0.89%	1.01%	3.39%	1.93%	0.48%	0.00%	2.05%	3.40%	0.68%	0.45%	0.81%	1.59%	0.25%	0.92%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	1.89%	1.59%	0.00%	1.06%	0.55%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	605	26	93	28	6	15	86	99	6	20	4	16	3	28	1	31	11	3	5	8	3	5	0	83	24	0	0	1	0	0					
		3.67%	3.76%	15.02%	3.60%	0.97%	2.69%	11.75%	14.62%	1.02%	3.01%	0.81%	2.12%	0.37%	4.30%	0.27%	7.29%	0.99%	0.77%	1.35%	1.01%	1.20%	0.95%	0.00%	15.72%	4.25%	0.00%	0.00%	0.09%	0.00%	0.00%					
																																				
24	Против всех	173	12	21	36	0	2	32	19	5	2	6	9	0	0	0	0	0	0	0	5	0	0	0	11	11	0	0	0	2	0					
		1.05%	1.73%	3.39%	4.63%	0.00%	0.36%	4.37%	2.81%	0.85%	0.30%	1.21%	1.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.00%	2.08%	1.95%	0.00%	0.00%	0.00%	0.77%	0.00%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
