Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Судогодская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594					
1	"Число избирателей, внесенных в список"	33477	1784	1683	1698	2285	1843	1665	584	1095	1906	516	1644	810	659	1123	177	855	262	1126	1160	340	450	461	277	100	965	618	296	254	1057	443	1411	1172	126	194	464	193	651	358	772					
2	Число полученных избирательных бюллетеней	30270	1620	1500	1530	2050	1700	1500	510	980	1700	470	1470	750	590	1020	160	770	240	1020	1060	310	400	400	250	100	870	560	270	230	960	400	1300	1060	110	180	420	180	590	330	710					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15833	762	784	739	1063	824	632	299	527	974	256	814	390	364	670	103	383	101	508	524	103	225	297	162	74	514	274	164	100	583	231	611	523	68	100	200	66	301	168	352					
5	"Число избирательных бюллетеней, выданных вне помещения"	1458	28	39	98	37	4	8	15	21	22	14	29	31	38	30	9	59	57	61	71	90	28	12	6	0	13	47	4	66	7	29	46	94	17	12	78	74	43	32	89					
6	Число погашенных избирательных бюллетеней	12979	830	677	693	950	872	860	196	432	704	200	627	329	188	320	48	328	82	451	465	117	147	91	82	26	343	239	102	64	370	140	643	443	25	68	142	40	246	130	269					
7	Число избирательных бюллетеней в переносных ящиках	1458	28	39	98	37	4	8	15	21	22	14	29	31	38	30	9	59	57	61	71	90	28	12	6	0	13	47	4	66	7	29	46	94	17	12	78	74	43	32	89					
8	Число бюллетеней в стационарных ящиках для голосования	15828	762	784	738	1063	824	632	299	527	974	256	814	390	364	669	103	383	101	508	524	103	225	297	162	74	514	274	164	100	582	229	611	523	68	100	200	66	301	168	352					
9	Число недействительных избирательных бюллетеней	136	5	5	10	10	3	5	4	3	4	1	6	5	4	2	1	2	2	7	8	2	4	1	4	0	6	0	0	1	4	4	6	2	0	3	4	2	1	4	1					
10	Число действительных избирательных бюллетеней	17150	785	818	826	1090	825	635	310	545	992	269	837	416	398	697	111	440	156	562	587	191	249	308	164	74	521	321	168	165	585	254	651	615	85	109	274	138	343	196	440					
11	Число полученных открепительных  удостоверений	415	20	20	20	20	20	20	15	15	15	15	5	5	10	10	5	10	5	10	10	5	10	10	5	5	10	10	5	5	10	5	15	15	5	5	10	5	10	10	10					
12	Число выданных открепительных удостоверений	94	7	5	3	6	11	3	1	0	0	0	2	2	0	6	1	1	2	3	3	1	0	2	0	1	5	1	0	0	2	1	4	5	0	0	2	2	1	3	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	128	7	4	5	3	9	0	5	3	3	2	1	2	5	2	4	5	3	5	5	3	5	3	1	0	5	3	0	1	3	3	2	2	5	4	0	0	3	7	5					
14	Число неиспользованных открепительных удостоверений	321	13	15	17	14	9	17	14	15	15	15	3	3	10	4	4	9	3	7	7	4	10	8	5	4	5	9	5	5	8	4	11	10	5	5	8	3	9	7	2					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	481	22	22	24	48	39	16	8	17	16	3	11	15	5	39	2	6	2	13	24	2	3	8	3	1	16	15	1	1	11	3	16	16	3	0	13	1	7	8	21					
		2.78%	2.78%	2.67%	2.87%	4.36%	4.71%	2.50%	2.55%	3.10%	1.61%	1.11%	1.30%	3.56%	1.24%	5.58%	1.79%	1.36%	1.27%	2.28%	4.03%	1.04%	1.19%	2.59%	1.79%	1.35%	3.04%	4.67%	0.60%	0.60%	1.87%	1.16%	2.44%	2.59%	3.53%	0.00%	4.68%	0.71%	2.03%	4.00%	4.76%					
19	. Малышкин Олег Александрович	606	28	30	33	40	25	30	11	24	48	14	17	22	15	17	8	18	5	16	23	15	6	8	6	0	16	9	3	5	23	10	21	16	1	3	2	5	8	8	17					
		3.51%	3.54%	3.65%	3.95%	3.64%	3.02%	4.69%	3.50%	4.38%	4.82%	5.19%	2.02%	5.23%	3.73%	2.43%	7.14%	4.07%	3.16%	2.81%	3.87%	7.77%	2.37%	2.59%	3.57%	0.00%	3.04%	2.80%	1.79%	3.01%	3.90%	3.88%	3.20%	2.59%	1.18%	2.68%	0.72%	3.57%	2.33%	4.00%	3.85%					
20	. Миронов Сергей Михайлович	156	5	9	8	11	4	4	5	7	3	3	14	3	3	6	0	4	0	10	7	0	3	2	4	0	11	3	0	2	4	0	7	5	1	0	2	0	2	0	4					
		0.90%	0.63%	1.09%	0.96%	1.00%	0.48%	0.62%	1.59%	1.28%	0.30%	1.11%	1.66%	0.71%	0.75%	0.86%	0.00%	0.90%	0.00%	1.76%	1.18%	0.00%	1.19%	0.65%	2.38%	0.00%	2.09%	0.93%	0.00%	1.20%	0.68%	0.00%	1.07%	0.81%	1.18%	0.00%	0.72%	0.00%	0.58%	0.00%	0.91%					
21	. Путин Владимир Владимирович	11423	489	512	509	613	495	409	201	319	660	203	520	234	328	465	82	295	115	422	426	147	204	254	120	53	320	217	132	112	421	210	383	390	63	73	199	92	270	146	320					
		66.08%	61.90%	62.21%	60.89%	55.73%	59.78%	63.91%	64.01%	58.21%	66.27%	75.19%	61.68%	55.58%	81.59%	66.52%	73.21%	66.74%	72.78%	74.17%	71.60%	76.17%	80.63%	82.20%	71.43%	71.62%	60.72%	67.60%	78.57%	67.47%	71.48%	81.40%	58.30%	63.21%	74.12%	65.18%	71.58%	65.71%	78.49%	73.00%	72.56%					
22	. Хакамада Ирина Муцуовна	306	30	20	17	25	17	8	5	5	14	1	6	2	5	35	3	6	3	9	5	0	9	2	5	3	5	6	1	2	7	0	14	10	0	1	2	2	6	9	6					
