Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Мценская городская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176					
1	"Число избирателей, внесенных в список"	38269	2314	2381	2410	1785	2247	1296	1509	1255	984	1293	1301	2660	2886	2497	2915	2191	2422	1154	2527	242					
2	Число полученных избирательных бюллетеней	36696	2200	2200	2200	1700	2200	1200	1400	1200	950	1300	1300	2500	2800	2400	2800	2200	2400	1100	2400	246					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22695	1343	1404	1407	1021	1339	763	841	683	498	734	759	1598	1663	1611	1844	1443	1536	415	1556	237					
5	"Число избирательных бюллетеней, выданных вне помещения"	2109	139	146	168	124	132	98	194	95	81	66	55	114	80	102	90	68	46	225	86	0					
6	Число погашенных избирательных бюллетеней	11892	718	650	625	555	729	339	365	422	371	500	486	788	1057	687	866	689	818	460	758	9					
7	Число избирательных бюллетеней в переносных ящиках	2109	139	146	168	124	132	98	194	95	81	66	55	114	80	102	90	68	46	225	86	0					
8	Число бюллетеней в стационарных ящиках для голосования	22687	1343	1404	1407	1021	1338	763	841	683	498	734	758	1598	1663	1611	1839	1443	1535	415	1556	237					
9	Число недействительных избирательных бюллетеней	150	9	7	12	7	13	9	3	3	1	2	4	0	27	7	20	4	10	3	7	2					
10	Число действительных избирательных бюллетеней	24646	1473	1543	1563	1138	1457	852	1032	775	578	798	809	1712	1716	1706	1909	1507	1571	637	1635	235					
11	Число полученных открепительных  удостоверений	800	50	50	40	40	40	40	40	30	20	30	30	50	50	50	50	40	50	30	70	0					
12	Число выданных открепительных удостоверений	632	37	46	27	34	35	26	27	13	13	24	21	47	44	36	46	37	46	10	63	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	523	25	18	32	32	13	27	4	10	5	5	12	12	20	24	18	24	34	4	20	184					
14	Число неиспользованных открепительных удостоверений	168	13	4	13	6	5	14	13	17	7	6	9	3	6	14	4	3	4	20	7	0					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	1482	87	101	77	54	95	51	53	38	25	47	49	95	96	115	138	103	100	37	109	12					
		5.98%	5.87%	6.52%	4.89%	4.72%	6.46%	5.92%	5.12%	4.88%	4.32%	5.88%	6.03%	5.55%	5.51%	6.71%	7.15%	6.82%	6.33%	5.78%	6.64%	5.06%					
19	. Малышкин Олег Александрович	766	41	26	45	44	41	22	36	28	34	12	15	68	66	55	53	50	60	23	42	5					
		3.09%	2.77%	1.68%	2.86%	3.84%	2.79%	2.56%	3.48%	3.60%	5.87%	1.50%	1.85%	3.97%	3.79%	3.21%	2.75%	3.31%	3.80%	3.59%	2.56%	2.11%					
20	. Миронов Сергей Михайлович	172	12	6	11	7	13	2	7	5	5	10	6	12	15	15	10	12	10	4	8	2					
		0.69%	0.81%	0.39%	0.70%	0.61%	0.88%	0.23%	0.68%	0.64%	0.86%	1.25%	0.74%	0.70%	0.86%	0.88%	0.52%	0.79%	0.63%	0.62%	0.49%	0.84%					
21	. Путин Владимир Владимирович	12542	735	730	960	545	674	467	489	379	297	409	386	794	828	917	1033	787	855	313	816	128					
		50.58%	49.60%	47.10%	60.95%	47.60%	45.85%	54.24%	47.25%	48.71%	51.30%	51.12%	47.48%	46.38%	47.50%	53.53%	53.55%	52.08%	54.08%	48.91%	49.70%	54.01%					
22	. Хакамада Ирина Муцуовна	654	41	37	31	23	38	19	17	27	12	15	24	55	49	39	58	48	38	19	59	5					
		2.64%	2.77%	2.39%	1.97%	2.01%	2.59%	2.21%	1.64%	3.47%	2.07%	1.88%	2.95%	3.21%	2.81%	2.28%	3.01%	3.18%	2.40%	2.97%	3.59%	2.11%					
23	. Харитонов Николай Михайлович	7332	450	547	360	380	506	248	373	258	175	263	272	564	523	454	467	363	393	222	452	62					
		29.57%	30.36%	35.29%	22.86%	33.19%	34.42%	28.80%	36.04%	33.16%	30.22%	32.88%	33.46%	32.94%	30.01%	26.50%	24.21%	24.02%	24.86%	34.69%	27.53%	26.16%					
																											
24	Против всех	1698	107	96	79	85	90	43	57	40	30	42	57	124	139	111	150	144	115	19	149	21					
		6.85%	7.22%	6.19%	5.02%	7.42%	6.12%	4.99%	5.51%	5.14%	5.18%	5.25%	7.01%	7.24%	7.97%	6.48%	7.78%	9.53%	7.27%	2.97%	9.07%	8.86%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
