Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Таловская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640					
1	"Число избирателей, внесенных в список"	36989	2559	2452	1763	2249	2217	336	415	833	1460	1642	389	547	581	586	1170	1247	953	1072	910	486	1244	829	479	278	685	619	269	283	485	800	706	1441	1313	509	243	508	1016	436	350	629					
2	Число полученных избирательных бюллетеней	33525	2260	2180	1550	2000	1950	310	390	750	1330	1500	350	530	530	540	1060	1140	870	970	810	440	1140	760	440	265	630	580	250	260	460	730	650	1300	1170	470	230	480	920	400	350	580					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20968	1256	1349	935	1323	1175	159	185	467	816	1155	264	305	395	312	362	529	469	518	452	356	768	564	394	250	391	372	174	181	268	486	365	866	785	388	131	279	638	277	146	463					
5	"Число избирательных бюллетеней, выданных вне помещения"	5979	139	92	77	64	206	116	187	171	146	70	86	186	100	171	458	347	155	210	188	84	232	156	46	6	230	126	48	74	175	164	185	106	183	72	74	192	248	115	177	117					
6	Число погашенных избирательных бюллетеней	6578	865	739	538	613	569	35	18	112	368	275	0	39	35	57	240	264	246	242	170	0	140	40	0	9	9	82	28	5	17	80	100	328	202	10	25	9	34	8	27	0					
7	Число избирательных бюллетеней в переносных ящиках	5979	139	92	77	64	206	116	187	171	146	70	86	186	100	171	458	347	155	210	188	84	232	156	46	6	230	126	48	74	175	164	185	106	183	72	74	192	248	115	177	117					
8	Число бюллетеней в стационарных ящиках для голосования	20956	1256	1347	935	1319	1175	159	184	467	816	1155	264	305	395	312	362	529	469	518	452	356	768	564	394	250	391	372	174	181	268	485	365	865	782	388	131	279	638	277	146	463					
9	Число недействительных избирательных бюллетеней	199	12	11	10	13	8	3	1	0	4	3	3	0	9	4	5	1	9	7	3	2	11	5	3	0	2	2	0	4	3	8	4	10	13	0	1	11	4	1	0	9					
10	Число действительных избирательных бюллетеней	26736	1383	1428	1002	1370	1373	272	370	638	958	1222	347	491	486	479	815	875	615	721	637	438	989	715	437	256	619	496	222	251	440	641	546	961	952	460	204	460	882	391	323	571					
11	Число полученных открепительных  удостоверений	247	10	12	5	20	10	0	5	5	15	20	0	5	0	3	5	5	0	0	0	0	14	10	6	1	5	3	0	0	17	25	10	8	8	5	0	5	5	0	5	0					
12	Число выданных открепительных удостоверений	166	9	12	5	16	6	0	5	3	10	20	0	5	0	2	1	0	0	0	0	0	14	2	6	1	2	0	0	0	17	4	7	6	3	0	0	5	0	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	11	1	4	10	4	1	0	1	1	6	4	2	3	0	0	2	2	5	0	1	0	2	3	2	0	2	0	1	1	1	2	5	2	0	3	2	2	1	1	1					
14	Число неиспользованных открепительных удостоверений	81	1	0	0	4	4	0	0	2	5	0	0	0	0	1	4	5	0	0	0	0	0	8	0	0	3	3	0	0	0	21	3	2	5	5	0	0	5	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	503	32	35	25	33	28	2	4	11	18	60	9	9	6	8	16	12	2	7	13	6	23	18	3	4	16	8	2	2	7	11	6	14	15	6	1	3	13	9	2	4					
		1.87%	2.29%	2.43%	2.47%	2.39%	2.03%	0.73%	1.08%	1.72%	1.87%	4.90%	2.57%	1.83%	1.21%	1.66%	1.95%	1.37%	0.32%	0.96%	2.03%	1.36%	2.30%	2.50%	0.68%	1.56%	2.58%	1.61%	0.90%	0.78%	1.58%	1.69%	1.09%	1.44%	1.55%	1.30%	0.49%	0.64%	1.47%	2.30%	0.62%	0.69%					
19	. Малышкин Олег Александрович	680	45	56	24	33	35	14	5	17	13	26	8	17	13	5	21	17	18	11	6	11	22	8	12	7	12	20	17	5	17	21	8	18	19	7	9	11	32	9	10	21					
		2.52%	3.23%	3.89%	2.37%	2.39%	2.53%	5.09%	1.35%	2.66%	1.35%	2.12%	2.29%	3.46%	2.63%	1.04%	2.56%	1.94%	2.88%	1.51%	0.94%	2.50%	2.20%	1.11%	2.73%	2.73%	1.93%	4.02%	7.66%	1.96%	3.84%	3.24%	1.45%	1.85%	1.97%	1.52%	4.39%	2.34%	3.61%	2.30%	3.10%	3.62%					
20	. Миронов Сергей Михайлович	167	8	9	8	17	7	1	1	4	9	11	4	5	4	1	8	0	2	4	8	5	5	2	0	1	6	4	0	0	0	10	2	2	2	0	0	1	11	4	0	1					
