Выборы Президента Российской Федерации																																																							
Дата голосования: 18.03.2018																																																							
																																																							
Наименование Избирательной комиссии:    Таловская																																																							
																																																							
Сводная таблица итогов голосования																																																							
																																																							
	Число участковых избирательных комиссий	44																																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	44																																																					
																																																							
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640	УИК №3641	УИК №3642	УИК №3643	УИК №3644									
		5.67%	4.78%	2.24%	5.96%	3.16%	5.40%	3.52%	5.57%	6.51%	2.32%	4.60%	5.62%	6.21%	4.42%	1.89%	6.48%	3.53%	6.61%	5.19%	4.02%	7.14%	9.98%	5.94%	4.44%	1.76%	5.19%	5.79%	9.65%	5.88%	5.03%	3.27%	1.83%	9.46%	6.31%	8.67%	7.50%	9.44%	5.26%	7.72%	6.11%	13.16%	5.26%	6.47%	4.89%	7.87%									
16	Путин Владимир Владимирович	17403	648	543	469	687	692	213	264	455	434	449	241	264	357	220	347	499	325	506	454	275	462	485	245	201	335	381	186	107	283	392	440	528	473	410	525	209	490	238	161	261	502	557	661	529									
		80.74%	81.51%	81.17%	77.65%	86.74%	79.54%	93.83%	86.56%	82.28%	83.78%	71.27%	90.26%	86.27%	87.71%	83.02%	80.32%	83.87%	69.30%	79.56%	86.97%	85.40%	78.17%	80.03%	83.62%	88.55%	87.01%	81.76%	81.58%	78.68%	83.73%	80.00%	89.61%	75.64%	78.57%	82.66%	75.76%	73.08%	83.19%	83.51%	89.44%	76.32%	77.71%	76.72%	78.78%	71.78%									
17	Собчак Ксения Анатольевна	96	4	0	5	3	10	0	2	2	3	8	0	0	2	0	0	1	5	1	2	0	3	2	1	0	1	2	2	1	2	2	1	0	0	2	0	2	3	2	0	2	6	1	8	5									
		0.45%	0.50%	0.00%	0.83%	0.38%	1.15%	0.00%	0.66%	0.36%	0.58%	1.27%	0.00%	0.00%	0.49%	0.00%	0.00%	0.17%	1.07%	0.16%	0.38%	0.00%	0.51%	0.33%	0.34%	0.00%	0.26%	0.43%	0.88%	0.74%	0.59%	0.41%	0.20%	0.00%	0.00%	0.40%	0.00%	0.70%	0.51%	0.70%	0.00%	0.58%	0.93%	0.14%	0.95%	0.68%									
18	Сурайкин Максим Александрович	159	2	8	5	1	2	0	0	5	4	4	2	0	3	0	2	6	3	5	6	0	12	3	4	5	2	6	3	1	0	12	5	1	2	4	4	4	1	0	2	2	6	4	8	10									
		0.74%	0.25%	1.20%	0.83%	0.13%	0.23%	0.00%	0.00%	0.90%	0.77%	0.63%	0.75%	0.00%	0.74%	0.00%	0.46%	1.01%	0.64%	0.79%	1.15%	0.00%	2.03%	0.50%	1.37%	2.20%	0.52%	1.29%	1.32%	0.74%	0.00%	2.45%	1.02%	0.14%	0.33%	0.81%	0.58%	1.40%	0.17%	0.00%	1.11%	0.58%	0.93%	0.55%	0.95%	1.36%									
19	Титов Борис Юрьевич	81	2	1	3	2	3	1	0	6	0	5	1	0	3	1	2	1	0	0	2	0	5	0	1	1	0	4	0	0	3	1	1	4	1	1	3	2	2	1	0	1	3	2	6	6									
		0.38%	0.25%	0.15%	0.50%	0.25%	0.34%	0.44%	0.00%	1.08%	0.00%	0.79%	0.37%	0.00%	0.74%	0.38%	0.46%	0.17%	0.00%	0.00%	0.38%	0.00%	0.85%	0.00%	0.34%	0.44%	0.00%	0.86%	0.00%	0.00%	0.89%	0.20%	0.20%	0.57%	0.17%	0.20%	0.43%	0.70%	0.34%	0.35%	0.00%	0.29%	0.46%	0.28%	0.72%	0.81%									
20	Явлинский Григорий Алексеевич	53	1	2	1	0	4	0	0	0	3	6	0	0	0	1	0	0	0	1	0	1	1	2	1	1	1	1	0	0	0	0	0	2	2	1	1	3	1	0	0	2	2	2	7	3									
