Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Хатангская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34					
1	"Число избирателей, внесенных в список"	4593	220	218	176	156	181	2565	157	207	390	323					
2	Число полученных избирательных бюллетеней	4594	226	243	182	156	192	2504	157	212	392	330					
3	"Число избирательных бюллетеней, выданных  досрочно"	147	0	4	0	0	0	7	0	62	27	47					
4	"Число избирательных бюллетеней, выданных в день голосования"	3262	194	207	156	151	158	1626	136	132	278	224					
5	"Число избирательных бюллетеней, выданных вне помещения"	157	4	7	0	0	10	113	5	5	3	10					
6	Число погашенных избирательных бюллетеней	1028	28	25	26	5	24	758	16	13	84	49					
7	Число избирательных бюллетеней в переносных ящиках	304	4	11	0	0	10	120	5	67	30	57					
8	Число бюллетеней в стационарных ящиках для голосования	3262	194	207	156	151	158	1626	136	132	278	224					
9	Число недействительных избирательных бюллетеней	9	0	0	0	0	0	5	1	1	2	0					
10	Число действительных избирательных бюллетеней	3557	198	218	156	151	168	1741	140	198	306	281					
11	Число полученных открепительных  удостоверений	204	12	12	12	7	15	89	12	15	15	15					
12	Число выданных открепительных удостоверений	80	2	9	6	0	11	25	3	5	8	11					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	2	3	2	3	7	59	4	2	1	5					
14	Число неиспользованных открепительных удостоверений	124	10	3	6	7	4	64	9	10	7	4					
15	"Число открепительных удостоверений, выданных в ТИК"	45	3	0	0	0	2	20	3	7	5	5					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	157	2	3	3	4	3	117	4	4	10	7					
		4.40%	1.01%	1.38%	1.92%	2.65%	1.79%	6.70%	2.84%	2.01%	3.25%	2.49%					
19	. Малышкин Олег Александрович	77	5	2	5	2	1	53	1	3	1	4					
		2.16%	2.53%	0.92%	3.21%	1.32%	0.60%	3.04%	0.71%	1.51%	0.32%	1.42%					
20	. Миронов Сергей Михайлович	16	0	1	1	1	0	10	0	1	0	2					
		0.45%	0.00%	0.46%	0.64%	0.66%	0.00%	0.57%	0.00%	0.50%	0.00%	0.71%					
21	. Путин Владимир Владимирович	2916	174	197	141	128	151	1334	128	168	270	225					
		81.77%	87.88%	90.37%	90.38%	84.77%	89.88%	76.40%	90.78%	84.42%	87.66%	80.07%					
22	. Хакамада Ирина Муцуовна	180	7	5	1	1	6	110	4	12	8	26					
		5.05%	3.54%	2.29%	0.64%	0.66%	3.57%	6.30%	2.84%	6.03%	2.60%	9.25%					
23	. Харитонов Николай Михайлович	122	5	8	4	12	3	57	0	7	12	14					
		3.42%	2.53%	3.67%	2.56%	7.95%	1.79%	3.26%	0.00%	3.52%	3.90%	4.98%					
																	
24	Против всех	89	5	2	1	3	4	60	3	3	5	3					
		2.50%	2.53%	0.92%	0.64%	1.99%	2.38%	3.44%	2.13%	1.51%	1.62%	1.07%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
