Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Третьяковская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1878	УИК №1879					
1	"Число избирателей, внесенных в список"	12459	1953	298	1414	685	1174	1051	261	786	501	586	144	701	543	173	581	198	666	522	222					
2	Число полученных избирательных бюллетеней	12270	2000	280	1400	700	1100	1000	250	800	500	600	150	700	540	180	550	200	620	500	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8523	1227	164	873	479	859	788	214	510	361	473	121	495	358	114	379	155	440	316	197					
5	"Число избирательных бюллетеней, выданных вне помещения"	478	52	32	27	14	40	0	0	28	14	25	14	42	43	27	60	8	33	19	0					
6	Число погашенных избирательных бюллетеней	3269	721	84	500	207	201	212	36	262	125	102	15	163	139	39	111	37	147	165	3					
7	Число избирательных бюллетеней в переносных ящиках	478	52	32	27	14	40	0	0	28	14	25	14	42	43	27	60	8	33	19	0					
8	Число бюллетеней в стационарных ящиках для голосования	8520	1227	164	873	479	859	787	214	508	361	473	121	495	358	114	379	155	440	316	197					
9	Число недействительных избирательных бюллетеней	94	12	1	6	11	6	9	0	10	1	3	2	7	7	2	2	1	7	5	2					
10	Число действительных избирательных бюллетеней	8904	1267	195	894	482	893	778	214	526	374	495	133	530	394	139	437	162	466	330	195					
11	Число полученных открепительных  удостоверений	195	26	14	21	10	18	17	4	12	8	9	3	11	8	3	7	3	9	9	3					
12	Число выданных открепительных удостоверений	41	13	1	4	1	2	0	0	6	1	3	0	6	0	0	0	0	0	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	5	0	0	2	0	0	0	1	2	0	1	1	0	0	0	1	3	1	0					
14	Число неиспользованных открепительных удостоверений	154	13	13	17	9	16	17	4	6	7	6	3	5	8	3	7	3	9	5	3					
15	"Число открепительных удостоверений, выданных в ТИК"	5	3	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	202	48	3	22	10	14	17	2	10	3	8	3	12	15	1	4	3	6	15	6					
		2.24%	3.75%	1.53%	2.44%	2.03%	1.56%	2.16%	0.93%	1.87%	0.80%	1.61%	2.22%	2.23%	3.74%	0.71%	0.91%	1.84%	1.27%	4.48%	3.05%					
19	. Малышкин Олег Александрович	262	33	5	26	9	27	42	3	19	4	13	5	9	20	5	25	1	9	4	3					
		2.91%	2.58%	2.55%	2.89%	1.83%	3.00%	5.34%	1.40%	3.54%	1.07%	2.61%	3.70%	1.68%	4.99%	3.55%	5.69%	0.61%	1.90%	1.19%	1.52%					
20	. Миронов Сергей Михайлович	62	13	1	6	0	4	7	1	4	3	3	1	4	4	0	3	2	3	1	2					
		0.69%	1.02%	0.51%	0.67%	0.00%	0.44%	0.89%	0.47%	0.75%	0.80%	0.60%	0.74%	0.74%	1.00%	0.00%	0.68%	1.23%	0.63%	0.30%	1.02%					
21	. Путин Владимир Владимирович	6399	899	147	652	365	682	535	176	383	274	336	102	376	196	102	307	125	349	246	147					
		71.12%	70.29%	75.00%	72.44%	74.04%	75.86%	67.98%	82.24%	71.46%	73.07%	67.47%	75.56%	70.02%	48.88%	72.34%	69.93%	76.69%	73.78%	73.43%	74.62%					
22	. Хакамада Ирина Муцуовна	135	23	5	26	10	9	11	2	3	5	7	1	6	7	5	2	1	5	7	0					
		1.50%	1.80%	2.55%	2.89%	2.03%	1.00%	1.40%	0.93%	0.56%	1.33%	1.41%	0.74%	1.12%	1.75%	3.55%	0.46%	0.61%	1.06%	2.09%	0.00%					
23	. Харитонов Николай Михайлович	1726	224	28	157	77	149	161	29	96	77	123	20	121	144	23	88	27	91	54	37					
		19.18%	17.51%	14.29%	17.44%	15.62%	16.57%	20.46%	13.55%	17.91%	20.53%	24.70%	14.81%	22.53%	35.91%	16.31%	20.05%	16.56%	19.24%	16.12%	18.78%					
																										
24	Против всех	118	27	6	5	11	8	5	1	11	8	5	1	2	8	3	8	3	3	3	0					
		1.31%	2.11%	3.06%	0.56%	2.23%	0.89%	0.64%	0.47%	2.05%	2.13%	1.00%	0.74%	0.37%	2.00%	2.13%	1.82%	1.84%	0.63%	0.90%	0.00%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
