Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Сысертская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875					
1	"Число избирателей, внесенных в список"	45812	797	1284	1548	2066	2374	1625	2002	1550	1480	1385	1218	502	244	1988	1469	518	1243	2439	1228	870	1846	2085	1630	238	185	867	246	477	1869	560	1082	1129	789	856	628	664	2228	231	372					
2	Число полученных избирательных бюллетеней	45500	740	1250	1500	2060	2380	1580	2000	1520	1460	1330	1220	520	250	2000	1470	510	1220	2430	1210	880	1840	2060	1650	250	190	850	230	480	1860	570	1070	1130	800	840	660	640	2220	250	380					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22177	331	572	768	1057	1131	701	924	810	784	658	563	174	171	1004	713	224	494	1129	565	476	1002	995	760	129	66	457	135	219	901	292	539	627	358	426	285	361	1042	126	208					
5	"Число избирательных бюллетеней, выданных вне помещения"	2001	62	45	36	28	36	19	38	37	16	26	49	131	20	57	47	44	123	148	108	50	52	63	143	15	45	32	25	40	77	9	40	12	30	50	1	54	125	43	25					
6	Число погашенных избирательных бюллетеней	21322	347	633	696	975	1213	860	1038	673	660	646	608	215	59	939	710	242	603	1153	537	354	786	1002	747	106	79	361	70	221	882	269	491	491	412	364	374	225	1053	81	147					
7	Число избирательных бюллетеней в переносных ящиках	2001	62	45	36	28	36	19	38	37	16	26	49	131	20	57	47	44	123	148	108	50	52	63	143	15	45	32	25	40	77	9	40	12	30	50	1	54	125	43	25					
8	Число бюллетеней в стационарных ящиках для голосования	22176	331	572	768	1057	1131	701	924	810	784	658	563	174	171	1004	713	224	494	1129	565	476	1002	995	760	129	66	457	135	219	901	291	539	627	358	426	285	361	1042	126	208					
9	Число недействительных избирательных бюллетеней	279	4	14	7	10	8	6	10	8	3	5	11	4	5	18	16	5	7	7	12	3	6	5	17	2	1	7	2	5	5	4	10	7	12	0	2	3	22	4	2					
10	Число действительных избирательных бюллетеней	23898	389	603	797	1075	1159	714	952	839	797	679	601	301	186	1043	744	263	610	1270	661	523	1048	1053	886	142	110	482	158	254	973	296	569	632	376	476	284	412	1145	165	231					
11	Число полученных открепительных  удостоверений	897	14	24	31	41	46	31	40	30	29	25	24	10	4	40	30	10	24	46	24	17	37	41	35	4	3	17	4	9	37	11	21	22	16	17	13	13	46	3	8					
12	Число выданных открепительных удостоверений	143	3	1	9	6	8	5	0	7	8	5	1	2	0	1	3	0	2	6	4	1	6	10	7	2	0	2	1	0	8	0	1	4	6	2	4	1	15	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	238	7	8	2	7	7	4	15	4	3	9	3	5	2	6	2	6	9	3	5	9	6	9	23	0	1	8	6	1	6	0	2	5	5	7	2	21	10	8	2					
14	Число неиспользованных открепительных удостоверений	754	11	23	22	35	38	26	40	23	21	20	22	8	4	39	27	10	22	40	20	16	31	31	28	2	3	15	3	9	29	11	20	18	10	15	9	12	31	3	7					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
18	. Глазьев Сергей Юрьевич	1047	27	28	61	101	86	59	62	48	66	34	35	7	6	26	18	8	8	36	16	26	35	28	32	3	3	9	7	11	32	1	15	18	9	13	17	14	35	5	2					
		4.33%	6.87%	4.54%	7.59%	9.31%	7.37%	8.19%	6.44%	5.67%	8.25%	4.97%	5.72%	2.30%	3.14%	2.45%	2.37%	2.99%	1.30%	2.82%	2.38%	4.94%	3.32%	2.65%	3.54%	2.08%	2.70%	1.84%	4.38%	4.25%	3.27%	0.33%	2.59%	2.82%	2.32%	2.73%	5.94%	3.37%	3.00%	2.96%	0.86%					
19	. Малышкин Олег Александрович	548	9	14	26	33	43	13	24	23	11	17	13	4	5	23	11	3	14	29	20	12	22	29	24	1	2	13	0	12	15	4	12	5	7	14	7	10	18	4	2					
