Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Нурлатская																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410					
1	"Число избирателей, внесенных в список"	19109	936	185	204	251	348	130	320	177	332	513	468	220	367	296	334	663	267	706	305	166	442	395	621	556	556	382	1012	598	773	431	975	857	511	441	323	178	157	597	592	455	150	197	439	283					
2	Число полученных избирательных бюллетеней	19236	941	189	207	253	350	130	324	179	334	516	471	223	366	298	334	672	267	707	308	168	443	395	628	557	561	382	1025	610	764	432	982	862	511	443	326	180	158	600	598	456	152	198	452	284					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18516	930	182	197	229	343	130	294	167	321	479	468	213	341	293	324	663	267	665	300	164	413	389	608	549	541	356	987	546	749	425	975	844	477	433	321	173	157	586	584	423	147	194	401	268					
5	"Число избирательных бюллетеней, выданных вне помещения"	546	6	3	7	22	5	0	26	10	11	34	0	7	25	3	10	0	0	41	5	0	27	0	13	6	15	26	25	52	15	6	0	13	34	8	2	5	0	11	8	30	0	0	20	15					
6	Число погашенных избирательных бюллетеней	174	5	4	3	2	2	0	4	2	2	3	3	3	0	2	0	9	0	1	3	4	3	6	7	2	5	0	13	12	0	1	7	5	0	2	3	2	1	3	6	3	5	4	31	1					
7	Число избирательных бюллетеней в переносных ящиках	546	6	3	7	22	5	0	26	10	11	34	0	7	25	3	10	0	0	41	5	0	27	0	13	6	15	26	25	52	15	6	0	13	34	8	2	5	0	11	8	30	0	0	20	15					
8	Число бюллетеней в стационарных ящиках для голосования	18516	930	182	197	229	343	130	294	167	321	479	468	213	341	293	324	663	267	665	300	164	413	389	608	549	541	356	987	546	749	425	975	844	477	433	321	173	157	586	584	423	147	194	401	268					
9	Число недействительных избирательных бюллетеней	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0					
10	Число действительных избирательных бюллетеней	19052	936	185	204	251	348	130	320	177	332	513	468	220	366	296	334	663	267	706	305	164	440	389	621	555	556	382	1012	598	764	431	975	857	511	441	323	178	157	589	592	453	147	194	419	283					
