Выборы Президента Российской Федерации																																																														
																																																														
Наименование Избирательной комиссии:    Новошахтинская городская																																																														
																																																														
Итоги голосования 																																																														
																																																														
		Сумма	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405					
		2.71%	2.90%	2.08%	2.01%	2.36%	2.32%	3.07%	2.26%	2.29%	3.55%	1.84%	2.95%	2.40%	2.30%	1.89%	3.55%	2.26%	1.87%	2.84%	0.92%	3.76%	2.68%	1.52%	1.47%	1.31%	3.12%	2.42%	2.25%	3.40%	3.22%	3.52%	3.66%	3.44%	2.05%	3.34%	2.63%	1.40%	3.31%	2.95%	2.28%	0.56%	1.47%	5.47%	2.95%	3.31%	6.07%	5.82%	3.99%	3.90%	3.79%	1.78%	0.51%	2.23%	4.33%	3.73%	4.71%					
20	. Миронов Сергей Михайлович	343	2	10	5	3	4	5	4	5	3	6	3	4	19	2	10	15	9	8	3	8	10	4	6	2	5	6	12	8	11	8	5	5	5	2	10	2	2	2	1	3	9	9	8	12	3	5	0	1	4	20	7	3	7	9	9					
		0.59%	0.16%	0.87%	0.39%	0.42%	0.42%	0.64%	0.41%	0.57%	0.38%	0.39%	0.23%	0.44%	1.15%	0.17%	0.67%	0.81%	0.70%	0.61%	0.31%	0.57%	0.96%	0.40%	0.52%	0.22%	0.40%	0.58%	0.79%	0.71%	0.93%	0.60%	0.91%	0.75%	0.54%	0.21%	0.56%	0.22%	0.20%	0.22%	0.16%	0.56%	1.20%	1.70%	0.84%	1.24%	0.57%	0.65%	0.00%	0.24%	0.45%	1.15%	0.71%	0.30%	0.74%	0.56%	0.88%					
21	. Путин Владимир Владимирович	42446	852	846	1060	536	711	559	791	632	535	1235	1175	692	1252	876	1098	1304	981	920	702	1059	773	742	831	779	946	718	1144	684	711	900	427	456	712	661	1395	712	720	694	469	470	566	345	609	569	299	406	427	340	738	1415	820	748	704	1080	620					
		73.50%	68.71%	73.18%	81.79%	74.44%	75.08%	71.48%	81.13%	72.23%	67.89%	80.98%	88.88%	75.55%	75.88%	75.26%	73.59%	70.26%	76.52%	70.55%	71.78%	75.21%	74.04%	75.10%	71.82%	85.04%	75.62%	69.51%	75.66%	61.13%	60.31%	67.31%	78.06%	68.26%	76.89%	68.93%	78.11%	76.72%	72.22%	75.76%	76.26%	88.51%	75.47%	65.09%	64.17%	58.78%	56.74%	52.52%	74.00%	82.93%	82.27%	81.04%	83.67%	75.94%	74.34%	67.08%	60.84%					
22	. Хакамада Ирина Муцуовна	1016	30	23	35	17	30	17	20	14	15	7	19	18	43	23	36	50	25	25	4	24	35	7	26	6	20	16	23	33	26	22	9	17	20	25	22	13	13	14	14	7	9	6	21	30	4	15	3	5	2	12	0	13	14	22	17					
		1.76%	2.42%	1.99%	2.70%	2.36%	3.17%	2.17%	2.05%	1.60%	1.90%	0.46%	1.44%	1.97%	2.61%	1.98%	2.41%	2.69%	1.95%	1.92%	0.41%	1.70%	3.35%	0.71%	2.25%	0.66%	1.60%	1.55%	1.52%	2.95%	2.21%	1.65%	1.65%	2.54%	2.16%	2.61%	1.23%	1.40%	1.30%	1.53%	2.28%	1.32%	1.20%	1.13%	2.21%	3.10%	0.76%	1.94%	0.52%	1.22%	0.22%	0.69%	0.00%	1.32%	1.48%	1.37%	1.67%					
23	. Харитонов Николай Михайлович	8887	197	188	115	101	120	115	72	137	158	215	20	120	222	161	177	338	144	233	218	163	132	185	216	77	150	208	199	250	305	283	54	112	140	177	207	141	156	134	81	31	146	106	224	254	131	218	78	36	86	183	124	156	122	325	246					
		15.39%	15.89%	16.26%	8.87%	14.03%	12.67%	14.71%	7.38%	15.66%	20.05%	14.10%	1.51%	13.10%	13.45%	13.83%	11.86%	18.21%	11.23%	17.87%	22.29%	11.58%	12.64%	18.72%	18.67%	8.41%	11.99%	20.14%	13.16%	22.34%	25.87%	21.17%	9.87%	16.77%	15.12%	18.46%	11.59%	15.19%	15.65%	14.63%	13.17%	5.84%	19.47%	20.00%	23.60%	26.24%	24.86%	28.20%	13.52%	8.78%	9.59%	10.48%	12.65%	15.84%	12.88%	20.19%	24.14%					
																																																														
24	Против всех	1421	67	21	10	25	27	26	26	19	20	9	30	38	32	38	46	36	47	26	14	56	29	13	28	15	30	24	48	48	35	21	12	24	13	21	53	10	29	8	15	15	5	17	23	24	21	29	18	7	12	40	10	18	19	44	30					
		2.46%	5.40%	1.82%	0.77%	3.47%	2.85%	3.32%	2.67%	2.17%	2.54%	0.59%	2.27%	4.15%	1.94%	3.26%	3.08%	1.94%	3.67%	1.99%	1.43%	3.98%	2.78%	1.32%	2.42%	1.64%	2.40%	2.32%	3.17%	4.29%	2.97%	1.57%	2.19%	3.59%	1.40%	2.19%	2.97%	1.08%	2.91%	0.87%	2.44%	2.82%	0.67%	3.21%	2.42%	2.48%	3.98%	3.75%	3.12%	1.71%	1.34%	2.29%	1.02%	1.83%	2.01%	2.73%	2.94%					
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
																																																														
