Выборы Президента Российской Федерации												
												
Наименование Избирательной комиссии:    Тунгиро-Олекминская												
												
Итоги голосования 												
												
		Сумма	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240					
1	"Число избирателей, внесенных в список"	1193	779	216	89	77	32					
2	Число полученных избирательных бюллетеней	1184	770	216	90	76	32					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	706	436	139	63	50	18					
5	"Число избирательных бюллетеней, выданных вне помещения"	44	38	6	0	0	0					
6	Число погашенных избирательных бюллетеней	434	296	71	27	26	14					
7	Число избирательных бюллетеней в переносных ящиках	44	38	6	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	706	436	139	63	50	18					
9	Число недействительных избирательных бюллетеней	8	3	3	1	1	0					
10	Число действительных избирательных бюллетеней	742	471	142	62	49	18					
11	Число полученных открепительных  удостоверений	50	20	15	5	5	5					
12	Число выданных открепительных удостоверений	12	12	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	7	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	38	8	15	5	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"												
18	. Глазьев Сергей Юрьевич	21	16	3	2	0	0					
		2.80%	3.38%	2.07%	3.17%	0.00%	0.00%					
19	. Малышкин Олег Александрович	15	12	2	0	1	0					
		2.00%	2.53%	1.38%	0.00%	2.00%	0.00%					
20	. Миронов Сергей Михайлович	9	7	1	0	1	0					
		1.20%	1.48%	0.69%	0.00%	2.00%	0.00%					
21	. Путин Владимир Владимирович	618	382	120	56	42	18					
		82.40%	80.59%	82.76%	88.89%	84.00%	100.00%					
22	. Хакамада Ирина Муцуовна	19	14	2	0	3	0					
		2.53%	2.95%	1.38%	0.00%	6.00%	0.00%					
23	. Харитонов Николай Михайлович	53	34	14	4	1	0					
		7.07%	7.17%	9.66%	6.35%	2.00%	0.00%					
												
24	Против всех	7	6	0	0	1	0					
		0.93%	1.27%	0.00%	0.00%	2.00%	0.00%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
