Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Гиагинская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32					
1	"Число избирателей, внесенных в список"	23411	2308	1616	1726	1772	1712	1170	897	1130	1009	309	731	140	96	1022	1138	1121	646	707	100	1100	151	618	184	523	1355	130					
2	Число полученных избирательных бюллетеней	24560	2403	1606	2139	1875	1787	1188	925	1207	998	407	742	142	99	995	1125	1163	652	839	118	1144	176	614	186	520	1374	136					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16497	1704	1127	1234	1131	999	941	666	755	634	261	465	125	75	850	884	848	482	413	63	736	124	366	169	325	1001	119					
5	"Число избирательных бюллетеней, выданных вне помещения"	1757	77	103	48	216	57	48	57	97	59	48	85	0	5	48	87	47	52	79	23	166	10	172	1	80	92	0					
6	Число погашенных избирательных бюллетеней	6306	622	376	857	528	731	199	202	355	305	98	192	17	19	97	154	268	118	347	32	242	42	76	16	115	281	17					
7	Число избирательных бюллетеней в переносных ящиках	1757	77	103	48	216	57	48	57	97	59	48	85	0	5	48	87	47	52	79	23	166	10	172	1	80	92	0					
8	Число бюллетеней в стационарных ящиках для голосования	16494	1702	1127	1234	1130	999	941	666	755	634	261	465	125	75	850	884	848	482	413	63	736	124	366	169	325	1001	119					
9	Число недействительных избирательных бюллетеней	142	13	5	14	21	11	6	0	4	9	0	0	2	0	0	0	7	3	12	0	5	1	10	2	5	7	5					
10	Число действительных избирательных бюллетеней	18109	1766	1225	1268	1325	1045	983	723	848	684	309	550	123	80	898	971	888	531	480	86	897	133	528	168	400	1086	114					
11	Число полученных открепительных  удостоверений	98	4	6	10	5	4	4	4	9	4	1	3	1	1	4	4	4	4	4	1	4	1	4	2	5	4	1					
